measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Generation,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,56514.0,299228.0,664613.0,,,,,,
2003-02-01,,,,,,,56094.0,276253.0,655926.0,,,,,,
2003-03-01,,,,,,,53796.0,263308.0,642075.0,,,,,,
2003-04-01,,,,,,,54608.0,251739.0,655130.0,,,,,,
2003-05-01,,,,,,,50117.0,246308.0,644591.0,,,,,,
2003-06-01,,,,,,,51987.0,239397.0,641242.0,,,,,,
2003-07-01,,,,,,,50256.0,224083.0,619636.0,,,,,,
2003-08-01,,,,,,,44387.0,220223.0,549256.0,,,,,,
2003-09-01,,,,,,,53931.0,323807.0,665859.0,,,,,,
2003-10-01,,,,,,,37736.0,160943.0,457450.0,,,,,,
2003-11-01,,,,,,,36658.0,182132.0,437919.0,,,,,,
2003-12-01,,,,,,,61093.0,253194.0,679735.0,,,,,,
2004-01-01,,,,,,,48212.919,218742.34,608392.08,,,,,,
2004-02-01,,,,,,,46783.994,212259.3,590360.67,,,,,,
2004-03-01,,,,,,,49951.435,226629.99,630330.15,,,,,,
2004-04-01,,,,,,,52066.989,236228.28,657026.04,,,,,,
2004-05-01,,,,,,,49218.619,223305.21,621082.85,,,,,,
2004-06-01,,,,,,,57170.419,259382.57,721425.49,,,,,,
2004-07-01,,,,,,,54507.209,247299.57,687818.83,,,,,,
2004-08-01,,,,,,,52728.841,239231.1,665377.85,,,,,,
2004-09-01,,,,,,,53506.762,242760.54,675194.33,,,,,,
