measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,72.164,962.0,962.0,,,
2003-02-01,63.929,852.0,852.0,,,
2003-03-01,66.03,880.0,880.0,,,
2003-04-01,57.981,773.0,773.0,,,
2003-05-01,56.903000000000006,758.0,758.0,,,
2003-06-01,54.146,722.0,722.0,,,
2003-07-01,57.95,772.0,772.0,,,
2003-08-01,55.481,739.0,739.0,,,
2003-09-01,59.345,791.0,791.0,,,
2003-10-01,63.973000000000006,853.0,853.0,,,
2003-11-01,67.12700000000001,895.0,895.0,,,
2003-12-01,74.971,999.0,999.0,,,
2004-01-01,144.675,1560.0,1560.0,,,
2004-02-01,187.14100000000002,2018.0,2018.0,,,
2004-03-01,167.952,1811.0,1811.0,,,
2004-04-01,113.881,1228.0,1228.0,,,
2004-05-01,123.49900000000001,1332.0,1332.0,,,
2004-06-01,118.628,1279.0,1279.0,,,
2004-07-01,188.922,2037.0,2037.0,,,
2004-08-01,200.0,2156.0,2156.0,,,
2004-09-01,162.875,1756.0,1756.0,,,
2004-10-01,119.126,1284.0,1284.0,,,
2004-11-01,69.238,747.0,747.0,,,
2004-12-01,67.062,723.0,723.0,,,
2005-01-01,248.56400000000002,2466.59,2466.59,,,
2005-02-01,85.399,847.44,847.44,,,
2005-03-01,94.65400000000001,939.28,939.28,,,
2005-04-01,114.653,1137.74,1137.74,,,
2005-05-01,106.483,1056.67,1056.67,,,
2005-06-01,138.205,1371.45,1371.45,,,
2005-07-01,140.675,1395.97,1395.97,,,
2005-08-01,165.25900000000001,1639.93,1639.93,,,
2005-09-01,108.18,1073.51,1073.51,,,
2005-10-01,120.13600000000001,1192.15,1192.15,,,
2005-11-01,96.57900000000001,958.38,958.38,,,
2005-12-01,204.214,2026.48,2026.48,,,
2006-01-01,188.626,2204.0,2204.0,,,
2006-02-01,98.702,1153.0,1153.0,,,
2006-03-01,82.911,969.0,969.0,,,
2006-04-01,158.81900000000002,1856.0,1856.0,,,
2006-05-01,148.45600000000002,1735.0,1735.0,,,
2006-06-01,134.936,1577.0,1577.0,,,
2006-07-01,195.458,2284.0,2284.0,,,
2006-08-01,189.59300000000002,2215.0,2215.0,,,
2006-09-01,87.102,1018.0,1018.0,,,
2006-10-01,92.00800000000001,1075.0,1075.0,,,
2006-11-01,108.342,1266.0,1266.0,,,
2006-12-01,120.045,1403.0,1403.0,,,
2007-01-01,109.42800000000001,1139.0,1139.0,,,
2007-02-01,84.744,881.0,881.0,,,
2007-03-01,167.58200000000002,1745.0,1745.0,,,
2007-04-01,101.933,1060.0,1060.0,,,
2007-05-01,94.043,982.0,982.0,,,
2007-06-01,91.94,959.0,959.0,,,
2007-07-01,135.75900000000001,1414.0,1414.0,,,
2007-08-01,171.36700000000002,1784.0,1784.0,,,
2007-09-01,142.353,1481.0,1481.0,,,
2007-10-01,171.915,1790.0,1790.0,,,
2007-11-01,126.11800000000001,1313.0,1313.0,,,
2007-12-01,180.817,1885.0,1885.0,,,
2008-01-01,0.0,0.0,0.0,204.465,2093.0,2093.0
2008-02-01,0.0,0.0,0.0,187.15,1908.0,1908.0
2008-03-01,0.0,0.0,0.0,125.23,1274.0,1274.0
2008-04-01,0.0,0.0,0.0,126.37100000000001,1285.0,1285.0
2008-05-01,0.0,0.0,0.0,132.193,1347.0,1347.0
2008-06-01,0.0,0.0,0.0,88.554,903.0,903.0
2008-07-01,0.0,0.0,0.0,92.015,937.0,937.0
2008-08-01,0.0,0.0,0.0,91.06,926.0,926.0
2008-09-01,0.0,0.0,0.0,95.012,965.0,965.0
2008-10-01,0.0,0.0,0.0,108.165,1100.0,1100.0
2008-11-01,0.0,0.0,0.0,131.91400000000002,1341.0,1341.0
2008-12-01,0.0,0.0,0.0,223.871,2278.0,2278.0
2009-01-01,0.0,0.0,0.0,222.369,2110.0,2110.0
2009-02-01,0.0,0.0,0.0,163.205,1543.0,1543.0
2009-03-01,0.0,0.0,0.0,169.515,1605.0,1605.0
2009-04-01,0.0,0.0,0.0,174.173,1650.0,1650.0
2009-05-01,0.0,0.0,0.0,104.421,988.0,988.0
2009-06-01,0.0,0.0,0.0,102.54100000000001,971.0,971.0
2009-07-01,0.0,0.0,0.0,115.60600000000001,1094.0,1094.0
2009-08-01,0.0,0.0,0.0,115.007,1089.0,1089.0
2009-09-01,0.0,0.0,0.0,76.61,724.0,724.0
