measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,,,,5766.0,78040.0,78040.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0
2003-06-01,,,,6086.0,78397.0,78397.0
2003-07-01,,,,0.0,0.0,0.0
2003-08-01,,,,6805.0,91408.0,91408.0
2003-09-01,,,,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0
2004-08-01,,,,5634.0,73755.0,73755.0
2004-09-01,,,,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,0.0,0.0,0.0
2005-01-01,,,,2682.0,35201.22,35201.22
2005-02-01,,,,0.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0
2005-04-01,,,,19107.0,263385.42,263385.42
2005-05-01,,,,31056.0,430400.95,430400.95
2005-06-01,,,,10214.0,147915.3,147915.3
2005-07-01,,,,5941.0,84254.0,84254.0
2005-08-01,,,,10528.0,152502.24,152502.24
2005-09-01,,,,180.0,2701.77,2701.77
2005-10-01,,,,0.0,0.0,0.0
2005-11-01,,,,10115.0,141805.68,141805.68
2005-12-01,,,,7649.0,109913.19,109913.19
2006-01-01,,,,315.0,4852.0,4852.0
2006-02-01,,,,585.0,8817.0,8817.0
2006-03-01,,,,490.0,7469.0,7469.0
2006-04-01,,,,429.0,5980.0,5980.0
2006-05-01,,,,5200.0,69920.0,69920.0
2006-06-01,,,,228.0,3388.0,3388.0
2006-07-01,,,,17544.0,216834.0,216834.0
2006-08-01,,,,3843.0,52357.0,52357.0
2006-09-01,,,,429.0,7467.0,7467.0
2006-10-01,,,,17349.0,249272.0,249272.0
2006-11-01,,,,5210.0,74470.0,74470.0
2006-12-01,,,,3484.0,50259.0,50259.0
2007-01-01,,,,1148.0,17539.0,17539.0
2007-02-01,,,,3909.0,53160.0,53160.0
2007-03-01,,,,149.0,2372.0,2372.0
2007-04-01,,,,0.0,0.0,0.0
2007-05-01,,,,8397.0,122946.0,122946.0
2007-06-01,,,,5736.0,69963.0,69963.0
2007-07-01,,,,8523.0,119032.0,119032.0
2007-08-01,,,,48793.0,616488.0,616488.0
2007-09-01,,,,14686.0,182703.0,182703.0
2007-10-01,,,,11844.0,158452.0,158452.0
2007-11-01,,,,5705.0,58506.0,58506.0
2007-12-01,,,,6368.0,77191.0,77191.0
2008-01-01,,,,12261.0,78933.0,78933.0
2008-02-01,6096.0,135254.0,135254.0,0.0,0.0,0.0
2008-03-01,,,,1168.0,31163.0,31163.0
2008-04-01,,,,391.0,4849.0,4849.0
2008-05-01,,,,1263.0,15987.0,15987.0
2008-06-01,,,,5772.0,86169.0,86169.0
2008-07-01,,,,3492.0,44254.0,44254.0
2008-08-01,,,,3790.0,53768.0,53768.0
2008-09-01,,,,1586.0,20653.0,20653.0
2008-10-01,,,,5146.0,65619.0,65619.0
2008-11-01,,,,3073.0,67578.0,67578.0
2008-12-01,,,,6392.0,84683.0,84683.0
2009-01-01,,,,5115.0,99317.0,99317.0
2009-02-01,,,,5058.0,73409.0,73409.0
2009-03-01,,,,1882.0,48853.0,48853.0
2009-04-01,,,,0.0,0.0,0.0
2009-05-01,,,,2643.0,41933.0,41933.0
2009-06-01,,,,7137.0,94115.0,94115.0
2009-07-01,,,,249.0,5613.0,5613.0
2009-08-01,,,,1580.0,22316.0,22316.0
2009-09-01,,,,0.0,0.0,0.0
2009-10-01,,,,2538.0,35899.0,35899.0
2009-11-01,,,,457.0,7180.0,7180.0
2009-12-01,,,,10390.0,146289.0,146289.0
2010-01-01,,,,16176.0,193624.0,193624.0
2010-02-01,,,,2819.0,44045.0,44045.0
2010-03-01,,,,1390.0,19524.0,19524.0
2010-04-01,,,,6519.0,90338.0,90338.0
2010-05-01,,,,570.0,8188.0,8188.0
2010-06-01,,,,6417.0,77667.0,77667.0
2010-07-01,,,,19553.0,260190.0,260190.0
2010-08-01,,,,24727.0,329645.0,329645.0
2010-09-01,,,,1241.0,18296.0,18296.0
2010-10-01,,,,624.0,9000.0,9000.0
2010-11-01,,,,515.0,7611.0,7611.0
2010-12-01,,,,4416.0,60096.0,60096.0
2011-01-01,,,,5213.0,73022.0,73022.0
2011-02-01,,,,839.0,11686.0,11686.0
2011-03-01,,,,2594.0,36397.0,36397.0
2011-04-01,,,,1756.0,23745.0,23745.0
2011-05-01,,,,9059.0,115195.0,115195.0
2011-06-01,,,,3738.0,53869.0,53869.0
2011-07-01,,,,39238.0,503411.0,503411.0
2011-09-01,,,,2514.0,33637.0,33637.0
2011-10-01,,,,287.0,4370.0,4370.0
2011-11-01,,,,100.0,1618.0,1618.0
2011-12-01,,,,72.0,1774.0,1774.0
2012-01-01,,,,0.0,0.0,0.0
2012-03-01,,,,-48.0,900.0,900.0
2012-04-01,,,,-483.0,0.0,0.0
2012-05-01,,,,-476.0,0.0,0.0
2012-06-01,,,,10315.0,137663.0,137663.0
2012-07-01,,,,70210.0,922485.0,922485.0
2012-08-01,,,,4847.0,72186.0,72186.0
2012-09-01,,,,6946.0,78589.0,78589.0
2012-10-01,,,,737.0,10000.0,10000.0
2012-11-01,,,,1064.0,22500.0,22500.0
2012-12-01,,,,-136.0,12500.0,12500.0
2013-01-01,,,,335.0,18425.0,18425.0
2013-02-01,,,,202.0,8500.0,8500.0
2013-03-01,,,,754.0,10000.0,10000.0
2013-04-01,,,,9933.0,138000.0,138000.0
2013-05-01,,,,14355.0,216400.0,216400.0
2013-06-01,,,,1436.0,30000.0,30000.0
2013-07-01,,,,20602.0,282497.0,282497.0
2013-08-01,,,,6645.0,110067.0,110067.0
2013-09-01,,,,8499.0,133000.0,133000.0
2013-10-01,,,,2185.0,37500.0,37500.0
2013-11-01,,,,596.0,10000.0,10000.0
2013-12-01,,,,1627.0,30000.0,30000.0
2014-01-01,,,,5762.0,104600.0,104600.0
2014-02-01,,,,193.0,11622.0,11622.0
2014-03-01,,,,1433.0,29980.0,29980.0
2014-04-01,,,,34.0,7200.0,7200.0
2014-05-01,,,,1347.0,23500.0,23500.0
2014-06-01,,,,4916.0,67000.0,67000.0
2014-07-01,,,,-549.0,0.0,0.0
2014-08-01,,,,1878.0,38350.0,38350.0
2014-09-01,,,,117.0,12800.0,12800.0
2014-10-01,,,,-508.0,1000.0,1000.0
2014-11-01,,,,87.0,14900.0,14900.0
2014-12-01,,,,-78.0,7500.0,7500.0
2015-01-01,,,,2576.0,46870.0,46870.0
2015-02-01,,,,23647.0,307446.0,307446.0
2015-03-01,,,,14475.0,219048.0,219048.0
2015-04-01,,,,2348.0,35700.0,35700.0
2015-05-01,,,,14553.0,195500.0,195500.0
2015-06-01,,,,2806.0,56000.0,56000.0
2015-07-01,,,,19350.0,254740.0,254740.0
2015-08-01,,,,4050.0,63950.0,63950.0
2015-09-01,,,,10188.0,145171.0,145171.0
2015-10-01,,,,5891.0,100500.0,100500.0
2015-11-01,,,,5042.0,67000.0,67000.0
2015-12-01,,,,151.0,13800.0,13800.0
2016-01-01,,,,892.0,17258.0,17258.0
2016-02-01,,,,2045.0,28000.0,28000.0
2016-03-01,,,,6395.0,88499.0,88499.0
2016-04-01,,,,29389.0,379455.0,379455.0
2016-05-01,,,,16092.0,203500.0,203500.0
2016-06-01,,,,9993.0,141000.0,141000.0
2016-07-01,,,,26113.0,350842.0,350842.0
2016-08-01,,,,29717.0,391500.0,391500.0
2016-09-01,,,,14898.0,196771.0,196771.0
2016-10-01,,,,7169.0,96000.0,96000.0
2016-11-01,,,,1591.0,22000.0,22000.0
2016-12-01,,,,3589.0,50938.0,50938.0
2017-01-01,,,,4901.682,69048.0,69048.0
2017-02-01,,,,4453.709,62738.0,62738.0
2017-03-01,,,,5436.444,76581.0,76581.0
2017-04-01,,,,3901.27,54956.0,54956.0
2017-05-01,,,,2915.45,41069.0,41069.0
2017-06-01,,,,4492.455,63284.0,63284.0
2017-07-01,,,,5517.913,77729.0,77729.0
2017-08-01,,,,5059.228,71267.0,71267.0
2017-09-01,,,,4978.444,70129.0,70129.0
2017-10-01,,,,4818.881,67882.0,67882.0
2017-11-01,,,,5060.956,71292.0,71292.0
2017-12-01,,,,6740.568,94951.0,94951.0
2018-01-01,,,,19031.305,248447.0,248447.0
2018-02-01,,,,16029.531,209260.0,209260.0
2018-03-01,,,,17852.594,233059.0,233059.0
2018-04-01,,,,17335.546,226309.0,226309.0
2018-05-01,,,,22824.244,297962.0,297962.0
2018-06-01,,,,23124.616,301884.0,301884.0
2018-07-01,,,,25438.286,332087.0,332087.0
2018-08-01,,,,23692.338,309294.0,309294.0
2018-09-01,,,,18856.206,246161.0,246161.0
2018-10-01,,,,18235.343,238056.0,238056.0
2018-11-01,,,,20171.979,263338.0,263338.0
2018-12-01,,,,20605.012,268991.0,268991.0
2019-01-01,,,,8358.153,117658.0,117658.0
2019-02-01,,,,7889.34,111057.0,111057.0
2019-03-01,,,,8188.0,115261.0,115261.0
2019-04-01,,,,6418.715,90355.0,90355.0
2019-05-01,,,,7073.63,99574.0,99574.0
2019-06-01,,,,7666.677,107923.0,107923.0
2019-07-01,,,,8927.571,125672.0,125672.0
2019-08-01,,,,9417.345,132567.0,132567.0
2019-09-01,,,,8737.719,123000.0,123000.0
2019-10-01,,,,8778.704,123577.0,123577.0
2019-11-01,,,,8901.546,125306.0,125306.0
2019-12-01,,,,9636.6,135653.0,135653.0
