measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0,,,
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,3569.0,36867.0,36867.0
2003-06-01,,,,0.0,0.0,0.0,73.0,704.0,704.0
2003-07-01,,,,0.0,0.0,0.0,44.0,431.0,431.0
2003-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0,68.0,726.0,726.0
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,,,,3.833,47.0,47.0
2004-02-01,,,,,,,3.833,47.0,47.0
2004-03-01,,,,,,,3.833,47.0,47.0
2004-04-01,,,,,,,3.833,47.0,47.0
2004-05-01,,,,,,,3.833,47.0,47.0
2004-06-01,,,,,,,3.833,47.0,47.0
2004-07-01,,,,,,,3.833,47.0,47.0
2004-08-01,,,,,,,3.833,47.0,47.0
2004-09-01,,,,,,,3.833,47.0,47.0
2004-10-01,,,,,,,3.833,47.0,47.0
2004-11-01,,,,,,,3.833,47.0,47.0
2004-12-01,,,,,,,3.833,47.0,47.0
2005-01-01,,,,0.0,0.0,0.0,29.469,330.78,330.78
2005-02-01,,,,0.0,0.0,0.0,24.463,274.59,274.59
2005-03-01,,,,0.0,0.0,0.0,30.296000000000003,340.06,340.06
2005-04-01,,,,0.0,0.0,0.0,29.851000000000003,335.06,335.06
2005-05-01,,,,0.0,0.0,0.0,35.189,394.98,394.98
2005-06-01,,,,0.0,0.0,0.0,44.41,498.48,498.48
2005-07-01,,,,0.0,0.0,0.0,55.659000000000006,624.75,624.75
2005-08-01,,,,0.0,0.0,0.0,57.656000000000006,647.17,647.17
2005-09-01,,,,0.0,0.0,0.0,43.873000000000005,492.46,492.46
2005-10-01,,,,0.0,0.0,0.0,35.049,393.41,393.41
2005-11-01,,,,0.0,0.0,0.0,29.903000000000002,335.65,335.65
2005-12-01,,,,0.0,0.0,0.0,29.182000000000002,327.56,327.56
2006-01-01,,,,0.0,0.0,0.0,50.719,636.0,636.0
2006-02-01,,,,0.0,0.0,0.0,60.174,754.0,754.0
2006-03-01,,,,0.0,0.0,0.0,68.63300000000001,860.0,860.0
2006-04-01,,,,0.0,0.0,0.0,76.768,962.0,962.0
2006-05-01,,,,0.0,0.0,0.0,88.917,1115.0,1115.0
2006-06-01,,,,0.0,0.0,0.0,113.304,1420.0,1420.0
2006-07-01,,,,0.0,0.0,0.0,142.448,1786.0,1786.0
2006-08-01,,,,0.0,0.0,0.0,144.244,1808.0,1808.0
2006-09-01,,,,0.0,0.0,0.0,98.144,1230.0,1230.0
2006-10-01,,,,0.0,0.0,0.0,88.861,1114.0,1114.0
2006-11-01,,,,0.0,0.0,0.0,65.99300000000001,827.0,827.0
2006-12-01,,,,0.0,0.0,0.0,68.796,862.0,862.0
2007-01-01,,,,0.0,0.0,0.0,77.435,959.0,959.0
2007-02-01,,,,0.0,0.0,0.0,71.682,888.0,888.0
2007-03-01,,,,0.0,0.0,0.0,60.768,753.0,753.0
2007-04-01,,,,0.0,0.0,0.0,83.563,1035.0,1035.0
2007-05-01,,,,0.0,0.0,0.0,84.561,1048.0,1048.0
2007-06-01,,,,0.0,0.0,0.0,94.85300000000001,1175.0,1175.0
2007-07-01,,,,0.0,0.0,0.0,117.01100000000001,1449.0,1449.0
2007-08-01,,,,0.0,0.0,0.0,157.972,1956.0,1956.0
2007-09-01,,,,0.0,0.0,0.0,103.807,1285.0,1285.0
2007-10-01,,,,0.0,0.0,0.0,98.065,1214.0,1214.0
2007-11-01,,,,0.0,0.0,0.0,60.09,744.0,744.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,75.193,931.0,931.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.766,8.0,8.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,6.0,6.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.554,6.0,6.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.617,6.0,6.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.597,6.0,6.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.924,11.0,11.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0550000000000002,12.0,12.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.083,12.0,12.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.735,8.0,8.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.75,8.0,8.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.5810000000000001,6.0,6.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.768,8.0,8.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
