measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2019-12-01,637.608,3495.0,3495.0,959.392,5258.0,5258.0
2020-01-01,108.717,854.0,854.0,1328.364,10450.0,10450.0
2020-02-01,96.009,755.0,755.0,1194.885,9401.0,9401.0
2020-03-01,106.576,839.0,839.0,1259.059,9906.0,9906.0
2020-04-01,75.371,593.0,593.0,1178.364,9271.0,9271.0
2020-05-01,70.869,557.0,557.0,1251.752,9848.0,9848.0
2020-06-01,99.692,785.0,785.0,1153.711,9077.0,9077.0
2020-07-01,139.458,1097.0,1097.0,1295.754,10195.0,10195.0
2020-08-01,173.426,1364.0,1364.0,1237.128,9734.0,9734.0
2020-09-01,151.027,1188.0,1188.0,1227.089,9655.0,9655.0
2020-10-01,156.846,1234.0,1234.0,1180.959,9291.0,9291.0
2020-11-01,125.283,986.0,986.0,1188.919,9354.0,9354.0
2020-12-01,138.868,1093.0,1093.0,1061.874,8354.0,8354.0
2021-01-01,90.029,862.0,862.0,1531.666,14644.0,14644.0
2021-02-01,76.347,730.0,730.0,1422.618,13603.0,13603.0
2021-03-01,82.088,784.0,784.0,1588.747,15191.0,15191.0
2021-04-01,72.839,696.0,696.0,1318.256,12605.0,12605.0
2021-05-01,76.126,728.0,728.0,1426.903,13644.0,13644.0
2021-06-01,104.099,995.0,995.0,1466.113,14018.0,14018.0
2021-07-01,143.654,1373.0,1373.0,1424.754,13623.0,13623.0
2021-08-01,131.161,1254.0,1254.0,1415.624,13536.0,13536.0
2021-09-01,111.603,1067.0,1067.0,1436.657,13737.0,13737.0
2021-10-01,106.391,1017.0,1017.0,1407.424,13457.0,13457.0
2021-11-01,97.779,935.0,935.0,1386.67,13259.0,13259.0
2021-12-01,100.921,965.0,965.0,1389.531,13286.0,13286.0
2022-01-01,78.233,825.0,825.0,1349.609,14243.0,14243.0
2022-02-01,64.956,685.0,685.0,1195.198,12614.0,12614.0
2022-03-01,60.102,634.0,634.0,1289.593,13610.0,13610.0
2022-04-01,61.564,650.0,650.0,1003.646,10592.0,10592.0
2022-05-01,56.496,596.0,596.0,1035.995,10934.0,10934.0
2022-06-01,76.838,811.0,811.0,1150.572,12143.0,12143.0
2022-07-01,102.648,1083.0,1083.0,1237.071,13056.0,13056.0
2022-08-01,123.858,1308.0,1308.0,1301.367,13734.0,13734.0
2022-09-01,113.516,1198.0,1198.0,1261.445,13313.0,13313.0
2022-10-01,104.247,1100.0,1100.0,1269.809,13401.0,13401.0
2022-11-01,95.733,1011.0,1011.0,1078.312,11381.0,11381.0
2022-12-01,105.815,1117.0,1117.0,1229.377,12975.0,12975.0
2023-01-01,9.744,98.0,98.0,1356.256,13700.0,13700.0
2023-02-01,85.146,859.0,859.0,974.854,9832.0,9832.0
2023-03-01,39.017,415.0,415.0,1143.983,12179.0,12179.0
2023-04-01,83.1,804.0,804.0,1264.9,12233.0,12233.0
2023-05-01,57.4,652.0,652.0,1140.6,12955.0,12955.0
2023-06-01,48.541,563.0,563.0,1081.459,12550.0,12554.0
2023-07-01,36.774,426.0,433.0,1088.226,12619.0,12826.0
2023-08-01,17.059,196.0,196.0,1029.941,11831.0,11831.0
2023-09-01,0.528,6.0,6.0,998.472,11583.0,11942.0
2023-10-01,648.196,7522.0,7738.0,42.804,497.0,511.0
2023-11-01,482.0,5584.0,6255.0,0.0,0.0,0.0
2023-12-01,822.0,8554.0,8554.0,0.0,0.0,0.0
2024-01-01,1100.0,9463.0,9463.0,0.0,0.0,0.0
2024-02-01,1406.0,13056.0,13056.0,0.0,0.0,0.0
2024-03-01,1753.139,15994.0,15994.0,119.861,1094.0,1094.0
2024-04-01,1100.262,10866.0,10866.0,595.738,5883.0,5883.0
2024-05-01,625.877,6622.0,6622.0,1024.123,10835.0,10835.0
2024-06-01,527.88,5476.0,5476.0,868.12,9005.0,9005.0
2024-07-01,181.259,1846.0,1846.0,313.741,3195.0,3195.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0
