measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2016-12-01,0.0,0.0,0.0
2017-01-01,265.888,2450.0,2450.0
2017-02-01,470.459,4334.0,4334.0
2017-03-01,632.704,5829.0,5829.0
2017-04-01,623.683,5746.0,5746.0
2017-05-01,820.074,7555.0,7555.0
2017-06-01,965.59,8896.0,8896.0
2017-07-01,1053.774,9708.0,9708.0
2017-08-01,763.279,7032.0,7032.0
2017-09-01,689.907,6356.0,6356.0
2017-10-01,502.408,4629.0,4629.0
2017-11-01,300.937,2773.0,2773.0
2017-12-01,228.297,2103.0,2103.0
2018-01-01,504.567,4594.0,4594.0
2018-02-01,602.868,5489.0,5489.0
2018-03-01,997.284,9079.0,9079.0
2018-04-01,1205.28,10973.0,10973.0
2018-05-01,1265.871,11524.0,11524.0
2018-06-01,1159.913,10560.0,10560.0
2018-07-01,1413.67,12870.0,12870.0
2018-08-01,1098.411,10000.0,10000.0
2018-09-01,903.967,8230.0,8230.0
2018-10-01,662.395,6030.0,6030.0
2018-11-01,367.95,3350.0,3350.0
2018-12-01,277.824,2529.0,2529.0
2019-01-01,402.702,3586.0,3586.0
2019-02-01,253.654,2259.0,2259.0
2019-03-01,735.344,6548.0,6548.0
2019-04-01,905.74,8066.0,8066.0
2019-05-01,1130.829,10070.0,10070.0
2019-06-01,1293.498,11519.0,11519.0
2019-07-01,1279.907,11398.0,11398.0
2019-08-01,1209.488,10770.0,10770.0
2019-09-01,806.275,7180.0,7180.0
2019-10-01,608.487,5419.0,5419.0
2019-11-01,370.408,3298.0,3298.0
2019-12-01,321.668,2864.0,2864.0
2020-01-01,320.531,2810.0,2810.0
2020-02-01,710.82,6232.0,6232.0
2020-03-01,862.429,7561.0,7561.0
2020-04-01,1140.194,9996.0,9996.0
2020-05-01,1186.036,10398.0,10398.0
2020-06-01,1285.531,11270.0,11270.0
2020-07-01,1239.599,10868.0,10868.0
2020-08-01,1227.445,10761.0,10761.0
2020-09-01,865.566,7588.0,7588.0
2020-10-01,647.757,5679.0,5679.0
2020-11-01,495.725,4346.0,4346.0
2020-12-01,310.367,2721.0,2721.0
2021-01-01,399.147,3530.0,3530.0
2021-02-01,598.037,5289.0,5289.0
2021-03-01,1024.953,9065.0,9065.0
2021-04-01,926.324,8192.0,8192.0
2021-05-01,1176.058,10401.0,10401.0
2021-06-01,1461.52,12926.0,12926.0
2021-07-01,1327.075,11737.0,11737.0
2021-08-01,1221.794,10806.0,10806.0
2021-09-01,1040.633,9203.0,9203.0
2021-10-01,698.062,6174.0,6174.0
2021-11-01,429.142,3795.0,3795.0
2021-12-01,273.255,2417.0,2417.0
2022-01-01,450.482,1537.0,1537.0
2022-02-01,677.766,2313.0,2313.0
2022-03-01,890.692,3039.0,3039.0
2022-04-01,754.388,2574.0,2574.0
2022-05-01,1114.161,3802.0,3802.0
2022-06-01,1396.981,4766.0,4766.0
2022-07-01,1358.114,4634.0,4634.0
2022-08-01,1200.575,4096.0,4096.0
2022-09-01,1126.656,3844.0,3844.0
2022-10-01,751.264,2563.0,2563.0
2022-11-01,404.887,1381.0,1381.0
2022-12-01,194.034,662.0,662.0
2023-01-01,209.0,713.0,713.0
2023-02-01,566.0,1931.0,1931.0
2023-03-01,998.0,3405.0,3405.0
2023-04-01,949.0,3238.0,3238.0
2023-05-01,1328.0,4531.0,4531.0
2023-06-01,1346.0,4593.0,4593.0
2023-07-01,1403.0,4787.0,4787.0
2023-08-01,1264.0,4313.0,4313.0
2023-09-01,980.0,3344.0,3344.0
2023-10-01,741.0,2528.0,2528.0
2023-11-01,516.0,1761.0,1761.0
2023-12-01,316.0,1078.0,1078.0
2024-01-01,339.0,1157.0,1157.0
2024-02-01,692.0,2361.0,2361.0
2024-03-01,1035.0,3531.0,3531.0
2024-04-01,1041.0,3552.0,3552.0
2024-05-01,1271.0,4337.0,4337.0
2024-06-01,1194.0,4074.0,4074.0
2024-07-01,1274.0,4347.0,4347.0
2024-08-01,1131.0,3859.0,3859.0
2024-09-01,1175.0,4009.0,4009.0
2024-10-01,875.0,2986.0,2986.0
2024-11-01,413.0,1409.0,1409.0
2024-12-01,241.0,822.0,822.0
