measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed"
2003-01-01,27257.0,279138.94,279138.94
2003-02-01,25221.0,258288.26,258288.26
2003-03-01,27721.0,283890.76,283890.76
2003-04-01,26716.0,273598.56,273598.56
2003-05-01,8352.0,85532.83,85532.83
2003-06-01,24587.0,251795.47,251795.47
2003-07-01,27219.0,278749.78,278749.78
2003-08-01,27315.0,279732.92,279732.92
2003-09-01,26804.0,274499.76,274499.76
2003-10-01,27450.0,281115.45,281115.45
2003-11-01,25528.0,261432.25,261432.25
2003-12-01,26392.0,270280.47,270280.47
2004-01-01,28272.0,283341.98,283341.98
2004-02-01,26329.0,263869.24,263869.24
2004-03-01,27731.0,277920.08,277920.08
2004-04-01,25729.0,257856.04,257856.04
2004-05-01,8040.0,80576.88,80576.88
2004-06-01,24855.0,249096.81,249096.81
2004-07-01,26811.0,268699.84,268699.84
2004-08-01,26718.0,267767.8,267767.8
2004-09-01,26023.0,260802.51,260802.51
2004-10-01,27398.0,274582.76,274582.76
2004-11-01,27095.0,271546.09,271546.09
2004-12-01,27717.0,277779.77,277779.77
2005-01-01,27732.0,277292.27,277292.27
2005-02-01,24696.0,246935.3,246935.3
2005-03-01,26514.0,265113.49,265113.49
2005-04-01,18585.0,185831.42,185831.42
2005-05-01,27592.0,275892.41,275892.41
2005-06-01,26809.0,268063.19,268063.19
2005-07-01,25799.0,257964.2,257964.2
2005-08-01,26198.0,261953.8,261953.8
2005-09-01,25778.0,257754.22,257754.22
2005-10-01,27891.0,278882.11,278882.11
2005-11-01,27183.0,271802.82,271802.82
2005-12-01,27314.0,273112.69,273112.69
2006-01-01,17878.0,177331.88,177331.88
2006-02-01,25278.0,250732.48,250732.48
2006-03-01,28224.0,279953.86,279953.86
2006-04-01,26736.0,265194.38,265194.38
2006-05-01,27831.0,276055.69,276055.69
2006-06-01,24509.0,243104.77,243104.77
2006-07-01,26342.0,261286.3,261286.3
2006-08-01,26658.0,264420.7,264420.7
2006-09-01,26670.0,264539.73,264539.73
2006-10-01,27716.0,274915.0,274915.0
2006-11-01,26144.0,259322.34,259322.34
2006-12-01,24848.0,246467.31,246467.31
2007-01-01,25245.0,249521.58,249521.58
2007-02-01,23102.0,228340.17,228340.17
2007-03-01,18482.0,182676.09,182676.09
2007-04-01,22791.0,225266.24,225266.24
2007-05-01,25641.0,253435.64,253435.64
2007-06-01,25393.0,250984.41,250984.41
2007-07-01,24456.0,241723.1,241723.1
2007-08-01,22038.0,217823.59,217823.59
2007-09-01,23714.0,234389.18,234389.18
2007-10-01,25372.0,250776.85,250776.85
2007-11-01,23941.0,236632.84,236632.84
2007-12-01,23461.0,231888.52,231888.52
2008-01-01,23856.88,235085.7,235085.7
2008-02-01,21579.497,212644.36000000002,212644.36000000002
2008-03-01,22692.043,223607.39,223607.39
2008-04-01,21882.850000000002,215633.6,215633.6
2008-05-01,22671.336,223403.34,223403.34
2008-06-01,23018.714,226826.41,226826.41
2008-07-01,23459.097999999998,231165.95,231165.95
2008-08-01,23177.467,228390.76,228390.76
2008-09-01,22511.191,221825.28,221825.28
2008-10-01,23282.219,229422.99,229422.99
2008-11-01,22237.129,219124.67,219124.67
2008-12-01,22631.576,223011.55000000002,223011.55000000002
2009-01-01,25705.866,250889.25,250889.25
2009-02-01,23285.658,227268.02,227268.02
2009-03-01,25890.672,252692.96,252692.96
2009-04-01,24672.114999999998,240799.84,240799.84
2009-05-01,25170.8,245667.01,245667.01
2009-06-01,24367.354,237825.38,237825.38
2009-07-01,25685.347999999998,250689.0,250689.0
2009-08-01,25450.743000000002,248399.25,248399.25
2009-09-01,24759.566,241653.36,241653.36
2009-10-01,25438.366,248278.45,248278.45
2009-11-01,24924.145,243259.66,243259.66
2009-12-01,26649.367,260097.82,260097.82
2010-01-01,27484.87,268142.0,268142.0
2010-02-01,24689.783,240874.0,240874.0
2010-03-01,26913.097999999998,262564.0,262564.0
2010-04-01,25470.557,248491.0,248491.0
2010-05-01,26747.95,260953.0,260953.0
2010-06-01,25912.541,252803.0,252803.0
2010-07-01,26650.803,260005.0,260005.0
