measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2023-01-01,6.539,72.0,72.0
2023-02-01,2.999,34.0,36.0
2023-03-01,5.925,67.0,72.0
2023-04-01,13.091,149.0,156.0
2023-05-01,7.447,85.0,90.0
2023-06-01,5.781,66.0,66.0
2023-07-01,6.515,74.0,78.0
2023-08-01,8.52,97.0,102.0
2023-09-01,8.397,96.0,102.0
2023-10-01,4.017,46.0,48.0
2023-11-01,6.72,76.0,78.0
2023-12-01,9.049,103.0,108.0
2024-01-01,26.703,240.0,240.0
2024-02-01,5.937,54.0,54.0
2024-03-01,6.126,54.0,54.0
2024-04-01,8.388,72.0,72.0
2024-05-01,11.902,108.0,108.0
2024-06-01,9.455,84.0,84.0
2024-07-01,8.265,72.0,72.0
2024-08-01,7.72,66.0,66.0
2024-09-01,7.961,72.0,72.0
2024-10-01,7.788,72.0,72.0
2024-11-01,6.377,54.0,54.0
2024-12-01,7.378,66.0,66.0
