measured_on,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2001-01-01,3903.0,133886.0,457730.0
2001-02-01,2954.0,120586.0,412260.0
2001-03-01,1960.0,134249.0,458970.0
2001-04-01,1960.0,73834.0,252420.0
2001-05-01,1960.0,73834.0,252420.0
2001-06-01,18396.0,127896.0,437250.0
2001-07-01,18396.0,127896.0,437250.0
2001-08-01,19131.0,140810.0,481400.0
2001-09-01,14952.0,121845.0,416560.0
2001-10-01,19362.0,137453.0,469920.0
2001-11-01,17031.0,131315.0,448940.0
2001-12-01,12532.0,132825.0,454100.0
2002-01-01,12852.0,353240.0,449350.0
2002-02-01,15246.0,348580.0,429150.0
2002-03-01,19312.7,334244.0,459630.0
2002-04-01,17451.0,277924.0,417720.0
2002-05-01,14634.0,220058.0,388160.0
2002-06-01,5897.0,62855.0,214893.0
2002-07-01,6090.0,113301.0,127470.0
2002-08-01,12932.0,384023.0,452030.0
2002-09-01,17808.0,416866.0,453130.0
2002-10-01,18186.0,426651.0,457520.0
2002-11-01,13902.0,308226.0,441060.0
2002-12-01,17388.0,185335.0,633637.0
2003-01-01,15876.0,249334.0,339780.0
2003-02-01,14574.0,231104.0,308078.0
2003-03-01,17073.0,279259.0,346185.0
2003-04-01,16212.0,111363.0,175532.0
2003-07-01,17388.0,133529.0,181076.0
2003-08-01,17493.0,126177.0,186328.0
2003-09-01,19173.0,132764.0,178328.0
2003-10-01,18648.0,162723.0,184244.0
2003-11-01,16842.0,131331.0,174372.0
2003-12-01,20286.0,171230.0,187144.0
2004-01-01,1346.011,15782.09,62694.88
2004-02-01,1376.5030000000002,16139.62,64115.18
2004-03-01,1422.124,16674.52,66240.14
2004-04-01,1563.797,18335.64,72838.97
2004-05-01,1635.6,19177.56,76183.38
2004-06-01,1577.871,18500.67,73494.51
2004-07-01,1785.8120000000001,20938.8,83180.11
2004-08-01,1381.488,16198.07,64347.41
2004-09-01,1220.441,14309.78,56846.04
2004-10-01,1280.702,15016.35,59652.93
2004-11-01,1642.645,19260.16,76511.56
2004-12-01,1325.945,15546.82,61760.3
2005-02-01,14136.78,165754.96,490152.0
2005-03-01,14381.22,168621.04,506328.0
2005-04-01,13301.61,155962.52,489360.0
2005-07-01,15542.31,182234.92,306586.0
2005-08-01,12812.73,150230.36,297983.0
2005-09-01,10673.88,125152.16,243712.0
2005-10-01,11142.39,130645.48,212450.0
2005-11-01,4909.17,57560.44,96418.0
