measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,16603.587,106060.0,743834.0,,,,,,,1469.259,9384.0,65813.0,,,,5497.718,111245.0,112455.0,3375.4550000000004,21561.0,151211.0,,,,8276.826000000001,52872.0,370807.0
2003-02-01,14941.308,117406.0,681516.0,,,,,,,169.973,1340.0,7775.0,20267.132,280253.0,280253.0,4599.837,-94029.0,102735.0,3574.237,28086.0,163037.0,,,,7151.354,56193.0,326190.0
2003-03-01,17996.0,161177.0,782084.0,,,,,,,246.0,2202.0,10689.0,,,,5654.0,121710.0,121710.0,2782.0,24918.0,120912.0,,,,10021.0,89754.0,435517.0
2003-04-01,17994.0,164841.0,759251.0,,,,,,,143.0,1309.0,6029.0,21104.0,249518.0,267052.0,720.0,93013.0,93013.0,3332.0,30521.0,140576.0,,,,8807.0,80683.0,371626.0
2003-05-01,17230.0,137835.0,738773.0,,,,,,,629.0,5030.0,26963.0,21011.0,105861.0,297018.0,2270.0,98844.0,98844.0,3324.0,26594.0,142542.0,,,,8370.0,66954.0,358859.0
2003-06-01,17815.0,148704.0,760504.0,,,,,,,0.0,0.0,0.0,,,,3501.0,79466.0,79466.0,2710.0,22624.0,115709.0,,,,7708.0,64339.0,329047.0
2003-07-01,15229.0,163189.0,638132.0,,,,,,,583.0,6249.0,24435.0,21722.0,121713.0,307603.0,1411.0,93074.0,93074.0,2381.0,25509.0,99748.0,,,,9039.0,96859.0,378751.0
2003-08-01,16741.0,191159.0,747926.0,,,,,,,244.0,2785.0,10897.0,23673.0,104894.0,308999.0,2938.0,190101.0,190101.0,4133.0,47197.0,184662.0,,,,7864.0,89801.0,351351.0
2003-09-01,17290.0,182379.0,760235.0,,,,,,,103.0,1081.0,4508.0,,,,3574.0,89184.0,89184.0,2724.0,28737.0,119790.0,,,,9096.0,95942.0,399927.0
2003-10-01,8871.0,90950.0,400948.0,,,,,,,576.0,5910.0,26051.0,,,,1723.0,45707.0,45707.0,3670.0,37629.0,165886.0,,,,6504.0,66678.0,293948.0
2003-11-01,18985.0,78952.0,737843.0,,,,,,,155.0,647.0,6043.0,,,,6251.0,106161.0,106161.0,3583.0,14899.0,139235.0,,,,7274.0,30251.0,282701.0
