measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2018-01-01,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2019-01-01,677.344,6064.0,6064.0
2019-02-01,647.484,5796.0,5796.0
2019-03-01,602.775,5395.0,5395.0
2019-04-01,530.396,4748.0,4748.0
2019-05-01,514.183,4603.0,4603.0
2019-06-01,684.975,6131.0,6131.0
2019-07-01,1165.702,10434.0,10434.0
2019-08-01,1019.067,9121.0,9121.0
2019-09-01,728.014,6516.0,6516.0
2019-10-01,613.857,5495.0,5495.0
2019-11-01,648.151,5801.0,5801.0
2019-12-01,723.052,6473.0,6473.0
2020-01-01,677.692,4950.0,4950.0
2020-02-01,636.728,4652.0,4652.0
2020-03-01,623.329,4553.0,4553.0
2020-04-01,444.779,3249.0,3249.0
2020-05-01,519.721,3797.0,3797.0
2020-06-01,826.751,6040.0,6040.0
2020-07-01,1190.44,8696.0,8696.0
2020-08-01,1060.355,7746.0,7746.0
2020-09-01,832.044,6078.0,6078.0
2020-10-01,623.119,4552.0,4552.0
2020-11-01,642.341,4693.0,4693.0
2020-12-01,654.701,4783.0,4783.0
2021-01-01,700.652,4998.0,4998.0
2021-02-01,588.849,4200.0,4200.0
2021-03-01,580.569,4141.0,4141.0
2021-04-01,493.785,3522.0,3522.0
2021-05-01,624.485,4455.0,4455.0
2021-06-01,887.426,6330.0,6330.0
2021-07-01,987.367,7043.0,7043.0
2021-08-01,1074.302,7663.0,7663.0
2021-09-01,730.631,5212.0,5212.0
2021-10-01,722.882,5157.0,5157.0
2021-11-01,728.353,5196.0,5196.0
2021-12-01,721.699,5148.0,5148.0
2022-01-01,551.103,3988.0,3988.0
2022-02-01,506.522,3666.0,3666.0
2022-03-01,554.756,4015.0,4015.0
2022-04-01,607.403,4396.0,4396.0
2022-05-01,712.245,5155.0,5155.0
2022-06-01,746.265,5401.0,5401.0
2022-07-01,1007.294,7290.0,7290.0
2022-08-01,1003.369,7261.0,7261.0
2022-09-01,680.711,4927.0,4927.0
2022-10-01,639.977,4632.0,4632.0
2022-11-01,591.725,4282.0,4282.0
2022-12-01,631.63,4572.0,4572.0
2023-01-01,603.748,4326.0,4326.0
2023-02-01,544.256,3899.0,3899.0
2023-03-01,528.181,3784.0,3784.0
2023-04-01,466.655,3343.0,3343.0
2023-05-01,527.466,3779.0,3779.0
2023-06-01,701.675,5027.0,5027.0
2023-07-01,1020.873,7314.0,7314.0
2023-08-01,803.149,5754.0,5754.0
2023-09-01,724.537,5191.0,5191.0
2023-10-01,568.197,4071.0,4071.0
2023-11-01,682.247,4888.0,4888.0
2023-12-01,653.016,4678.0,4678.0
2024-01-01,767.0,5391.0,5391.0
2024-02-01,687.0,4750.0,4750.0
2024-03-01,722.0,4967.0,4967.0
2024-04-01,751.0,5153.0,5153.0
2024-05-01,817.0,5596.0,5596.0
2024-06-01,767.0,5272.0,5272.0
2024-07-01,802.0,5527.0,5527.0
2024-08-01,844.0,5851.0,5851.0
2024-09-01,877.0,6059.0,6059.0
2024-10-01,901.0,6236.0,6236.0
2024-11-01,867.0,6008.0,6008.0
2024-12-01,868.0,6013.0,6013.0
