measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,2.31,23.66,23.66,10202.806,128024.0,128024.0,3593.2340000000004,9989.0,9989.0,,,,0.0,0.0,0.0
2003-02-01,1.982,20.3,20.3,8753.459,109838.0,109838.0,3082.802,8570.0,8570.0,,,,0.0,0.0,0.0
2003-03-01,2.138,21.9,21.9,9441.591,118472.0,118472.0,3325.1490000000003,9243.0,9243.0,,,,0.0,0.0,0.0
2003-04-01,2.168,22.2,22.2,9574.568000000001,120141.0,120141.0,3371.981,9374.0,9374.0,,,,0.0,0.0,0.0
2003-05-01,2.4,24.58,24.58,10600.115,133009.0,133009.0,3733.159,10378.0,10378.0,,,,0.0,0.0,0.0
2003-06-01,2.358,24.15,24.15,10412.312,130653.0,130653.0,3667.018,10194.0,10194.0,,,,0.0,0.0,0.0
2003-07-01,2.564,26.26,26.26,11322.776,142077.0,142077.0,3987.666,11085.0,11085.0,,,,0.0,0.0,0.0
2003-08-01,2.6510000000000002,27.15,27.15,11705.451000000001,146879.0,146879.0,4122.437,11460.0,11460.0,,,,0.0,0.0,0.0
2003-09-01,2.029,20.78,20.78,8960.386,112434.0,112434.0,3155.677,8772.0,8772.0,,,,0.0,0.0,0.0
2003-10-01,2.04,20.89,20.89,9008.397,113037.0,113037.0,3172.5860000000002,8819.0,8819.0,,,,0.0,0.0,0.0
2003-11-01,1.991,20.39,20.39,8791.527,110315.0,110315.0,3096.208,8607.0,8607.0,,,,0.0,0.0,0.0
2003-12-01,2.369,24.26,24.26,10463.61,131296.0,131296.0,3685.0840000000003,10244.0,10244.0,,,,0.0,0.0,0.0
2004-01-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-02-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-03-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-04-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-05-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-06-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-07-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-08-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-09-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-10-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-11-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2004-12-01,,,,,,,14917.75,138440.0,138440.0,,,,,,
2005-01-01,0.0,0.0,0.0,8764.961000000001,65177.32,65177.32,3074.693,0.0,0.0,,,,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,7276.1720000000005,54106.5,54106.5,2552.435,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,9010.945,67006.48,67006.48,3160.983,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,8878.565,66022.09,66022.09,3114.545,0.0,0.0,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,10466.394,77829.38,77829.38,3671.545,0.0,0.0,,,,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,13208.877,98222.82,98222.82,4633.591,0.0,0.0,,,,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,16554.672,123102.56,123102.56,5807.274,0.0,0.0,,,,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,17148.846,127520.9,127520.9,6015.707,0.0,0.0,,,,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,13049.2,97035.44,97035.44,4577.577,0.0,0.0,,,,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,10424.718,77519.47,77519.47,3656.925,0.0,0.0,,,,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,8894.01,66136.94,66136.94,3119.963,0.0,0.0,,,,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,8679.64,64542.86,64542.86,3044.763,0.0,0.0,,,,0.0,0.0,0.0
2006-01-01,0.455,5.0,5.0,5739.812,70182.0,70182.0,1669.404,0.0,0.0,,,,0.0,0.0,0.0
2006-02-01,0.399,4.0,4.0,6809.764,83264.0,83264.0,1980.596,0.0,0.0,,,,0.0,0.0,0.0
