measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-09-01,334.139,8221.0,8221.0,3263.946,80302.0,80302.0,645.414,15879.0,15879.0
2013-10-01,381.125,9377.0,9377.0,3182.18,78291.0,78291.0,736.171,18112.0,18112.0
2013-11-01,440.088,10827.0,10827.0,2629.736,64699.0,64699.0,850.064,20914.0,20914.0
2013-12-01,479.636,11800.0,11800.0,2473.607,60858.0,60858.0,926.454,22793.0,22793.0
2015-01-01,50.479,1202.0,1202.0,851.709,20272.0,20272.0,105.198,2504.0,2504.0
2015-02-01,44.643,1063.0,1063.0,767.808,18276.0,18276.0,93.037,2214.0,2214.0
2015-03-01,49.115,1169.0,1169.0,887.384,21122.0,21122.0,102.359,2436.0,2436.0
2015-04-01,46.549,1108.0,1108.0,1005.145,23924.0,23924.0,97.01,2309.0,2309.0
2015-05-01,44.76,1065.0,1065.0,1027.634,24460.0,24460.0,93.281,2220.0,2220.0
2015-06-01,40.98,975.0,975.0,1071.31,25499.0,25499.0,85.405,2033.0,2033.0
2015-07-01,53.647,1277.0,1277.0,1127.626,26839.0,26839.0,111.804,2661.0,2661.0
2015-08-01,49.503,1178.0,1178.0,1142.176,27186.0,27186.0,103.167,2456.0,2456.0
2015-09-01,47.393,1128.0,1128.0,1069.029,25445.0,25445.0,98.77,2351.0,2351.0
2015-10-01,55.766,1328.0,1328.0,1016.637,24198.0,24198.0,116.218,2766.0,2766.0
2015-11-01,54.454,1296.0,1296.0,909.597,21651.0,21651.0,113.485,2701.0,2701.0
2015-12-01,58.11,1383.0,1383.0,918.147,21853.0,21853.0,121.105,2883.0,2883.0
2016-01-01,15.337,343.0,343.0,1107.569,24792.0,24792.0,172.733,3866.0,3866.0
2016-02-01,14.93,334.0,334.0,1034.619,23158.0,23158.0,168.167,3764.0,3764.0
2016-03-01,15.07,337.0,337.0,1122.986,25136.0,25136.0,169.74,3799.0,3799.0
2016-04-01,15.528,348.0,348.0,1234.793,27638.0,27638.0,174.901,3915.0,3915.0
2016-05-01,15.095,338.0,338.0,1297.906,29052.0,29052.0,170.028,3806.0,3806.0
2016-06-01,13.797,309.0,309.0,1418.035,31740.0,31740.0,155.402,3478.0,3478.0
2016-07-01,14.445,323.0,323.0,1527.404,34188.0,34188.0,162.704,3642.0,3642.0
2016-08-01,14.031,314.0,314.0,1534.59,34349.0,34349.0,158.038,3537.0,3537.0
2016-09-01,13.071,293.0,293.0,1379.395,30875.0,30875.0,147.228,3295.0,3295.0
2016-10-01,12.608,282.0,282.0,1243.267,27828.0,27828.0,142.013,3179.0,3179.0
