measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,5325.0,91603.0,91603.0,,,,65.0,1117.0,1117.0,,,,,,
2003-02-01,2692.0,48242.0,48242.0,,,,88.0,1585.0,1585.0,,,,,,
2003-03-01,2809.0,48962.0,48962.0,,,,1.0,21.0,21.0,,,,,,
2003-04-01,1270.0,20342.0,20342.0,,,,0.0,0.0,0.0,,,,,,
2003-05-01,520.0,10160.0,10160.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-06-01,5319.0,104163.0,104163.0,0.0,0.0,0.0,4741.0,92832.0,92832.0,,,,,,
2003-07-01,4757.9,91393.0,91393.0,0.0,0.0,0.0,15322.3,294303.0,294303.0,,,,,,
2003-08-01,15994.0,286477.0,286477.0,0.0,0.0,0.0,16466.0,294925.0,294925.0,,,,,,
2003-09-01,1261.0,22353.0,22353.0,0.0,0.0,0.0,1919.0,33996.0,33996.0,,,,,,
2003-10-01,4.0,109.0,109.0,0.0,0.0,0.0,26.0,644.0,644.0,,,,,,
2003-11-01,324.0,6037.0,6037.0,42.0,788.0,788.0,203.0,3788.0,3788.0,,,,,,
2003-12-01,1070.0,18974.0,18974.0,310.0,5499.0,5499.0,0.0,0.0,0.0,,,,,,
2004-01-01,10681.0,172805.0,172805.0,2909.0,47062.0,47062.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-02-01,464.0,5672.0,5672.0,46.0,566.0,566.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-03-01,4698.0,74682.0,74682.0,1902.0,30225.0,30225.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
