measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,745.0,10723.0,11160.0,32957.0,474174.0,493537.0,144.0,2075.0,2160.0
2003-02-01,,,,1368.0,20602.0,21303.0,27629.0,416107.0,430265.0,189.0,2840.0,2936.0
2003-03-01,,,,342.0,5934.0,6039.0,28857.0,500955.0,509806.0,115.0,2005.0,2040.0
2003-04-01,,,,120.0,2000.0,2029.0,33441.0,558066.0,566010.0,130.0,2177.0,2208.0
2003-05-01,,,,52.0,871.0,882.0,35615.0,597156.0,605274.0,215.0,3599.0,3648.0
2003-06-01,,,,138.0,2345.0,2364.0,32697.0,554278.0,558603.0,260.0,4413.0,4448.0
2003-07-01,,,,71.0,1063.0,1067.0,36084.0,538208.0,540258.0,194.0,2893.0,2904.0
2003-08-01,,,,63.0,884.0,888.0,36038.0,508157.0,509967.0,53.0,750.0,752.0
2003-09-01,,,,166.0,1858.0,1876.0,176.0,1967.0,1986.0,34358.0,384694.0,388328.0
2003-10-01,,,,0.0,0.0,0.0,20306.0,289218.0,294003.0,228.0,3250.0,3304.0
2003-11-01,,,,321.0,4477.0,4557.0,33601.0,469023.0,477429.0,269.0,3757.0,3824.0
2003-12-01,,,,146.0,2032.0,2088.0,35997.0,499563.0,513480.0,479.0,6647.0,6832.0
2004-01-01,,,,1418.99045,20393.71,23255.4,24778.23333,356112.35,406082.88,308.01723,4426.82,5048.0
2004-02-01,,,,315.59332,4304.16,4304.16,34392.2808,469052.64,469052.64,154.85788,2112.0,2112.0
2004-03-01,,,,0.0,0.0,0.0,35891.213,515827.91,543886.56,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0,34962.56302,502481.38,514906.56,49.974979999999995,718.24,736.0
2004-05-01,,,,16.38579,235.2,235.2,36296.39821,520994.88,520994.88,0.0,0.0,0.0
2004-06-01,,,,21.00572,301.89,305.76,34381.74128,494133.83,500461.92,0.0,0.0,0.0
2004-07-01,,,,21.00572,301.89,305.76,34381.74128,494133.83,500461.92,0.0,0.0,0.0
