measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,2950.74,31146.0,31146.0,,,,2830.46,29868.0,29868.0,985.52,-7264.0,848.0
2003-02-01,1113.56,11716.0,11716.0,,,,0.0,0.0,0.0,130.95,0.0,0.0
2003-03-01,3530.8,37874.0,37874.0,,,,3406.64,36547.0,36547.0,1164.97,0.0,0.0
2003-04-01,55.29,584.0,584.0,,,,4891.71,52035.0,52035.0,910.83,-4966.0,325.0
2003-05-01,76.63,812.0,812.0,,,,4229.2,44909.0,44909.0,773.09,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,6072.0,62727.0,62727.0,1183.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,12815.64,107834.0,107834.0,2583.11,0.0,0.0
2003-08-01,54.32,515.0,580.0,,,,13801.16,129868.0,146099.0,2807.18,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,9137.4,98072.0,98072.0,1832.33,-10949.0,2.0
2003-10-01,0.0,0.0,0.0,,,,8800.0,90896.0,90896.0,1574.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,2494.84,26636.0,26636.0,468.51,-2458.0,394.0
2003-12-01,121.25,2900.0,2900.0,,,,92.15,2201.0,2201.0,23.28,36.0,292.0
2004-01-01,1822.11406,21429.21,21429.21,24.83435,0.0,0.0,13.26194,155.97,155.97,0.18264999999999998,1.64,1.64
2004-02-01,417.12631,4905.1,4905.1,22.5379,0.0,0.0,17.194689999999998,202.2,202.2,0.9361,1.53,1.53
2004-03-01,159.31324,1873.0,1873.0,19.86306,0.0,0.0,16.90476,198.74,198.74,2.12294,1.44,1.44
2004-04-01,0.14278,1.67,1.67,0.22246,0.0,0.0,20.03822,234.8,234.8,31.497539999999997,2.08,2.08
2004-05-01,14.32908,168.1,168.1,16.85438,0.0,0.0,29.538919999999997,346.53,346.53,35.08462,3.39,3.39
2004-06-01,5.7735899999999996,67.69,67.69,8.748429999999999,0.0,0.0,27.60841,323.7,323.7,42.26357,3.33,3.33
2004-07-01,0.36716,4.3,4.3,0.64988,0.0,0.0,31.47684,368.82,368.82,56.27612,3.71,3.71
2004-08-01,22.302429999999998,261.68,261.68,14.42713,0.0,0.0,37.439569999999996,439.3,439.3,24.35887,2.53,2.53
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26.199,306.98,306.98,49.519000000000005,3.23,3.23
2004-10-01,14.004800000000001,164.39,164.39,21.34162,0.0,0.0,15.7912,185.36,185.36,24.45138,2.98,2.98
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,21.55,252.5,252.5,37.546,2.45,2.45
2004-12-01,185.35241,2178.93,2178.93,39.86906,0.0,0.0,25.749589999999998,302.7,302.7,5.59294,2.96,2.96
