measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,13.309000000000001,148.0,148.0,,,
2003-02-01,11.745,131.0,131.0,,,
2003-03-01,12.085,134.0,134.0,,,
2003-04-01,10.853,121.0,121.0,,,
2003-05-01,11.076,123.0,123.0,,,
2003-06-01,11.746,131.0,131.0,,,
2003-07-01,13.585,151.0,151.0,,,
2003-08-01,14.403,160.0,160.0,,,
2003-09-01,12.069,134.0,134.0,,,
2003-10-01,11.321,126.0,126.0,,,
2003-11-01,11.284,126.0,126.0,,,
2003-12-01,12.523000000000001,139.0,139.0,,,
2004-01-01,45.396,359.0,359.0,,,
2004-02-01,11.942,95.0,95.0,,,
2004-03-01,1.9360000000000002,15.0,15.0,,,
2004-04-01,11.175,88.0,88.0,,,
2004-05-01,14.974,118.0,118.0,,,
2004-06-01,0.11,1.0,1.0,,,
2004-07-01,11.723,93.0,93.0,,,
2004-08-01,5.405,43.0,43.0,,,
2004-09-01,0.0,0.0,0.0,,,
2004-10-01,0.9860000000000001,8.0,8.0,,,
2004-11-01,1.169,9.0,9.0,,,
2004-12-01,13.184000000000001,104.0,104.0,,,
2005-01-01,194.195,1968.42,1968.42,,,
2005-02-01,66.71900000000001,676.29,676.29,,,
2005-03-01,73.95,749.58,749.58,,,
2005-04-01,89.574,907.95,907.95,,,
2005-05-01,83.19200000000001,843.26,843.26,,,
2005-06-01,107.975,1094.47,1094.47,,,
2005-07-01,109.905,1114.03,1114.03,,,
2005-08-01,129.112,1308.72,1308.72,,,
2005-09-01,84.518,856.7,856.7,,,
2005-10-01,93.85900000000001,951.37,951.37,,,
2005-11-01,75.45400000000001,764.82,764.82,,,
2005-12-01,159.54600000000002,1617.2,1617.2,,,
2006-01-01,49.243,381.0,381.0,,,
2006-02-01,25.767,199.0,199.0,,,
2006-03-01,21.645,167.0,167.0,,,
2006-04-01,41.461,321.0,321.0,,,
2006-05-01,38.756,300.0,300.0,,,
