measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,17864.0,237289.0,237289.0,,,,409.0,5440.0,5440.0,,,,,,,,,,,,,,,,,,
2003-02-01,24376.0,302062.0,302062.0,,,,412.0,5102.0,5102.0,,,,,,,,,,,,,,,,,,
2003-03-01,25767.0,319691.0,319691.0,,,,291.0,3614.0,3614.0,,,,,,,,,,,,,,,,,,
2003-04-01,2855.0,37510.0,37510.0,,,,197.0,2594.0,2594.0,,,,,,,,,,,,,,,,,,
2003-05-01,15461.0,207980.0,207980.0,,,,241.0,3242.0,3242.0,,,,,,,,,,,,,,,,,,
2003-06-01,26643.0,333781.0,333781.0,,,,15.0,184.0,184.0,,,,,,,,,,,,,,,,,,
2003-07-01,25926.0,388734.0,388734.0,,,,105.0,1570.0,1570.0,,,,,,,,,,,,,,,,,,
2003-08-01,27095.0,412589.0,412589.0,,,,116.0,1773.0,1773.0,,,,,,,,,,,,,,,,,,
2003-09-01,26289.0,328769.0,328769.0,,,,15.0,189.0,189.0,,,,,,,,,,,,,,,,,,
2003-10-01,12190.0,166220.0,166220.0,,,,114.0,1554.0,1554.0,,,,,,,295.0,4021.0,4021.0,,,,,,,,,
2003-11-01,21792.0,279000.0,279000.0,,,,108.0,1382.0,1382.0,,,,,,,295.0,3781.0,3781.0,,,,,,,,,
2003-12-01,21081.0,279969.0,279969.0,,,,360.0,4783.0,4783.0,,,,,,,1578.0,20958.0,20958.0,,,,,,,,,
2004-01-01,11866.445,161655.0,161655.0,,,,209.406,2852.0,2852.0,8543.213,116383.0,116383.0,,,,0.0,0.0,0.0,,,,,,,74.074,1009.0,1009.0
2004-02-01,11677.327,159078.0,159078.0,,,,282.12100000000004,3843.0,3843.0,8990.635,122478.0,122478.0,,,,0.0,0.0,0.0,,,,,,,81.146,1105.0,1105.0
2004-03-01,10862.264,147975.0,147975.0,,,,243.377,3315.0,3315.0,9679.706,131865.0,131865.0,,,,0.0,0.0,0.0,,,,,,,94.221,1283.0,1283.0
2004-04-01,9350.846,127385.0,127385.0,,,,258.421,3520.0,3520.0,6122.496,83406.0,83406.0,,,,0.0,0.0,0.0,,,,,,,75.922,1034.0,1034.0
2004-05-01,9297.964,126665.0,126665.0,,,,509.103,6935.0,6935.0,9526.696,129780.0,129780.0,,,,0.0,0.0,0.0,,,,,,,73.86,1006.0,1006.0
2004-06-01,10850.089,147809.0,147809.0,,,,617.124,8406.0,8406.0,9595.287,130715.0,130715.0,,,,0.0,0.0,0.0,,,,,,,93.86200000000001,1278.0,1278.0
2004-07-01,11203.323,152621.0,152621.0,,,,721.8860000000001,9833.0,9833.0,7977.6050000000005,108677.0,108677.0,,,,31967.251,435482.0,435482.0,,,,,,,103.238,1406.0,1406.0
2004-08-01,10825.58,147475.0,147475.0,,,,755.1840000000001,10287.0,10287.0,11601.296,158042.0,158042.0,,,,11485.586,156465.0,156465.0,,,,,,,97.096,1322.0,1322.0
2004-09-01,10566.331,143943.0,143943.0,,,,888.03,12097.0,12097.0,9553.077000000001,130140.0,130140.0,,,,0.0,0.0,0.0,,,,,,,101.003,1375.0,1375.0
2004-10-01,9510.723,129563.0,129563.0,,,,630.652,8591.0,8591.0,10475.356,142704.0,142704.0,,,,0.0,0.0,0.0,,,,,,,86.777,1182.0,1182.0
2004-11-01,8974.821,122262.0,122262.0,,,,445.351,6066.0,6066.0,9314.593,126891.0,126891.0,,,,0.0,0.0,0.0,,,,,,,75.759,1032.0,1032.0
