measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other - Combined Cycle Combustion Turbine Part - Other - Generation,Other - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Generation,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,39.945,340.0,340.0,10.464,114.0,114.0,,,,8133.506,67277.0,67277.0,2035.432,0.0,0.0,45.01,1197.0,1197.0,2203.349,33442.0,33442.0,,,,,,,,,,140.595,2207.0,2207.0
2003-02-01,,,,,,,35.213,300.0,300.0,9.224,101.0,101.0,,,,7170.045,59307.0,59307.0,1794.323,0.0,0.0,39.679,1055.0,1055.0,1942.3490000000002,29481.0,29481.0,,,,,,,,,,123.941,1946.0,1946.0
2003-03-01,,,,,,,34.971000000000004,298.0,298.0,9.161,100.0,100.0,,,,7120.714,58899.0,58899.0,1781.978,0.0,0.0,39.406,1048.0,1048.0,1928.986,29278.0,29278.0,,,,,,,,,,123.08800000000001,1932.0,1932.0
2003-04-01,,,,,,,35.269,300.0,300.0,9.239,101.0,101.0,,,,7181.444,59402.0,59402.0,1797.1760000000002,0.0,0.0,39.742000000000004,1057.0,1057.0,1945.4370000000001,29528.0,29528.0,,,,,,,,,,124.138,1949.0,1949.0
2003-05-01,,,,,,,41.966,357.0,357.0,10.993,120.0,120.0,,,,8545.094000000001,70681.0,70681.0,2138.433,0.0,0.0,47.288000000000004,1257.0,1257.0,2314.847,35134.0,35134.0,,,,,,,,,,147.71,2319.0,2319.0
2003-06-01,,,,,,,43.813,373.0,373.0,11.477,125.0,125.0,,,,8921.102,73791.0,73791.0,2232.53,0.0,0.0,49.369,1313.0,1313.0,2416.7070000000003,36680.0,36680.0,,,,,,,,,,154.209,2421.0,2421.0
2003-07-01,,,,,,,47.797000000000004,407.0,407.0,12.521,137.0,137.0,,,,9732.477,80502.0,80502.0,2435.579,0.0,0.0,53.859,1432.0,1432.0,2636.507,40016.0,40016.0,,,,,,,,,,168.235,2641.0,2641.0
2003-08-01,,,,,,,50.523,430.0,430.0,13.235,144.0,144.0,,,,10287.427,85093.0,85093.0,2574.456,0.0,0.0,56.93,1514.0,1514.0,2786.8410000000003,42298.0,42298.0,,,,,,,,,,177.828,2792.0,2792.0
2003-09-01,,,,,,,41.479,353.0,353.0,10.865,118.0,118.0,,,,8445.839,69860.0,69860.0,2113.594,0.0,0.0,46.739000000000004,1243.0,1243.0,2287.9590000000003,34726.0,34726.0,,,,,,,,,,145.994,2292.0,2292.0
2003-10-01,,,,,,,37.601,320.0,320.0,9.85,107.0,107.0,,,,7656.246,63329.0,63329.0,1915.996,0.0,0.0,42.369,1126.0,1126.0,2074.06,31480.0,31480.0,,,,,,,,,,132.345,2078.0,2078.0
2003-11-01,,,,,,,35.603,303.0,303.0,9.326,102.0,102.0,,,,7249.418000000001,59964.0,59964.0,1814.1860000000001,0.0,0.0,40.118,1067.0,1067.0,1963.851,29807.0,29807.0,,,,,,,,,,125.313,1967.0,1967.0
2003-12-01,,,,,,,36.822,313.0,313.0,9.646,105.0,105.0,,,,7497.686000000001,62017.0,62017.0,1876.316,0.0,0.0,41.492000000000004,1103.0,1103.0,2031.1070000000002,30828.0,30828.0,,,,,,,,,,129.604,2035.0,2035.0
2004-01-01,4.7330000000000005,52.0,52.0,,,,0.0,0.0,0.0,8.134,75.0,75.0,,,,22991.22,253930.0,253930.0,4431.935,0.0,0.0,-119.94900000000001,458.0,458.0,-2.781,1348.0,1348.0,,,,,,,,,,0.0,0.0,0.0
2004-02-01,20.367,225.0,225.0,,,,0.0,0.0,0.0,13.923,129.0,129.0,,,,22208.977,245290.0,245290.0,5166.5070000000005,0.0,0.0,-116.394,445.0,445.0,-2.8720000000000003,1392.0,1392.0,,,,,,,,,,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,6.5,60.0,60.0,,,,23708.672,261854.0,261854.0,5574.944,0.0,0.0,-124.274,475.0,475.0,-2.799,1357.0,1357.0,,,,,,,,,,0.0,0.0,0.0
