measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,48211.0,461664.0,461664.0,35.0,319.0,319.0,545.0,7650.0,7650.0,77.0,1470.0,1470.0,0.0,0.0,0.0
2003-02-01,44580.0,479900.0,479900.0,33.0,319.0,319.0,0.0,0.0,0.0,457.0,6726.0,6726.0,0.0,0.0,0.0
2003-03-01,50366.0,298699.0,298699.0,,,,164.0,2416.0,2416.0,56.0,753.0,753.0,0.0,0.0,0.0
2003-04-01,32980.0,324558.0,324558.0,49.0,441.0,441.0,102.0,1001.0,1001.0,-2.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,4322.0,52087.0,52087.0,12.0,133.0,133.0,66.0,820.0,820.0,-6.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,30321.0,356730.0,356730.0,29.0,307.0,307.0,30.0,585.0,585.0,415.0,4631.0,4631.0,3741.0,40218.0,40218.0
2003-07-01,45277.0,484217.0,484217.0,15.0,151.0,151.0,0.0,0.0,0.0,135.0,1581.0,1581.0,6026.0,70476.0,70476.0
2003-08-01,42780.0,496166.0,496166.0,57.0,650.0,650.0,219.0,3982.0,3982.0,432.0,5058.0,5058.0,2316.0,26479.0,26479.0
2003-09-01,43127.0,469884.0,469884.0,46.0,458.0,458.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,40670.0,432423.0,432423.0,59.0,568.0,568.0,-6.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,37318.0,398809.0,398809.0,48.0,516.0,516.0,77.0,399.0,399.0,18.0,197.0,197.0,0.0,0.0,0.0
2003-12-01,38637.0,407351.0,407351.0,41.0,400.0,400.0,45.0,1347.0,1347.0,114.0,1099.0,1099.0,0.0,0.0,0.0
2004-01-01,45601.0,463800.0,463800.0,34.0,332.0,332.0,119.0,2351.0,2351.0,119.0,2351.0,2351.0,4791.0,55140.0,55140.0
2004-02-01,119433.0,1278320.0,1278320.0,24.0,248.0,248.0,-7.0,0.0,0.0,2.0,21.0,21.0,0.0,0.0,0.0
2004-03-01,37673.0,395238.0,395238.0,65.0,634.0,634.0,134.0,2020.0,2020.0,215.0,2259.0,2259.0,0.0,0.0,0.0
2004-04-01,45724.0,480782.0,480782.0,32.0,307.0,307.0,57.0,905.0,905.0,57.0,905.0,905.0,0.0,0.0,0.0
2004-05-01,2425.0,73543.0,73543.0,5.0,140.0,140.0,291.0,4523.0,4523.0,50.0,1520.0,1520.0,0.0,0.0,0.0
2004-06-01,28415.0,306463.0,306463.0,73.0,718.0,718.0,294.0,4447.0,4447.0,1649.0,19608.0,19608.0,0.0,0.0,0.0
2004-07-01,30508.0,336234.0,336234.0,16.0,158.0,158.0,640.0,7058.0,7058.0,157.0,2494.0,2494.0,0.0,0.0,0.0
2004-08-01,42961.0,452788.0,452788.0,30.0,284.0,284.0,155.0,2466.0,2466.0,1365.0,17260.0,17260.0,0.0,0.0,0.0
2004-09-01,40022.0,410999.0,410999.0,16.0,151.0,151.0,128.0,2029.0,2029.0,42.0,437.0,437.0,0.0,0.0,0.0
2004-10-01,8951.0,92156.0,92156.0,25.0,256.0,256.0,40.0,650.0,650.0,87.0,1616.0,1616.0,0.0,0.0,0.0
2004-11-01,26164.0,259800.0,259800.0,26.0,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,40635.0,439625.0,439625.0,44.0,528.0,528.0,250.0,1890.0,1890.0,653.0,8576.0,8576.0,0.0,0.0,0.0
2005-01-01,37032.0,402736.4,402736.4,25.0,268.8,268.8,351.0,6056.96,6056.96,147.0,1601.6,1601.6,0.0,0.0,0.0
2005-02-01,12206.0,130699.39,130699.39,15.0,239.36,239.36,255.0,3902.23,3902.23,129.0,1379.21,1379.21,0.0,0.0,0.0
2005-03-01,39206.0,438794.36,438794.36,21.0,239.36,239.36,18.0,396.13,396.13,383.0,4282.81,4282.81,0.0,0.0,0.0
2005-04-01,32509.0,361911.9,361911.9,23.0,250.76,250.76,-7.0,0.0,0.0,98.0,1090.95,1090.95,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,36308.0,399340.4,399340.4,21.0,233.66,233.66,0.0,0.0,0.0,17409.0,191474.4,191474.4,2229.0,24516.95,24516.95
2005-07-01,51008.0,553635.2,553635.2,14.0,148.17,148.17,0.0,0.0,0.0,17287.0,187628.88,187628.88,0.0,0.0,0.0
2005-08-01,48479.0,539636.02,539636.02,22.0,239.36,239.36,0.0,0.0,0.0,14355.0,159791.33,159791.33,0.0,0.0,0.0
2005-09-01,55135.0,495927.94,495927.94,3.0,28.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,41260.0,436720.34,436720.34,30.0,313.45,313.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,36284.0,358113.47,358113.47,35.0,341.94,341.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,61789.0,496074.46,496074.46,14.0,112.0,112.0,0.0,0.0,0.0,137.0,1098.3,1098.3,0.0,0.0,0.0
2006-01-01,35752.0,386880.0,386880.0,19.0,211.0,211.0,,,,130.0,1405.0,1405.0,257.0,2782.0,2782.0
2006-02-01,32425.0,340609.0,340609.0,28.0,297.0,297.0,,,,563.0,5919.0,5919.0,0.0,0.0,0.0
2006-03-01,33962.0,333433.0,333433.0,24.0,239.0,239.0,,,,61.0,603.0,603.0,0.0,0.0,0.0
2006-04-01,11602.0,125475.0,125475.0,7.0,74.0,74.0,,,,67.0,728.0,728.0,0.0,0.0,0.0
2006-05-01,8001.0,90005.0,90005.0,16.0,182.0,182.0,,,,233.0,2615.0,2615.0,0.0,0.0,0.0
2006-06-01,22972.0,241057.0,241057.0,22.0,228.0,228.0,,,,153.0,1603.0,1603.0,0.0,0.0,0.0
2006-07-01,34808.0,393662.0,393662.0,47.0,530.0,530.0,,,,4230.0,47837.0,47837.0,0.0,0.0,0.0
2006-08-01,41698.0,447116.0,447116.0,18.0,188.0,188.0,,,,5332.0,57177.0,57177.0,0.0,0.0,0.0
2006-09-01,3945.0,33602.0,33602.0,5.0,46.0,46.0,,,,153.0,1303.0,1303.0,0.0,0.0,0.0
2006-10-01,8117.0,87354.0,87354.0,44.0,479.0,479.0,,,,317.0,3412.0,3412.0,0.0,0.0,0.0
