measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,-1268.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,-1101.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,-1109.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,-1776.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,157657.0,1827449.0,1827449.0,0.0,0.0,0.0
2003-06-01,357539.0,3800131.0,3800131.0,0.0,0.0,0.0
2003-07-01,465547.0,4844594.0,4844594.0,0.0,0.0,0.0
2003-08-01,632827.0,6484982.0,6484982.0,0.0,0.0,0.0
2003-09-01,249266.0,2642676.0,2642676.0,0.0,0.0,0.0
2003-10-01,-1477.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,-1088.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,-947.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,-911.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,-772.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,-781.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,-765.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,-793.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,-777.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,-941.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,-936.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,-825.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,-850.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,-816.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,-831.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,-755.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,-610.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,-649.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,-641.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,-814.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,1467.0,49476.57,49476.57,0.0,0.0,0.0
2005-07-01,-1615.0,0.0,0.0,0.0,0.0,0.0
