measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed",Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2003-01-01,14.065,171.0,171.0,32.205,517.0,517.0,,,
2003-02-01,12.455,151.0,151.0,28.519000000000002,458.0,458.0,,,
2003-03-01,13.137,160.0,160.0,30.082,483.0,483.0,,,
2003-04-01,11.475,139.0,139.0,26.276,422.0,422.0,,,
2003-05-01,13.466000000000001,164.0,164.0,30.833000000000002,495.0,495.0,,,
2003-06-01,14.36,174.0,174.0,32.88,528.0,528.0,,,
2003-07-01,18.223000000000003,221.0,221.0,41.727000000000004,670.0,670.0,,,
2003-08-01,18.126,220.0,220.0,41.505,667.0,667.0,,,
2003-09-01,16.741,203.0,203.0,38.333,616.0,616.0,,,
2003-10-01,14.591000000000001,177.0,177.0,33.41,537.0,537.0,,,
2003-11-01,12.623000000000001,153.0,153.0,28.903000000000002,464.0,464.0,,,
2003-12-01,13.218,161.0,161.0,30.265,486.0,486.0,,,
2004-01-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-02-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-03-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-04-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-05-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-06-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-07-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-08-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-09-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-10-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-11-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2004-12-01,0.8330000000000001,23.0,23.0,1.0,28.0,28.0,,,
2005-01-01,1.2870000000000001,22.58,22.58,0.555,7.49,7.49,,,
2005-02-01,0.314,5.51,5.51,0.501,6.76,6.76,,,
2005-03-01,0.449,7.87,7.87,0.541,7.29,7.29,,,
2005-04-01,0.369,6.47,6.47,0.543,7.33,7.33,,,
2005-05-01,0.381,6.69,6.69,0.597,8.05,8.05,,,
2005-06-01,0.333,5.85,5.85,0.766,10.34,10.34,,,
2005-07-01,0.9720000000000001,17.06,17.06,0.9810000000000001,13.24,13.24,,,
2005-08-01,1.177,20.66,20.66,1.0170000000000001,13.72,13.72,,,
2005-09-01,0.9720000000000001,17.05,17.05,0.767,10.35,10.35,,,
2005-10-01,0.41,7.19,7.19,0.595,8.03,8.03,,,
2005-11-01,0.41100000000000003,7.21,7.21,0.531,7.17,7.17,,,
2005-12-01,0.926,16.26,16.26,0.606,8.18,8.18,,,
2006-01-01,0.0,4.0,4.0,0.0,4.0,4.0,,,
2006-02-01,0.0,5.0,5.0,0.0,3.0,3.0,,,
2006-03-01,0.0,4.0,4.0,0.0,4.0,4.0,,,
2006-04-01,0.0,3.0,3.0,0.0,4.0,4.0,,,
2006-05-01,0.0,6.0,6.0,0.0,4.0,4.0,,,
2006-06-01,0.0,5.0,5.0,0.0,5.0,5.0,,,
2006-07-01,0.0,6.0,6.0,0.0,5.0,5.0,,,
2006-08-01,0.0,9.0,9.0,0.0,5.0,5.0,,,
2006-09-01,0.0,6.0,6.0,0.0,4.0,4.0,,,
2006-10-01,0.0,3.0,3.0,0.0,5.0,5.0,,,
2006-11-01,0.0,3.0,3.0,0.0,4.0,4.0,,,
2006-12-01,0.0,5.0,5.0,0.0,4.0,4.0,,,
2007-01-01,18.444000000000003,433.0,433.0,,,,0.518,11.0,11.0
2007-02-01,17.07,404.0,404.0,,,,0.388,8.0,8.0
2007-03-01,5.972,140.0,140.0,,,,0.20900000000000002,4.0,4.0
2007-04-01,11.418000000000001,269.0,269.0,,,,0.384,8.0,8.0
2007-05-01,11.844000000000001,281.0,281.0,,,,0.66,14.0,14.0
2007-06-01,4.4830000000000005,105.0,105.0,,,,0.869,19.0,19.0
2007-07-01,7.515,176.0,176.0,,,,1.11,24.0,24.0
2007-08-01,12.318000000000001,293.0,293.0,,,,1.024,22.0,22.0
2007-09-01,14.522,339.0,339.0,,,,0.86,19.0,19.0
2007-10-01,12.591000000000001,298.0,298.0,,,,0.7040000000000001,15.0,15.0
2007-11-01,9.355,222.0,222.0,,,,0.615,13.0,13.0
2007-12-01,17.467000000000002,410.0,410.0,,,,0.658,14.0,14.0
2008-01-01,0.9750000000000001,35.0,35.0,0.034,1.0,1.0,,,
2008-02-01,0.773,29.0,29.0,0.026000000000000002,1.0,1.0,,,
2008-03-01,0.35500000000000004,12.0,12.0,0.017,1.0,1.0,,,
2008-04-01,0.47700000000000004,18.0,18.0,0.029,1.0,1.0,,,
2008-05-01,0.7260000000000001,29.0,29.0,0.026000000000000002,1.0,1.0,,,
2008-06-01,0.9580000000000001,41.0,41.0,0.037000000000000005,1.0,1.0,,,
2008-07-01,0.686,29.0,29.0,0.046,2.0,2.0,,,
2008-08-01,0.438,18.0,18.0,0.048,2.0,2.0,,,
2008-09-01,0.28900000000000003,12.0,12.0,0.041,2.0,2.0,,,
2008-10-01,0.465,18.0,18.0,0.034,1.0,1.0,,,
2008-11-01,0.663,29.0,29.0,0.023,1.0,1.0,,,
2008-12-01,0.809,35.0,35.0,0.025,1.0,1.0,,,
2009-01-01,7.44,146.0,146.0,7.075,133.0,133.0,,,
2009-02-01,1.982,35.0,35.0,7.555,141.0,141.0,,,
2009-03-01,9.553,176.0,176.0,7.202,135.0,135.0,,,
2009-04-01,11.559000000000001,216.0,216.0,8.17,152.0,152.0,,,
2009-05-01,7.3180000000000005,135.0,135.0,12.783000000000001,238.0,238.0,,,
