measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2018-01-01,19.31,204.0,204.0
2018-02-01,0.405,6.0,6.0
2018-03-01,0.404,6.0,6.0
2018-04-01,0.321,6.0,6.0
2018-05-01,0.076,0.0,0.0
2018-06-01,0.196,0.0,0.0
2018-07-01,0.181,0.0,0.0
2018-08-01,0.156,0.0,0.0
2018-09-01,0.179,0.0,0.0
2018-10-01,0.194,0.0,0.0
2018-11-01,0.203,0.0,0.0
2018-12-01,0.375,6.0,6.0
2019-01-01,21.842,231.0,231.0
2019-02-01,4.519,50.0,50.0
2019-03-01,0.075,0.0,0.0
2019-04-01,0.037,0.0,0.0
2019-05-01,0.059,0.0,0.0
2019-06-01,0.039,0.0,0.0
2019-07-01,0.019,0.0,0.0
2019-08-01,0.036,0.0,0.0
2019-09-01,0.158,0.0,0.0
2019-10-01,0.042,0.0,0.0
2019-11-01,0.082,0.0,0.0
2019-12-01,3.092,33.0,33.0
2020-01-01,2.661,39.0,39.0
2020-02-01,1.993,22.0,22.0
2020-03-01,1.688,17.0,17.0
2020-04-01,1.199,11.0,11.0
2020-05-01,2.536,28.0,28.0
2020-06-01,1.051,11.0,11.0
2020-07-01,1.748,17.0,17.0
2020-08-01,0.708,6.0,6.0
2020-09-01,1.839,22.0,22.0
2020-10-01,1.051,11.0,11.0
2020-11-01,2.544,28.0,28.0
2020-12-01,2.982,33.0,33.0
2021-01-01,0.999,6.0,6.0
2021-02-01,8.212,93.0,93.0
2021-03-01,1.23,12.0,12.0
2021-04-01,9.781,116.0,116.0
2021-05-01,0.382,6.0,6.0
2021-06-01,0.348,6.0,6.0
2021-07-01,0.313,6.0,6.0
2021-08-01,0.054,0.0,0.0
2021-09-01,0.706,6.0,6.0
2021-10-01,0.895,12.0,12.0
2021-11-01,1.314,17.0,17.0
2021-12-01,3.766,46.0,46.0
2022-01-01,17.254,281.0,281.0
2022-02-01,1.947,33.0,33.0
2022-03-01,0.138,0.0,0.0
2022-04-01,0.086,0.0,0.0
2022-05-01,0.252,6.0,6.0
2022-06-01,0.03,0.0,0.0
2022-07-01,0.041,0.0,0.0
2022-08-01,0.028,0.0,0.0
2022-09-01,0.044,0.0,0.0
2022-10-01,0.105,0.0,0.0
2022-11-01,0.32,6.0,6.0
2022-12-01,10.755,171.0,171.0
2024-01-01,8.527,87.0,87.0
2024-02-01,0.402,6.0,6.0
2024-03-01,2.541,23.0,23.0
2024-04-01,0.613,6.0,6.0
2024-05-01,0.309,6.0,6.0
2024-06-01,0.25,0.0,0.0
2024-07-01,0.499,6.0,6.0
2024-08-01,0.329,6.0,6.0
2024-09-01,0.309,6.0,6.0
2024-10-01,0.558,6.0,6.0
2024-11-01,0.783,6.0,6.0
2024-12-01,5.88,58.0,58.0
