measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,48.249,1309.0,1309.0,2040.082,55370.0,55370.0
2003-02-01,42.534,1154.0,1154.0,1798.423,48811.0,48811.0
2003-03-01,42.241,1146.0,1146.0,1786.049,48475.0,48475.0
2003-04-01,42.601,1156.0,1156.0,1801.2820000000002,48889.0,48889.0
2003-05-01,50.691,1375.0,1375.0,2143.319,58172.0,58172.0
2003-06-01,52.921,1436.0,1436.0,2237.6310000000003,60732.0,60732.0
2003-07-01,57.734,1566.0,1566.0,2441.1440000000002,66255.0,66255.0
2003-08-01,61.026,1656.0,1656.0,2580.339,70033.0,70033.0
2003-09-01,50.102000000000004,1359.0,1359.0,2118.4230000000002,57496.0,57496.0
2003-10-01,45.418,1232.0,1232.0,1920.374,52121.0,52121.0
2003-11-01,43.005,1167.0,1167.0,1818.332,49352.0,49352.0
2003-12-01,44.477000000000004,1207.0,1207.0,1880.603,51042.0,51042.0
2004-01-01,41.238,1120.0,1120.0,2585.009,70226.0,70226.0
2004-02-01,42.582,1157.0,1157.0,2611.802,70954.0,70954.0
2004-03-01,41.504000000000005,1128.0,1128.0,2641.442,71759.0,71759.0
2004-04-01,45.384,1233.0,1233.0,2448.36,66514.0,66514.0
2004-05-01,58.405,1587.0,1587.0,2515.762,68345.0,68345.0
2004-06-01,73.21600000000001,1989.0,1989.0,2445.578,66438.0,66438.0
2004-07-01,96.27600000000001,2616.0,2616.0,2094.13,56891.0,56891.0
2004-08-01,91.677,2491.0,2491.0,2187.734,59434.0,59434.0
2004-09-01,64.711,1758.0,1758.0,2040.016,55421.0,55421.0
2004-10-01,59.453,1615.0,1615.0,1996.0030000000002,54225.0,54225.0
2004-11-01,31.79,864.0,864.0,2018.2240000000002,54828.0,54828.0
2004-12-01,35.762,972.0,972.0,1885.941,51235.0,51235.0
2005-01-01,103.917,2728.64,2728.64,2792.565,73309.84,73309.84
2005-02-01,93.796,2462.88,2462.88,2253.007,59145.46,59145.46
2005-03-01,101.225,2657.94,2657.94,2681.033,70381.93,70381.93
2005-04-01,101.711,2670.71,2670.71,2828.362,74249.57,74249.57
2005-05-01,111.71,2933.26,2933.26,3071.914,80643.24,80643.24
2005-06-01,143.485,3767.6,3767.6,2899.511,76117.35,76117.35
2005-07-01,183.73600000000002,4824.48,4824.48,2954.984,77573.62,77573.62
2005-08-01,190.40900000000002,4999.69,4999.69,2812.1730000000002,73824.58,73824.58
2005-09-01,143.609,3770.84,3770.84,2478.1530000000002,65055.94,65055.94
2005-10-01,111.468,2926.9,2926.9,1762.547,46270.02,46270.02
2005-11-01,99.456,2611.49,2611.49,1813.144,47598.26,47598.26
2005-12-01,113.477,2979.64,2979.64,2397.606,62941.46,62941.46
2006-01-01,99.074,2558.0,2558.0,3760.795,97112.0,97112.0
2006-02-01,87.351,2255.0,2255.0,3615.8650000000002,93370.0,93370.0
2006-03-01,96.753,2498.0,2498.0,3969.003,102488.0,102488.0
2006-04-01,92.186,2380.0,2380.0,3779.59,97597.0,97597.0
2006-05-01,107.45100000000001,2774.0,2774.0,4165.521000000001,107563.0,107563.0
2006-06-01,113.893,2940.0,2940.0,3797.809,98068.0,98068.0
2006-07-01,128.238,3311.0,3311.0,3823.9030000000002,98742.0,98742.0
2006-08-01,132.478,3420.0,3420.0,4167.678,107619.0,107619.0
2006-09-01,107.86800000000001,2785.0,2785.0,3582.777,92515.0,92515.0
2006-10-01,113.07700000000001,2919.0,2919.0,3896.9460000000004,100628.0,100628.0
2006-11-01,95.518,2466.0,2466.0,3757.5080000000003,97027.0,97027.0
2006-12-01,107.113,2765.0,2765.0,3606.6040000000003,93130.0,93130.0
2007-01-01,108.515,3295.0,3295.0,1375.485,41762.0,41762.0
2007-02-01,8.815,240.0,240.0,2086.185,56799.0,56799.0
2007-03-01,115.26,3176.0,3176.0,2459.74,67771.0,67771.0
2007-04-01,119.723,3128.0,3128.0,4204.277,109834.0,109834.0
2007-05-01,117.90100000000001,3084.0,3084.0,4305.099,112629.0,112629.0
2007-06-01,120.40100000000001,3107.0,3107.0,4754.599,122677.0,122677.0
2007-07-01,160.84,4284.0,4284.0,3849.16,102512.0,102512.0
