measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2017-04-01,,,,1149.055,13335.0,13588.0
2017-05-01,,,,1048.083,12163.0,12394.0
2017-06-01,,,,1280.699,14863.0,15144.0
2017-07-01,,,,1520.792,17649.0,17984.0
2017-08-01,,,,1525.568,17705.0,18040.0
2017-09-01,,,,1166.072,13533.0,13789.0
2017-10-01,,,,1084.997,12592.0,12830.0
2017-11-01,,,,719.453,8350.0,8508.0
2017-12-01,,,,889.361,10321.0,10516.0
2018-01-01,,,,1217.577,12364.0,12364.0
2018-02-01,,,,1194.049,12126.0,12126.0
2018-03-01,,,,1307.345,13277.0,13277.0
2018-04-01,,,,811.736,8244.0,8244.0
2018-05-01,,,,807.511,8200.0,8200.0
2018-06-01,,,,1015.367,10311.0,10311.0
2018-07-01,,,,1921.687,19515.0,19515.0
2018-08-01,,,,2144.403,21777.0,21777.0
2018-09-01,,,,1370.096,13913.0,13913.0
2018-10-01,,,,1086.696,11035.0,11035.0
2018-11-01,,,,821.443,8342.0,8342.0
2018-12-01,,,,927.09,9415.0,9415.0
2019-01-01,,,,1544.492,17121.0,17121.0
2019-02-01,,,,1358.144,15054.0,15054.0
2019-03-01,,,,1325.556,14693.0,14693.0
2019-04-01,,,,951.073,10542.0,10542.0
2019-05-01,,,,812.387,9005.0,9005.0
2019-06-01,,,,1041.836,11548.0,11548.0
2019-07-01,,,,2096.2,23235.0,23235.0
2019-08-01,,,,1562.648,17321.0,17321.0
2019-09-01,,,,1059.904,11748.0,11748.0
2019-10-01,,,,1097.121,12161.0,12161.0
2019-11-01,,,,1002.004,11106.0,11106.0
2019-12-01,,,,1438.635,15946.0,15946.0
2020-01-01,,,,1691.564,18497.0,18497.0
2020-02-01,,,,1332.564,14573.0,14573.0
2020-03-01,,,,590.255,6455.0,6455.0
2020-04-01,,,,682.207,7460.0,7460.0
2020-05-01,,,,480.982,5260.0,5260.0
2020-06-01,,,,1281.15,14010.0,14010.0
2020-07-01,,,,2550.681,27894.0,27894.0
2020-08-01,,,,2150.171,23514.0,23514.0
2020-09-01,,,,1251.576,13687.0,13687.0
2020-10-01,,,,1362.668,14902.0,14902.0
2020-11-01,,,,995.175,10883.0,10883.0
2020-12-01,,,,1455.007,15911.0,15911.0
2021-01-01,,,,1351.69,15696.0,17335.0
2021-02-01,,,,1171.321,13601.0,15020.0
2021-03-01,,,,735.439,8540.0,9430.0
2021-04-01,,,,519.047,6027.0,6655.0
2021-05-01,,,,545.101,6330.0,6990.0
2021-06-01,,,,1272.429,14775.0,16316.0
2021-07-01,,,,1212.234,14076.0,15544.0
2021-08-01,,,,1411.416,16389.0,18098.0
2021-09-01,,,,810.93,9416.0,10398.0
2021-10-01,,,,906.594,10527.0,11625.0
2021-11-01,,,,624.201,7248.0,8004.0
2021-12-01,,,,791.598,9192.0,10151.0
2022-01-01,,,,1042.296,12102.0,12458.0
2022-02-01,,,,853.171,9906.0,10197.0
2022-03-01,,,,786.196,9129.0,9396.0
2022-04-01,,,,818.84,9508.0,9786.0
2022-05-01,,,,1002.278,11638.0,11980.0
2022-06-01,,,,863.686,10028.0,10323.0
2022-07-01,,,,1652.49,19187.0,19751.0
2022-08-01,,,,1660.631,19282.0,19848.0
2022-09-01,,,,754.266,8758.0,9015.0
2022-10-01,,,,518.433,6020.0,6196.0
2022-11-01,,,,827.33,9606.0,9888.0
2022-12-01,,,,1083.383,12579.0,12949.0
2023-01-01,0.0,0.0,0.0,955.503,11095.0,11264.0
2023-02-01,0.0,0.0,0.0,1021.104,11857.0,12036.0
2023-03-01,0.0,0.0,0.0,831.383,9654.0,9799.0
2023-04-01,0.0,0.0,0.0,876.659,10180.0,10333.0
2023-05-01,0.0,0.0,0.0,896.364,10408.0,10565.0
2023-06-01,-2.0,0.0,0.0,913.61,10609.0,10768.0
2023-07-01,-5.0,0.0,0.0,1571.403,18247.0,18521.0
2023-08-01,-2.0,0.0,0.0,1111.706,12909.0,13103.0
2023-09-01,-3.0,0.0,0.0,1025.652,11910.0,12089.0
2023-10-01,-3.0,0.0,0.0,930.291,10802.0,10965.0
2023-11-01,-3.0,0.0,0.0,901.603,10469.0,10627.0
2023-12-01,-1.0,0.0,0.0,1121.722,13025.0,13222.0
2024-01-01,-3.0,0.0,0.0,1328.273,15092.0,15092.0
2024-02-01,-2.0,0.0,0.0,884.236,10046.0,10046.0
2024-03-01,-4.0,0.0,0.0,763.162,8670.0,8670.0
2024-04-01,-3.0,0.0,0.0,843.755,9587.0,9587.0
2024-05-01,-2.0,0.0,0.0,748.129,8500.0,8500.0
2024-06-01,-3.0,0.0,0.0,1103.455,12537.0,12537.0
2024-07-01,-6.0,0.0,0.0,2091.121,23759.0,23759.0
2024-08-01,-4.0,0.0,0.0,1497.409,17013.0,17013.0
2024-09-01,-2.0,0.0,0.0,887.054,10079.0,10079.0
2024-10-01,-3.0,0.0,0.0,1280.886,14554.0,14554.0
2024-11-01,-3.0,0.0,0.0,1556.045,17680.0,17680.0
2024-12-01,-3.0,0.0,0.0,1268.475,14412.0,14412.0
