measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2019-12-01,,,,0.0,0.0,0.0
2020-01-01,-3.674,0.0,0.0,262.792,2304.0,2304.0
2020-02-01,-3.647,0.0,0.0,293.399,2572.0,2572.0
2020-03-01,-3.711,0.0,0.0,424.229,3719.0,3719.0
2020-04-01,-3.641,0.0,0.0,425.389,3729.0,3729.0
2020-05-01,-3.889,0.0,0.0,558.617,4897.0,4897.0
2020-06-01,-3.667,0.0,0.0,561.57,4923.0,4923.0
2020-07-01,-3.687,0.0,0.0,534.102,4682.0,4682.0
2020-08-01,-3.991,0.0,0.0,453.489,3976.0,3976.0
2020-09-01,-3.556,0.0,0.0,445.977,3910.0,3910.0
2020-10-01,-3.886,0.0,0.0,316.623,2776.0,2776.0
2020-11-01,-3.715,0.0,0.0,291.58,2556.0,2556.0
2020-12-01,-3.936,0.0,0.0,197.233,1729.0,1729.0
2021-01-01,-3.63,0.0,0.0,331.29,2930.0,2930.0
2021-02-01,-3.181,0.0,0.0,234.326,2072.0,2072.0
2021-03-01,-3.495,0.0,0.0,576.867,5102.0,5102.0
2021-04-01,-3.351,0.0,0.0,587.856,5199.0,5199.0
2021-05-01,-3.788,0.0,0.0,651.33,5760.0,5760.0
2021-06-01,-3.691,0.0,0.0,644.684,5702.0,5702.0
2021-07-01,-3.76,0.0,0.0,577.913,5111.0,5111.0
2021-08-01,-3.679,0.0,0.0,552.377,4885.0,4885.0
2021-09-01,-3.624,0.0,0.0,551.488,4877.0,4877.0
2021-10-01,-3.345,0.0,0.0,426.946,3776.0,3776.0
2021-11-01,-3.037,0.0,0.0,394.555,3489.0,3489.0
2021-12-01,-3.419,0.0,0.0,263.368,2329.0,2329.0
2022-01-01,19.167,0.0,0.0,343.691,1173.0,1173.0
2022-02-01,16.936,0.0,0.0,430.959,1470.0,1470.0
2022-03-01,19.656,0.0,0.0,602.588,2056.0,2056.0
2022-04-01,20.067,0.0,0.0,704.39,2403.0,2403.0
2022-05-01,22.744,0.0,0.0,702.473,2397.0,2397.0
2022-06-01,21.74,0.0,0.0,745.086,2542.0,2542.0
2022-07-01,22.131,0.0,0.0,770.258,2628.0,2628.0
2022-08-01,22.113,0.0,0.0,766.671,2616.0,2616.0
2022-09-01,21.169,0.0,0.0,648.726,2213.0,2213.0
2022-10-01,20.755,0.0,0.0,631.842,2156.0,2156.0
2022-11-01,20.786,0.0,0.0,454.028,1549.0,1549.0
2022-12-01,21.736,0.0,0.0,346.288,1182.0,1182.0
2023-01-01,0.0,0.0,0.0,221.0,754.0,754.0
2023-02-01,0.0,0.0,0.0,414.0,1413.0,1413.0
2023-03-01,-3.0,0.0,0.0,621.0,2119.0,2119.0
2023-04-01,0.0,0.0,0.0,692.0,2361.0,2361.0
2023-05-01,-5.0,0.0,0.0,955.0,3258.0,3258.0
2023-06-01,-13.0,0.0,0.0,599.0,2044.0,2044.0
2023-07-01,-18.0,0.0,0.0,563.0,1921.0,1921.0
2023-08-01,-8.0,0.0,0.0,681.0,2324.0,2324.0
2023-09-01,-2.0,0.0,0.0,551.0,1880.0,1880.0
2023-10-01,-7.0,0.0,0.0,482.0,1645.0,1645.0
2023-11-01,-11.0,0.0,0.0,430.0,1467.0,1467.0
2023-12-01,0.0,0.0,0.0,218.0,744.0,744.0
2024-01-01,-4.0,0.0,0.0,167.0,570.0,570.0
2024-02-01,-6.0,0.0,0.0,476.0,1624.0,1624.0
2024-03-01,-2.0,0.0,0.0,486.0,1658.0,1658.0
2024-04-01,-4.0,0.0,0.0,538.0,1836.0,1836.0
2024-05-01,-10.0,0.0,0.0,734.0,2504.0,2504.0
2024-06-01,0.0,0.0,0.0,463.0,1580.0,1580.0
2024-07-01,-3.0,0.0,0.0,769.0,2624.0,2624.0
2024-08-01,-5.0,0.0,0.0,113.0,386.0,386.0
2024-09-01,-1.0,0.0,0.0,642.0,2191.0,2191.0
2024-10-01,0.0,0.0,0.0,660.0,2252.0,2252.0
2024-11-01,0.0,0.0,0.0,448.0,1529.0,1529.0
2024-12-01,0.0,0.0,0.0,313.0,1068.0,1068.0
