measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Waste/Other Oil-Combined Cycle Combustion Turbine Part Generation,Waste/Other Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Waste/Other Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Waste/Other Oil-Combined Cycle Steam Part Generation,Waste/Other Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Waste/Other Oil-Combined Cycle Steam Part Total Fuel Consumed
2005-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-04-01,0.096,1.08,1.08,,,,14944.349,128733.51,128733.51,0.0,0.0,0.0,,,,,,
2005-05-01,0.08900000000000001,1.0,1.0,,,,14290.353,123099.85,123099.85,0.0,0.0,0.0,,,,,,
2005-06-01,0.116,1.3,1.3,,,,26976.097999999998,232377.31,232377.31,0.0,0.0,0.0,,,,,,
2005-07-01,0.11800000000000001,1.33,1.33,,,,35512.759,305913.75,305913.75,0.0,0.0,0.0,,,,,,
2005-08-01,0.138,1.56,1.56,,,,35278.384,303894.8,303894.8,0.0,0.0,0.0,,,,,,
2005-09-01,0.091,1.02,1.02,,,,21358.796,183988.79,183988.79,0.0,0.0,0.0,,,,,,
2005-10-01,0.101,1.13,1.13,,,,15144.655,130458.98,130458.98,0.0,0.0,0.0,,,,,,
2005-11-01,0.081,0.91,0.91,,,,13273.085,114336.92,114336.92,0.0,0.0,0.0,,,,,,
2005-12-01,0.171,1.92,1.92,,,,16592.521,142931.18,142931.18,0.0,0.0,0.0,,,,,,
2006-01-01,5.994000000000001,58.0,58.0,,,,8310.107,81363.0,81363.0,0.0,0.0,0.0,,,,,,
2006-02-01,3.136,31.0,31.0,,,,9393.815,91973.0,91973.0,0.0,0.0,0.0,,,,,,
2006-03-01,2.635,26.0,26.0,,,,12378.797,121198.0,121198.0,0.0,0.0,0.0,,,,,,
2006-04-01,5.047000000000001,49.0,49.0,,,,10243.893,100296.0,100296.0,0.0,0.0,0.0,,,,,,
2006-05-01,4.7170000000000005,46.0,46.0,,,,13493.819,132115.0,132115.0,0.0,0.0,0.0,,,,,,
2006-06-01,4.288,42.0,42.0,,,,17381.576,170180.0,170180.0,0.0,0.0,0.0,,,,,,
2006-07-01,6.211,60.0,60.0,,,,31103.74,304531.0,304531.0,0.0,0.0,0.0,,,,,,
2006-08-01,6.024,59.0,59.0,,,,27638.416,270602.0,270602.0,0.0,0.0,0.0,,,,,,
2006-09-01,2.7680000000000002,27.0,27.0,,,,16257.476999999999,159174.0,159174.0,0.0,0.0,0.0,,,,,,
2006-10-01,2.924,28.0,28.0,,,,17610.074,172417.0,172417.0,0.0,0.0,0.0,,,,,,
2006-11-01,3.443,34.0,34.0,,,,11839.104,115914.0,115914.0,0.0,0.0,0.0,,,,,,
2006-12-01,3.815,37.0,37.0,,,,12018.182,117668.0,117668.0,0.0,0.0,0.0,,,,,,
2007-01-01,0.0,0.0,0.0,,,,9669.374,120805.0,120805.0,2966.26,11323.0,11323.0,,,,,,
2007-02-01,0.0,0.0,0.0,,,,14143.545,176704.0,176704.0,4338.81,19193.0,19193.0,,,,,,
2007-03-01,0.0,0.0,0.0,,,,10421.857,130207.0,130207.0,3197.12,6306.0,6306.0,,,,,,
2007-04-01,0.0,0.0,0.0,,,,10074.071,125861.0,125861.0,3090.42,7519.0,7519.0,,,,,,
2007-05-01,0.0,0.0,0.0,,,,12107.247,151263.0,151263.0,3714.13,9820.0,9820.0,,,,,,
2007-06-01,0.0,0.0,0.0,,,,20600.305,257372.0,257372.0,6319.55,25557.0,25557.0,,,,,,
2007-07-01,0.0,0.0,0.0,,,,26971.741,336974.0,336974.0,8274.1,38278.0,38278.0,,,,,,
2007-08-01,0.0,0.0,0.0,,,,44485.901,555789.0,555789.0,13646.93,68879.0,68879.0,,,,,,
2007-09-01,0.0,0.0,0.0,,,,17175.9,214589.0,214589.0,5269.04,23629.0,23629.0,,,,,,
2007-10-01,0.0,0.0,0.0,,,,5966.656,74545.0,74545.0,1830.39,8437.0,8437.0,,,,,,
2007-11-01,0.0,0.0,0.0,,,,1647.3670000000002,20582.0,20582.0,505.37,1201.0,1201.0,,,,,,
2007-12-01,0.0,0.0,0.0,,,,11342.035,141703.0,141703.0,3479.39,14580.0,14580.0,,,,,,
2008-01-01,0.0,0.0,0.0,,,,26259.0,286160.0,286160.0,4719.0,56210.0,56210.0,0.0,0.0,0.0,0.0,0.0,0.0
