measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,225.0,2369.0,2369.0,34851.0,374511.0,374511.0
2003-02-01,,,,355.0,3582.0,3582.0,16346.0,170450.0,170450.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,11773.0,127015.0,127015.0,8140.0,84558.0,84558.0
2003-07-01,,,,651.0,6839.0,6839.0,35301.0,366005.0,366005.0
2003-08-01,,,,6428.0,67387.0,67387.0,27009.0,293878.0,293878.0
2003-09-01,,,,395.0,4292.0,4292.0,13114.0,144534.0,144534.0
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,630.0,6275.0,6275.0,31374.0,327928.0,327928.0
2004-01-01,,,,1148.4940000000001,11473.0,11473.0,14193.789,139749.0,139749.0
2004-02-01,,,,1051.368,10503.0,10503.0,18613.035,183260.0,183260.0
2004-03-01,,,,3126.828,31236.0,31236.0,28407.887000000002,279698.0,279698.0
2004-04-01,,,,487.67900000000003,4872.0,4872.0,25932.915,255330.0,255330.0
2004-05-01,,,,2816.7560000000003,28138.0,28138.0,28017.574,275856.0,275856.0
2004-06-01,,,,2844.349,28414.0,28414.0,14668.157,144420.0,144420.0
2004-07-01,,,,783.373,7826.0,7826.0,15107.9,148749.0,148749.0
2004-08-01,,,,1473.444,14719.0,14719.0,10057.706,99026.0,99026.0
2004-09-01,,,,1393.635,13922.0,13922.0,17646.911,173748.0,173748.0
2004-10-01,,,,2998.724,29956.0,29956.0,20352.162,200383.0,200383.0
2004-11-01,,,,879.0490000000001,8781.0,8781.0,5914.714,58235.0,58235.0
2004-12-01,,,,1385.3,13839.0,13839.0,26862.251,264480.0,264480.0
2005-01-01,,,,7071.926,81303.62,81303.62,5967.664000000001,63942.83,63942.83
2005-02-01,,,,5870.711,67493.64,67493.64,4804.044,51474.78,51474.78
2005-03-01,,,,7270.396000000001,83585.36,83585.36,5610.671,60117.68,60117.68
2005-04-01,,,,7163.587,82357.41,82357.41,5512.218,59062.77,59062.77
2005-05-01,,,,8444.711000000001,97086.08,97086.08,6439.87,69002.46,69002.46
2005-06-01,,,,10657.458,122525.31,122525.31,8650.409,92688.12,92688.12
