measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed,"Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2018-12-01,,,,3.0,27.0,27.0
2019-01-01,0.0,0.0,0.0,573.597,5108.0,5108.0
2019-02-01,0.0,0.0,0.0,466.102,4151.0,4151.0
2019-03-01,0.0,0.0,0.0,585.062,5210.0,5210.0
2019-04-01,0.0,0.0,0.0,481.487,4288.0,4288.0
2019-05-01,0.0,0.0,0.0,522.754,4655.0,4655.0
2019-06-01,0.0,0.0,0.0,383.904,3419.0,3419.0
2019-07-01,0.0,0.0,0.0,340.239,3030.0,3030.0
2019-08-01,0.0,0.0,0.0,308.219,2745.0,2745.0
2019-09-01,0.0,0.0,0.0,534.531,4760.0,4760.0
2019-10-01,0.0,0.0,0.0,688.641,6132.0,6132.0
2019-11-01,0.0,0.0,0.0,605.12,5389.0,5389.0
2019-12-01,0.0,0.0,0.0,536.344,4776.0,4776.0
2020-01-01,0.0,0.0,0.0,676.385,5930.0,5930.0
2020-02-01,0.0,0.0,0.0,872.838,7652.0,7652.0
2020-03-01,0.0,0.0,0.0,867.565,7606.0,7606.0
2020-04-01,0.0,0.0,0.0,724.206,6349.0,6349.0
2020-05-01,0.0,0.0,0.0,623.88,5470.0,5470.0
2020-06-01,0.0,0.0,0.0,678.062,5945.0,5945.0
2020-07-01,0.0,0.0,0.0,459.653,4030.0,4030.0
2020-08-01,0.0,0.0,0.0,615.402,5395.0,5395.0
2020-09-01,0.0,0.0,0.0,648.72,5687.0,5687.0
2020-10-01,0.0,0.0,0.0,660.442,5790.0,5790.0
2020-11-01,0.0,0.0,0.0,779.666,6835.0,6835.0
2020-12-01,0.0,0.0,0.0,712.181,6244.0,6244.0
2021-01-01,0.0,0.0,0.0,647.833,5729.0,5729.0
2021-02-01,0.0,0.0,0.0,513.647,4543.0,4543.0
2021-03-01,0.0,0.0,0.0,796.731,7046.0,7046.0
2021-04-01,0.0,0.0,0.0,858.005,7588.0,7588.0
2021-05-01,0.0,0.0,0.0,708.716,6268.0,6268.0
2021-06-01,0.0,0.0,0.0,549.211,4857.0,4857.0
2021-07-01,0.0,0.0,0.0,445.399,3939.0,3939.0
2021-08-01,0.0,0.0,0.0,596.883,5279.0,5279.0
2021-09-01,0.0,0.0,0.0,662.179,5856.0,5856.0
2021-10-01,0.0,0.0,0.0,675.366,5973.0,5973.0
2021-11-01,0.0,0.0,0.0,871.317,7706.0,7706.0
2021-12-01,0.0,0.0,0.0,932.713,8249.0,8249.0
2022-01-01,0.0,0.0,0.0,950.926,3245.0,3245.0
2022-02-01,0.0,0.0,0.0,816.058,2784.0,2784.0
2022-03-01,0.0,0.0,0.0,854.217,2915.0,2915.0
2022-04-01,0.0,0.0,0.0,860.348,2936.0,2936.0
2022-05-01,0.0,0.0,0.0,687.465,2346.0,2346.0
2022-06-01,0.0,0.0,0.0,620.956,2119.0,2119.0
2022-07-01,0.0,0.0,0.0,516.915,1764.0,1764.0
2022-08-01,0.0,0.0,0.0,514.44,1755.0,1755.0
2022-09-01,0.0,0.0,0.0,620.133,2116.0,2116.0
2022-10-01,0.0,0.0,0.0,811.208,2768.0,2768.0
2022-11-01,0.0,0.0,0.0,905.884,3091.0,3091.0
2022-12-01,0.0,0.0,0.0,877.45,2994.0,2994.0
2023-01-01,0.0,0.0,0.0,510.0,1740.0,1740.0
2023-02-01,0.0,0.0,0.0,748.0,2552.0,2552.0
2023-03-01,0.0,0.0,0.0,798.0,2723.0,2723.0
2023-04-01,0.0,0.0,0.0,558.0,1904.0,1904.0
2023-05-01,0.0,0.0,0.0,778.0,2655.0,2655.0
2023-06-01,0.0,0.0,0.0,455.0,1552.0,1552.0
2023-07-01,0.0,0.0,0.0,410.0,1399.0,1399.0
2023-08-01,0.0,0.0,0.0,526.0,1795.0,1795.0
2023-09-01,0.0,0.0,0.0,352.0,1201.0,1201.0
2023-10-01,0.0,0.0,0.0,715.0,2440.0,2440.0
2023-11-01,0.0,0.0,0.0,812.0,2771.0,2771.0
2023-12-01,0.0,0.0,0.0,734.0,2504.0,2504.0
2024-01-01,0.0,0.0,0.0,565.0,1928.0,1928.0
2024-02-01,0.0,0.0,0.0,684.0,2334.0,2334.0
2024-03-01,0.0,0.0,0.0,821.0,2801.0,2801.0
2024-04-01,0.0,0.0,0.0,814.0,2777.0,2777.0
2024-05-01,0.0,0.0,0.0,687.0,2344.0,2344.0
2024-06-01,0.0,0.0,0.0,610.0,2081.0,2081.0
2024-07-01,0.0,0.0,0.0,399.0,1361.0,1361.0
2024-08-01,0.0,0.0,0.0,610.0,2081.0,2081.0
2024-09-01,0.0,0.0,0.0,765.0,2610.0,2610.0
2024-10-01,0.0,0.0,0.0,785.0,2678.0,2678.0
2024-11-01,0.0,0.0,0.0,683.0,2330.0,2330.0
2024-12-01,0.0,0.0,0.0,565.0,1928.0,1928.0
