measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,22615.333333333332,248419.0,248419.0,1620.0,16739.46,16739.46,,,,24909.5,253846.25,253846.25,12450.0,171974.0,171974.0,138033.0,1417150.0,1417150.0,,,
2001-02-01,1338.0,20334.666666666668,20334.666666666668,2611.0,26979.46,26979.46,,,,25069.4,247682.6,247682.6,13520.0,213595.0,213595.0,132317.0,1225924.0,1225924.0,,,
2001-03-01,273.0,5239.0,5239.0,2890.0,29862.37,29862.37,,,,73714.2,730904.8,730904.8,21050.0,274443.0,274443.0,150340.5,1493978.0,1493978.0,,,
2001-04-01,462.0,7543.666666666667,7543.666666666667,2170.0,22422.61,22422.61,,,,64095.25,654252.5,654252.5,11316.0,104927.0,104927.0,103197.5,1042248.0,1042248.0,,,
2001-05-01,462.0,7376.666666666667,7376.666666666667,3267.0,33757.91,33757.91,,,,35304.0,373529.2,373529.2,7850.0,83160.0,83160.0,76940.0,912986.0,912986.0,,,
2001-06-01,77.66666666666667,885.0,885.0,2796.0,28891.07,28891.07,,,,86718.25,917503.75,917503.75,17003.0,167795.0,167795.0,103727.5,1112026.5,1112026.5,,,
2001-07-01,557.3333333333334,10502.333333333334,10502.333333333334,1074.0,11097.64,11097.64,,,,85113.0,884176.8,884176.8,9151.0,93729.0,93729.0,109487.0,1221510.5,1221510.5,,,
2001-08-01,428.0,7029.333333333333,7029.333333333333,578.0,5972.47,5972.47,,,,79062.8,833373.6,833373.6,15872.0,159275.0,159275.0,140645.0,1517951.5,1517951.5,,,
2001-09-01,42.666666666666664,436.3333333333333,436.3333333333333,-97.0,-1002.3,-1002.3,,,,31338.2,328475.2,328475.2,14544.0,138956.0,138956.0,71865.0,745134.0,745134.0,,,
2001-10-01,29.5,283.0,283.0,548.0,5662.48,5662.48,,,,42185.0,437321.25,437321.25,14703.0,137699.0,137699.0,79482.0,806390.0,806390.0,,,
2001-11-01,90.5,908.0,908.0,375.0,3874.88,3874.88,,,,38845.25,409960.5,409960.5,15259.0,148514.0,148514.0,108406.0,1142578.5,1142578.5,,,
2001-12-01,26.0,260.0,260.0,250.0,2583.25,2583.25,,,,25528.0,282660.0,282660.0,16879.0,162634.0,162634.0,130356.0,1369379.5,1369379.5,,,
2002-01-01,33.0,335.0,335.0,523.568,5326.26,5326.26,,,,31596.0,342072.0,342072.0,5243.0,51011.0,51011.0,105316.0,1214079.5,1214079.5,,,
2002-02-01,89.66666666666667,1959.0,1959.0,415.608,4227.98,4227.98,,,,53081.5,439122.6,439122.6,12163.0,118456.0,118456.0,135833.5,1374024.5,1374024.5,,,
2002-03-01,28.5,281.5,281.5,1265.156,12870.43,12870.43,,,,44872.25,480151.75,480151.75,13619.0,130794.0,130794.0,141524.5,1426407.5,1426407.5,,,
2002-04-01,30.666666666666668,510.3333333333333,510.3333333333333,351.618,3577.01,3577.01,,,,34512.5,379619.5,379619.5,16740.0,161760.0,161760.0,116879.0,1203577.5,1203577.5,,,
2002-05-01,56.5,574.0,574.0,1137.615,11572.96,11572.96,,,,43162.75,458751.5,458751.5,21268.0,213838.0,213838.0,109409.0,1190973.0,1190973.0,,,
2002-06-01,101.66666666666667,1720.6666666666667,1720.6666666666667,745.48,7583.77,7583.77,,,,55144.0,588854.25,588854.25,12677.0,129948.0,129948.0,103703.0,1110980.5,1110980.5,,,
2002-07-01,1447.0,25110.0,25110.0,1958.717,19926.03,19926.03,,,,69049.6,734264.0,734264.0,18587.0,177840.0,177840.0,136055.5,1447942.5,1447942.5,,,
2002-08-01,2443.6666666666665,42636.333333333336,42636.333333333336,3321.616,33790.8,33790.8,,,,73498.8,784560.8,784560.8,18301.0,189504.0,189504.0,122027.0,1289547.5,1289547.5,,,
2002-09-01,61.5,664.0,664.0,3583.7740000000003,36457.73,36457.73,,,,47725.6,509152.8,509152.8,18060.0,188827.0,188827.0,110911.0,1130177.0,1130177.0,,,
2002-10-01,47.5,507.5,507.5,3102.72,31563.97,31563.97,,,,36266.25,378091.0,378091.0,19202.0,198631.0,198631.0,126893.5,1409720.0,1409720.0,,,
2002-11-01,55.333333333333336,588.5,588.5,1310.48,13331.51,13331.51,234.0,4136.0,4136.0,29789.5,345821.75,345821.75,17509.0,168643.0,168643.0,126585.5,1299796.5,1299796.5,,,
2002-12-01,290.0,4824.0,4824.0,1418.6480000000001,14431.91,14431.91,408.0,6918.0,6918.0,28824.0,325620.6,325620.6,18455.0,189394.0,189394.0,127215.0,1305269.0,1305269.0,,,
2003-01-01,230.33333333333334,3879.3333333333335,3879.3333333333335,1065.915,10916.04,10916.04,0.0,0.0,0.0,35400.75,384246.0,384246.0,18475.0,192766.0,192766.0,148353.0,1672748.5,1672748.5,,,
2003-02-01,71.0,1289.0,1289.0,982.389,10060.65,10060.65,212.0,4698.0,4698.0,10714.333333333334,119555.5,119555.5,10840.0,102749.0,102749.0,92579.0,1051277.5,1051277.5,,,
2003-03-01,343.0,5732.333333333333,5732.333333333333,967.5690000000001,9908.87,9908.87,438.0,7373.0,7373.0,33223.2,348348.0,348348.0,22612.0,218715.0,218715.0,149763.5,1625966.0,1625966.0,,,
2003-04-01,359.0,5376.333333333333,5376.333333333333,971.827,9952.48,9952.48,0.0,0.0,0.0,36394.5,383083.5,383083.5,22534.0,227218.0,227218.0,143507.5,1525014.5,1525014.5,,,
2003-05-01,6.5,70.5,70.5,848.4780000000001,8689.26,8689.26,0.0,0.0,0.0,37107.25,399657.25,399657.25,23477.0,241092.0,241092.0,113206.0,1234689.0,1234689.0,,,
2003-06-01,231.0,4749.666666666667,4749.666666666667,1025.285,10499.94,10499.94,0.0,0.0,0.0,40909.5,447219.75,447219.75,11189.0,117005.0,117005.0,87161.5,967769.5,967769.5,,,
2003-07-01,200.66666666666666,3724.3333333333335,3724.3333333333335,1330.698,13627.68,13627.68,0.0,0.0,0.0,65247.0,674011.0,674011.0,16325.0,171360.0,171360.0,114314.5,1275997.0,1275997.0,,,
2003-08-01,335.0,6128.333333333333,6128.333333333333,1322.651,13545.27,13545.27,1022.0,19471.0,19471.0,54727.666666666664,575985.1666666666,575985.1666666666,17827.0,174048.0,174048.0,112883.0,1207686.0,1207686.0,,,
2003-09-01,19.0,209.0,209.0,1093.277,11196.25,11196.25,0.0,0.0,0.0,27633.0,292889.5,292889.5,13983.0,145800.0,145800.0,108046.0,1236899.5,1236899.5,,,
2003-10-01,17.5,185.5,185.5,1211.722,12409.25,12409.25,0.0,0.0,0.0,21469.4,226914.6,226914.6,23824.0,235008.0,235008.0,109016.5,1175793.5,1175793.5,,,
2003-11-01,73.5,751.0,751.0,1096.5140000000001,11229.4,11229.4,0.0,0.0,0.0,33416.5,359401.25,359401.25,21696.0,208467.0,208467.0,114172.0,1270837.0,1270837.0,,,
2003-12-01,191.0,2808.3333333333335,2808.3333333333335,1086.6760000000002,11128.65,11128.65,0.0,0.0,0.0,33236.25,351994.0,351994.0,21600.0,214488.0,214488.0,117241.5,1361371.5,1361371.5,,,
2004-01-01,654.3333333333334,10288.0,10288.0,2438.793,24441.58,24441.58,1416.0,24511.0,24511.0,19994.644,149645.16666666666,149645.16666666666,20711.0,198883.0,198883.0,129779.359,1457958.0,1457958.0,0.0,0.0,0.0
2004-02-01,84.75,1570.25,1570.25,1439.075,14422.41,14422.41,0.0,0.0,0.0,15130.72425,106280.0,106280.0,0.0,0.0,0.0,74740.065,952233.0,952233.0,0.0,0.0,0.0
2004-03-01,71.33333333333333,791.6666666666666,791.6666666666666,2374.318,23795.41,23795.41,0.0,0.0,0.0,23724.3138,218468.5,218468.5,11170.0,126995.0,126995.0,122542.149,1418620.5,1418620.5,0.0,0.0,0.0
2004-04-01,4.0,815.0,815.0,2872.031,28783.49,28783.49,0.0,0.0,0.0,25442.79275,187654.0,187654.0,8573.0,92316.0,92316.0,128043.1955,1435447.5,1435447.5,0.0,0.0,0.0
2004-05-01,86.75,1622.5,1622.5,3043.1710000000003,30498.66,30498.66,439.0,5959.0,5959.0,38063.127,298591.4,298591.4,15580.0,170943.0,170943.0,113759.48300000001,1316059.0,1316059.0,0.0,0.0,0.0
2004-06-01,17.75,620.25,620.25,1808.3870000000002,18123.65,18123.65,5.0,988.0,988.0,25774.9894,241571.33333333334,241571.33333333334,17873.0,187508.0,187508.0,119561.2355,1366242.5,1366242.5,0.0,0.0,0.0
2004-07-01,54.666666666666664,989.6666666666666,989.6666666666666,1233.323,12360.36,12360.36,0.0,0.0,0.0,28483.23,265368.0,265368.0,14932.0,170400.0,170400.0,115151.262,1341229.0,1341229.0,0.0,0.0,0.0
