measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2003-01-01,11.226,72.0,115.0,,,,,,,1290.103,8271.0,13161.0,,,
2003-02-01,10.358,67.0,106.0,,,,,,,1190.307,7631.0,12143.0,,,
2003-03-01,11.418000000000001,73.0,117.0,,,,,,,1312.17,8412.0,13386.0,,,
2003-04-01,10.798,69.0,110.0,,,,,,,1240.9,7955.0,12659.0,,,
2003-05-01,12.363000000000001,79.0,126.0,,,,,,,1420.81,9109.0,14495.0,,,
2003-06-01,12.881,83.0,132.0,,,,,,,1480.342,9490.0,15102.0,,,
2003-07-01,16.539,106.0,169.0,,,,,,,1900.624,12185.0,19390.0,,,
2003-08-01,15.537,100.0,159.0,,,,,,,1785.57,11447.0,18216.0,,,
2003-09-01,14.198,91.0,145.0,,,,,,,1631.672,10460.0,16646.0,,,
2003-10-01,13.362,86.0,137.0,,,,,,,1535.548,9844.0,15665.0,,,
2003-11-01,11.311,73.0,116.0,,,,,,,1299.8410000000001,8333.0,13261.0,,,
2003-12-01,12.009,77.0,123.0,,,,,,,1380.113,8848.0,14080.0,,,
2004-01-01,9.02064,49.18,105.12,,,,,,,924.91936,5043.05,10778.34,,,
2004-02-01,11.58197,63.15,133.4,,,,,,,1627.95803,8876.31,18750.66,,,
2004-03-01,13.78858,75.18,156.6,,,,,,,1759.03142,9590.98,19977.72,,,
2004-04-01,8.6097,46.94,104.4,,,,,,,1010.5903000000001,5510.16,12254.28,,,
2004-05-01,14.01952,76.44,159.5,,,,,,,1751.94048,9552.32,19931.82,,,
2004-06-01,14.89739,81.23,170.5,,,,,,,1721.66261,9387.23,19704.36,,,
2004-07-01,13.28003,72.41,150.8,,,,,,,1808.53997,9860.92,20536.68,,,
2004-08-01,17.13423,93.42,197.2,,,,,,,1837.02577,10016.24,21142.56,,,
2004-09-01,14.53275,79.24,162.4,,,,,,,1807.28725,9854.09,20196.0,,,
2004-10-01,29.667759999999998,161.76,353.8,,,,,,,1712.77224,9338.75,20425.5,,,
2004-11-01,30.05088,163.85,353.8,,,,,,,865.66912,4719.99,10191.84,,,
2004-12-01,23.18828,126.43,272.6,,,,,,,1798.63172,9806.9,21144.6,,,
2005-01-01,6.91968,37.73,81.2,,,,,,,887.82032,4840.77,10418.26,,,
2005-02-01,12.46912,67.99,145.0,,,,,,,1589.83088,8668.43,18487.72,,,
2005-03-01,13.93292,75.97,162.4,,,,,,,1632.46708,8900.9,19027.79,,,
2005-04-01,13.52519,73.75,162.4,,,,,,,814.57481,4441.4,9780.78,,,
2005-05-01,10.45563,57.01,121.8,,,,,,,1823.12437,9940.44,21238.0,,,
2005-06-01,19.81207,108.02,232.0,,,,,,,1760.84793,9600.88,20619.59,,,
2005-07-01,12.03858,65.64,139.2,,,,,,,1851.92142,10097.45,21413.44,,,
2005-08-01,10.579659999999999,57.68,121.8,,,,,,,1824.96034,9950.45,21010.14,,,
2005-09-01,10.32265,56.28,121.8,,,,,,,1782.09735,9716.74,21027.49,,,
2005-10-01,11.32134,61.73,133.4,,,,,,,1828.13866,9967.78,21541.06,,,
2005-11-01,1.38165,7.53,17.4,,,,,,,156.39835,852.75,1969.62,,,
2005-12-01,14.36731,78.34,174.0,,,,,,,866.65269,4725.35,10495.88,,,
2006-01-01,12.69155,69.2,156.6,,,,,,,1717.00845,9361.85,21186.03,,,
2006-02-01,12.69155,69.2,156.6,,,,,,,1717.00845,9361.85,21186.03,,,
2006-03-01,10.31707,56.25,127.6,,,,,,,1715.46293,9353.43,21216.6,,,
2006-04-01,7.0447299999999995,38.41,87.0,,,,,,,915.13527,4989.7,11301.6,,,
