measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2006-01-01,,,,0.0,0.0,0.0
2006-02-01,,,,0.0,0.0,0.0
2006-03-01,,,,0.0,0.0,0.0
2006-04-01,,,,7645.196,82426.0,82426.0
2006-05-01,,,,8855.047,95470.0,95470.0
2006-06-01,,,,11283.738,121654.0,121654.0
2006-07-01,,,,14186.12,152946.0,152946.0
2006-08-01,,,,14365.025000000001,154875.0,154875.0
2006-09-01,,,,9773.995,105377.0,105377.0
2006-10-01,,,,8849.489,95410.0,95410.0
2006-11-01,,,,6572.122,70857.0,70857.0
2006-12-01,,,,6851.268,73866.0,73866.0
2007-01-01,12441.692,156770.0,156770.0,,,
2007-02-01,10571.455,133204.0,133204.0,,,
2007-03-01,12301.326000000001,155002.0,155002.0,,,
2007-04-01,11585.908,145987.0,145987.0,,,
2007-05-01,12627.665,159114.0,159114.0,,,
2007-06-01,14785.22,186299.0,186299.0,,,
2007-07-01,15963.143,201142.0,201142.0,,,
2007-08-01,19029.834000000003,239783.0,239783.0,,,
2007-09-01,15556.804,196022.0,196022.0,,,
2007-10-01,13078.114,164789.0,164789.0,,,
2007-11-01,10342.441,130319.0,130319.0,,,
2007-12-01,10721.399,135094.0,135094.0,,,
2008-01-01,,,,5447.0,62972.0,62972.0
2008-02-01,,,,3717.14,44238.0,44238.0
2008-03-01,,,,11423.0,131889.0,131889.0
2008-04-01,,,,34050.0,371208.0,371208.0
2008-05-01,,,,45576.0,505792.0,505792.0
2008-06-01,,,,13143.0,142937.0,142937.0
2008-07-01,,,,32665.0,361285.0,361285.0
2008-08-01,,,,75742.0,803199.0,803199.0
2008-09-01,,,,-225.0,0.0,0.0
2008-10-01,,,,-213.0,0.0,0.0
2008-11-01,,,,-241.0,0.0,0.0
2008-12-01,,,,-206.0,0.0,0.0
2009-01-01,,,,2847.0,35205.0,35205.0
2009-02-01,,,,-264.0,6653.0,6653.0
2009-03-01,,,,363.0,6815.0,6815.0
2009-04-01,,,,-287.0,0.0,0.0
2009-05-01,,,,5.0,3630.0,3630.0
2009-06-01,,,,8326.0,93047.0,93047.0
2009-07-01,,,,23376.0,251430.0,251430.0
2009-08-01,,,,35162.0,378098.0,378098.0
2009-09-01,,,,-229.0,0.0,0.0
2009-10-01,,,,-210.0,0.0,0.0
2009-11-01,,,,-180.0,0.0,0.0
2009-12-01,,,,217.0,5616.0,5616.0
2010-01-01,,,,-148.0,0.0,0.0
2010-02-01,,,,-203.0,0.0,0.0
2010-03-01,,,,-220.0,0.0,0.0
2010-04-01,,,,-166.0,0.0,0.0
2010-05-01,,,,-249.0,0.0,0.0
2010-06-01,,,,5692.0,63707.0,63707.0
2010-07-01,,,,6358.0,70111.0,70111.0
2010-08-01,,,,61311.0,661829.0,661829.0
2010-09-01,,,,880.0,10789.0,10789.0
2010-10-01,,,,-179.0,0.0,0.0
2010-11-01,,,,-184.0,0.0,0.0
