measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2019-01-01,58.442,520.0,520.0
2019-02-01,43.566,388.0,388.0
2019-03-01,86.384,769.0,769.0
2019-04-01,91.154,812.0,812.0
2019-05-01,107.299,955.0,955.0
2019-06-01,92.22,821.0,821.0
2019-07-01,95.264,848.0,848.0
2019-08-01,87.771,782.0,782.0
2019-09-01,86.925,774.0,774.0
2019-10-01,65.626,584.0,584.0
2019-11-01,63.654,567.0,567.0
2019-12-01,47.695,425.0,425.0
2020-01-01,52.4,459.0,459.0
2020-02-01,53.987,473.0,473.0
2020-03-01,74.226,651.0,651.0
2020-04-01,90.705,795.0,795.0
2020-05-01,104.931,920.0,920.0
2020-06-01,88.943,780.0,780.0
2020-07-01,96.318,844.0,844.0
2020-08-01,87.681,769.0,769.0
2020-09-01,69.13,606.0,606.0
2020-10-01,70.552,619.0,619.0
2020-11-01,58.67,514.0,514.0
2020-12-01,56.457,495.0,495.0
2021-01-01,123.463,1092.0,1092.0
2021-02-01,125.55,1110.0,1110.0
2021-03-01,195.041,1725.0,1725.0
2021-04-01,224.415,1985.0,1985.0
2021-05-01,271.591,2402.0,2402.0
2021-06-01,213.881,1892.0,1892.0
2021-07-01,219.199,1939.0,1939.0
2021-08-01,200.562,1774.0,1774.0
2021-09-01,201.762,1784.0,1784.0
2021-10-01,176.428,1560.0,1560.0
2021-11-01,171.101,1513.0,1513.0
2021-12-01,110.007,973.0,973.0
2022-01-01,85.072,290.0,290.0
2022-02-01,94.549,323.0,323.0
2022-03-01,119.229,407.0,407.0
2022-04-01,135.055,461.0,461.0
2022-05-01,144.219,492.0,492.0
2022-06-01,147.27,502.0,502.0
2022-07-01,128.033,437.0,437.0
2022-08-01,112.847,385.0,385.0
2022-09-01,114.662,391.0,391.0
2022-10-01,121.363,414.0,414.0
2022-11-01,70.909,242.0,242.0
2022-12-01,67.792,231.0,231.0
2023-01-01,103.0,351.0,351.0
2023-02-01,107.0,365.0,365.0
2023-03-01,115.0,392.0,392.0
2023-04-01,141.0,481.0,481.0
2023-05-01,125.0,427.0,427.0
2023-06-01,123.0,420.0,420.0
2023-07-01,132.0,450.0,450.0
2023-08-01,133.0,454.0,454.0
2023-09-01,118.0,403.0,403.0
2023-10-01,102.0,348.0,348.0
2023-11-01,106.0,362.0,362.0
2023-12-01,74.0,252.0,252.0
