measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,3857.32004,19555.78,222792.52,0.0,0.0,0.0,194.85595999999998,987.88,11254.56
2004-02-01,3080.65203,15618.24,179561.1,0.0,0.0,0.0,200.43897,1016.18,11682.93
2004-03-01,3006.9229,15244.45,173164.04,0.0,0.0,0.0,137.9121,699.18,7942.14
2004-04-01,2790.24936,14145.96,161076.85,0.0,0.0,0.0,138.66364,702.99,8004.84
2004-05-01,3287.90967,16668.99,187984.78,0.0,0.0,0.0,113.75233,576.7,6503.74
2004-06-01,3363.3279,17051.35,192160.81,0.0,0.0,0.0,112.6731,571.23,6437.48
2004-07-01,3488.48019,17685.84,199234.89,0.0,0.0,0.0,114.79281,581.97,6556.07
2004-08-01,3265.29056,16554.32,186406.95,0.0,0.0,0.0,105.25044,533.6,6008.47
2004-09-01,3142.28677,15930.71,181623.79,0.0,0.0,0.0,162.31123,822.88,9381.57
2004-10-01,3100.07031,15716.69,174366.19,0.0,0.0,0.0,29.77769,150.97,1674.87
2004-11-01,2935.34844,14881.58,168167.73,0.0,0.0,0.0,110.79756,561.72,6347.65
2004-12-01,3466.65818,17575.21,199868.7,0.0,0.0,0.0,165.26981999999998,837.88,9528.56
2005-01-01,3545.92669,17977.08,197335.34,0.0,0.0,0.0,69.24631,351.06,3853.65
2005-02-01,3220.86517,16329.09,179171.65,0.0,0.0,0.0,61.41383,311.35,3416.35
2005-03-01,3445.91734,17470.06,192060.46,0.0,0.0,0.0,73.14565999999999,370.83,4076.82
2005-04-01,2821.7681000000002,14305.75,158004.84,0.0,0.0,0.0,74.6449,378.43,4179.74
2005-05-01,2689.9651000000003,13637.54,150108.72,0.0,0.0,0.0,60.7629,308.05,3390.77
2005-06-01,3425.45513,17366.32,192407.73,0.0,0.0,0.0,102.70087,520.67,5768.71
2005-07-01,3806.20484,19296.64,214670.7,0.0,0.0,0.0,131.80416,668.22,7433.78
2005-08-01,3760.90617,19066.98,212628.25,0.0,0.0,0.0,140.57882999999998,712.7,7947.83
2005-09-01,3417.74329,17327.22,191545.28,0.0,0.0,0.0,93.81071,475.6,5257.56
2005-10-01,3221.04099,16329.98,179373.68,0.0,0.0,0.0,65.29001,331.01,3635.88
2005-11-01,3168.1056000000003,16061.61,176151.72,0.0,0.0,0.0,58.696400000000004,297.58,3263.61
2005-12-01,3658.1879000000004,18546.22,203187.8,0.0,0.0,0.0,63.484100000000005,321.85,3526.12
2006-01-01,3739.32719,18957.58,209313.65,0.0,0.0,0.0,82.58981,418.71,4623.07
2006-02-01,3511.67667,17803.44,196801.62,0.0,0.0,0.0,82.25233,417.0,4609.59
2006-03-01,3420.96503,17343.56,192180.36,0.0,0.0,0.0,89.51697,453.83,5028.82
2006-04-01,3436.83704,17424.02,192363.23,0.0,0.0,0.0,75.53996,382.97,4228.05
2006-05-01,3619.9478000000004,18352.36,202307.99,0.0,0.0,0.0,73.3892,372.07,4101.5
2006-06-01,3686.62032,18690.37,206955.85,0.0,0.0,0.0,93.46068,473.83,5246.6
2006-07-01,3835.15549,19443.41,217331.18,0.0,0.0,0.0,138.65151,702.93,7857.13
2006-08-01,3840.47211,19470.36,217236.12,0.0,0.0,0.0,130.77489,663.0,7397.28
2006-09-01,3490.52439,17696.21,196186.95,0.0,0.0,0.0,93.35161,473.27,5246.88
2006-10-01,3406.33477,17269.39,192078.52,0.0,0.0,0.0,103.77223,526.1,5851.57
2006-11-01,3467.39799,17578.96,194733.85,0.0,0.0,0.0,89.61901,454.35,5033.13
2006-12-01,3702.72504,18772.01,207558.18,0.0,0.0,0.0,87.73595999999999,444.8,4918.08
2007-01-01,4966.827,27418.0,244558.0,0.0,0.0,0.0,23.173000000000002,128.0,1141.0
2007-02-01,4651.7080000000005,25585.0,234124.0,0.0,0.0,0.0,13.292,73.0,669.0
2007-03-01,4992.735000000001,27539.0,246924.0,0.0,0.0,0.0,37.265,206.0,1843.0
2007-04-01,3438.86,19899.0,213587.0,0.0,0.0,0.0,3.14,18.0,195.0
2007-05-01,877.648,6881.0,139329.0,0.0,0.0,0.0,222.352,1742.0,35299.0
2007-06-01,1861.75,12207.0,171017.0,0.0,0.0,0.0,0.25,2.0,23.0
2007-07-01,2339.772,15054.0,184784.0,0.0,0.0,0.0,0.228,1.0,18.0
2007-08-01,2322.532,14548.0,176040.0,0.0,0.0,0.0,17.468,109.0,1324.0
2007-09-01,1928.353,12528.0,166025.0,0.0,0.0,0.0,3.6470000000000002,24.0,314.0
2007-10-01,2040.921,13157.0,187411.0,0.0,0.0,0.0,19.079,123.0,1752.0
2007-11-01,3721.362,21260.0,221604.0,0.0,0.0,0.0,0.638,4.0,38.0
2007-12-01,4226.63,23832.0,238370.0,0.0,0.0,0.0,23.37,132.0,1318.0
2008-01-01,5180.079000000001,25219.0,254272.0,0.0,0.0,0.0,9.921000000000001,48.0,487.0
2008-02-01,4721.909000000001,22989.0,242784.0,0.0,0.0,0.0,128.091,624.0,6586.0
2008-03-01,4793.143,23335.0,235578.0,0.0,0.0,0.0,26.857000000000003,131.0,1320.0
2008-04-01,3947.043,19216.0,213549.0,0.0,0.0,0.0,12.957,63.0,701.0
2008-05-01,2477.217,12060.0,156141.0,0.0,0.0,0.0,282.783,1377.0,17824.0
2008-06-01,2689.481,13094.0,181307.0,0.0,0.0,0.0,0.519,3.0,35.0
2008-07-01,2455.9970000000003,11957.0,168722.0,0.0,0.0,0.0,4.003,19.0,275.0
2008-08-01,3039.9500000000003,14800.0,180616.0,0.0,0.0,0.0,0.05,0.0,3.0
2008-09-01,3450.9410000000003,16801.0,194660.0,0.0,0.0,0.0,9.059000000000001,44.0,511.0
2008-10-01,4219.885,20545.0,219541.0,0.0,0.0,0.0,0.115,1.0,6.0
2008-11-01,4289.919,20886.0,212749.0,0.0,0.0,0.0,0.081,0.0,4.0
2008-12-01,4273.386,20805.0,214793.0,0.0,0.0,0.0,126.614,616.0,6364.0
2009-01-01,4389.419,21370.0,239789.0,0.0,0.0,0.0,10.581000000000001,52.0,578.0
2009-02-01,5169.238,25167.0,203525.0,0.0,0.0,0.0,0.762,4.0,30.0
2009-03-01,4137.099,20142.0,212610.0,0.0,0.0,0.0,12.901,63.0,663.0
2009-04-01,3491.924,17000.0,187233.0,0.0,0.0,0.0,8.076,39.0,433.0
2009-05-01,2357.338,11477.0,144099.0,0.0,0.0,0.0,372.66200000000003,1814.0,22780.0
2009-06-01,146.133,711.0,75888.0,0.0,0.0,0.0,173.86700000000002,846.0,90290.0
2009-07-01,0.0,5.0,139344.0,0.0,0.0,0.0,0.0,0.0,625.0
2009-08-01,0.0,5.0,153065.0,0.0,0.0,0.0,0.0,0.0,535.0
2009-09-01,189.294,922.0,113444.0,0.0,0.0,0.0,50.706,247.0,30388.0
2009-10-01,2048.989,9976.0,168284.0,0.0,0.0,0.0,1.0110000000000001,5.0,83.0
2009-11-01,2298.462,11190.0,197278.0,0.0,0.0,0.0,1.538,7.0,132.0
2009-12-01,5551.256,27026.0,245735.0,0.0,0.0,0.0,94.744,461.0,4194.0
2010-01-01,4878.271000000001,23750.0,236956.0,0.0,0.0,0.0,1.729,8.0,84.0
2010-02-01,2676.542,13031.0,226772.0,0.0,0.0,0.0,3.458,17.0,293.0
2010-03-01,2082.6240000000003,10139.0,237455.0,0.0,0.0,0.0,7.376,36.0,841.0
2010-04-01,4353.7080000000005,21196.0,206395.0,0.0,0.0,0.0,20.292,99.0,962.0
2010-05-01,1735.337,8449.0,130449.0,0.0,0.0,0.0,536.663,2613.0,40342.0
2010-06-01,2996.915,14591.0,156716.0,0.0,0.0,0.0,272.08500000000004,1325.0,14228.0
2010-07-01,3916.1270000000004,19066.0,184048.0,0.0,0.0,0.0,13.873000000000001,68.0,652.0
2010-08-01,3657.0930000000003,17805.0,197500.0,0.0,0.0,0.0,4.907,24.0,265.0
2010-09-01,3909.2090000000003,19032.0,172876.0,0.0,0.0,0.0,0.791,4.0,35.0
2010-10-01,4109.868,20009.0,204880.0,0.0,0.0,0.0,4.132000000000001,20.0,206.0
2010-11-01,4848.594,23605.0,210840.0,0.0,0.0,0.0,9.406,46.0,409.0
2010-12-01,6196.377,30167.0,266244.0,0.0,0.0,0.0,148.62300000000002,724.0,6386.0
2011-01-01,6284.671,30597.0,269217.0,0.0,0.0,0.0,289.329,1409.0,12394.0
