measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2020-01-01,191.938,1683.0,1683.0
2020-02-01,202.187,1773.0,1773.0
2020-03-01,309.739,2715.0,2715.0
2020-04-01,346.164,3035.0,3035.0
2020-05-01,401.968,3524.0,3524.0
2020-06-01,389.703,3417.0,3417.0
2020-07-01,403.894,3541.0,3541.0
2020-08-01,329.182,2886.0,2886.0
2020-09-01,320.813,2813.0,2813.0
2020-10-01,241.724,2119.0,2119.0
2020-11-01,208.3,1826.0,1826.0
2020-12-01,157.388,1380.0,1380.0
2021-01-01,186.61,1650.0,1650.0
2021-02-01,205.93,1821.0,1821.0
2021-03-01,263.221,2328.0,2328.0
2021-04-01,319.605,2827.0,2827.0
2021-05-01,314.895,2785.0,2785.0
2021-06-01,391.506,3462.0,3462.0
2021-07-01,421.585,3728.0,3728.0
2021-08-01,400.198,3539.0,3539.0
2021-09-01,342.442,3029.0,3029.0
2021-10-01,265.323,2347.0,2347.0
2021-11-01,198.145,1752.0,1752.0
2021-12-01,177.54,1570.0,1570.0
2022-01-01,138.694,473.0,473.0
2022-02-01,174.095,594.0,594.0
2022-03-01,210.788,719.0,719.0
2022-04-01,255.219,871.0,871.0
2022-05-01,261.77,893.0,893.0
2022-06-01,232.363,793.0,793.0
2022-07-01,269.156,918.0,918.0
2022-08-01,271.255,926.0,926.0
2022-09-01,236.336,806.0,806.0
2022-10-01,195.038,665.0,665.0
2022-11-01,142.971,488.0,488.0
2022-12-01,126.315,431.0,431.0
2023-01-01,139.0,474.0,474.0
2023-02-01,228.0,778.0,778.0
2023-03-01,252.0,860.0,860.0
2023-04-01,305.0,1041.0,1041.0
2023-05-01,319.0,1088.0,1088.0
2023-06-01,301.0,1027.0,1027.0
2023-07-01,346.0,1181.0,1181.0
2023-08-01,205.0,699.0,699.0
2023-09-01,248.0,846.0,846.0
2023-10-01,263.0,897.0,897.0
2023-11-01,193.0,659.0,659.0
2023-12-01,153.0,522.0,522.0
2024-01-01,183.0,624.0,624.0
2024-02-01,230.0,785.0,785.0
2024-03-01,305.0,1041.0,1041.0
2024-04-01,324.0,1105.0,1105.0
2024-05-01,414.0,1413.0,1413.0
2024-06-01,418.0,1426.0,1426.0
2024-07-01,429.0,1464.0,1464.0
2024-08-01,352.0,1201.0,1201.0
2024-09-01,346.0,1181.0,1181.0
2024-10-01,260.0,887.0,887.0
2024-11-01,170.0,580.0,580.0
2024-12-01,159.0,543.0,543.0
