measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-01-01,786.807,12721.0,12721.0,,,
2004-02-01,1102.5420000000001,17826.0,17826.0,,,
2004-03-01,1219.044,19709.0,19709.0,,,
2004-04-01,683.813,11056.0,11056.0,,,
2004-05-01,616.2760000000001,9964.0,9964.0,,,
2004-06-01,671.994,10865.0,10865.0,,,
2004-07-01,705.7620000000001,11411.0,11411.0,,,
2004-08-01,661.863,10701.0,10701.0,,,
2004-09-01,648.356,10482.0,10482.0,,,
2004-10-01,638.225,10319.0,10319.0,,,
2004-11-01,594.326,9609.0,9609.0,,,
2004-12-01,671.994,10865.0,10865.0,,,
2005-01-01,797.5310000000001,13853.76,13853.76,0.0,0.0,0.0
2005-02-01,680.186,11815.37,11815.37,0.0,0.0,0.0
2005-03-01,759.873,13199.59,13199.59,0.0,0.0,0.0
2005-04-01,701.591,12187.19,12187.19,0.0,0.0,0.0
2005-05-01,768.705,13353.02,13353.02,0.0,0.0,0.0
2005-06-01,745.3620000000001,12947.53,12947.53,0.0,0.0,0.0
2005-07-01,800.785,13910.27,13910.27,0.0,0.0,0.0
2005-08-01,771.3760000000001,13399.41,13399.41,0.0,0.0,0.0
2005-09-01,734.402,12757.15,12757.15,0.0,0.0,0.0
2005-10-01,633.782,11009.3,11009.3,0.0,0.0,0.0
2005-11-01,705.714,12258.82,12258.82,0.0,0.0,0.0
2005-12-01,789.693,13717.6,13717.6,0.0,0.0,0.0
2006-01-01,1559.496,24887.0,24887.0,0.0,0.0,0.0
2006-02-01,1441.211,23000.0,23000.0,0.0,0.0,0.0
2006-03-01,1589.7530000000002,25370.0,25370.0,0.0,0.0,0.0
2006-04-01,1169.673,18666.0,18666.0,0.0,0.0,0.0
2006-05-01,1430.025,22821.0,22821.0,0.0,0.0,0.0
2006-06-01,1498.008,23906.0,23906.0,0.0,0.0,0.0
2006-07-01,1554.684,24810.0,24810.0,0.0,0.0,0.0
2006-08-01,1545.334,24661.0,24661.0,0.0,0.0,0.0
2006-09-01,1478.1490000000001,23589.0,23589.0,0.0,0.0,0.0
2006-10-01,1533.836,24478.0,24478.0,0.0,0.0,0.0
2006-11-01,1549.155,24722.0,24722.0,0.0,0.0,0.0
2006-12-01,1492.6760000000002,23821.0,23821.0,0.0,0.0,0.0
2007-01-01,808.7570000000001,8500.0,8500.0,0.0,0.0,0.0
2007-02-01,738.784,7765.0,7765.0,0.0,0.0,0.0
2007-03-01,797.8480000000001,8385.0,8385.0,0.0,0.0,0.0
2007-04-01,746.996,7851.0,7851.0,0.0,0.0,0.0
2007-05-01,742.535,7804.0,7804.0,0.0,0.0,0.0
2007-06-01,786.2130000000001,8263.0,8263.0,0.0,0.0,0.0
2007-07-01,803.152,8441.0,8441.0,0.0,0.0,0.0
2007-08-01,806.416,8475.0,8475.0,0.0,0.0,0.0
2007-09-01,777.3290000000001,8170.0,8170.0,0.0,0.0,0.0
2007-10-01,688.448,7236.0,7236.0,0.0,0.0,0.0
2007-11-01,792.158,8326.0,8326.0,0.0,0.0,0.0
2007-12-01,803.363,8443.0,8443.0,0.0,0.0,0.0
2008-01-01,368.183,10093.0,10093.0,0.0,0.0,0.0
2008-02-01,382.495,10485.0,10485.0,0.0,0.0,0.0
2008-03-01,413.627,11339.0,11339.0,0.0,0.0,0.0
2008-04-01,395.67400000000004,10846.0,10846.0,0.0,0.0,0.0
2008-05-01,354.78900000000004,9726.0,9726.0,0.0,0.0,0.0
2008-06-01,381.113,10447.0,10447.0,0.0,0.0,0.0
2008-07-01,401.058,10994.0,10994.0,0.0,0.0,0.0
2008-08-01,412.562,11310.0,11310.0,0.0,0.0,0.0
2008-09-01,374.95500000000004,10279.0,10279.0,0.0,0.0,0.0
2008-10-01,399.845,10961.0,10961.0,0.0,0.0,0.0
2008-11-01,413.435,11334.0,11334.0,0.0,0.0,0.0
2008-12-01,423.264,11603.0,11603.0,0.0,0.0,0.0
2009-01-01,344.856,11549.0,11549.0,0.0,0.0,0.0
2009-02-01,416.909,13962.0,13962.0,0.0,0.0,0.0
2009-03-01,452.505,15154.0,15154.0,0.0,0.0,0.0
2009-04-01,410.853,13759.0,13759.0,0.0,0.0,0.0
2009-05-01,432.851,14495.0,14495.0,0.0,0.0,0.0
2009-06-01,460.689,15428.0,15428.0,0.0,0.0,0.0
2009-07-01,474.0,15874.0,15874.0,0.0,0.0,0.0
2009-08-01,420.692,14089.0,14089.0,0.0,0.0,0.0
2009-09-01,441.945,14800.0,14800.0,0.0,0.0,0.0
2009-10-01,453.766,15196.0,15196.0,0.0,0.0,0.0
2009-11-01,435.182,14574.0,14574.0,0.0,0.0,0.0
2009-12-01,454.752,15229.0,15229.0,0.0,0.0,0.0
2010-01-01,407.029,14754.0,14754.0,0.0,0.0,0.0
2010-02-01,359.994,13049.0,13049.0,0.0,0.0,0.0
2010-03-01,350.047,12689.0,12689.0,0.0,0.0,0.0
2010-04-01,362.276,13132.0,13132.0,0.0,0.0,0.0
2010-05-01,369.891,13408.0,13408.0,0.0,0.0,0.0
2010-06-01,416.785,15108.0,15108.0,0.0,0.0,0.0
2010-07-01,435.543,15788.0,15788.0,0.0,0.0,0.0
2010-08-01,438.15900000000005,15882.0,15882.0,0.0,0.0,0.0
2010-09-01,413.276,14981.0,14981.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0
