measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2021-01-01,30.537,442.0,442.0
2021-02-01,29.696,430.0,430.0
2021-03-01,23.143,335.0,335.0
2021-04-01,26.364,382.0,382.0
2021-05-01,30.176,437.0,437.0
2021-06-01,41.076,594.0,594.0
2021-07-01,45.251,654.0,654.0
2021-08-01,46.146,667.0,667.0
2021-09-01,38.995,564.0,564.0
2021-10-01,32.996,478.0,478.0
2021-11-01,27.14,392.0,392.0
2021-12-01,28.48,412.0,412.0
2022-01-01,22.592,319.0,319.0
2022-02-01,20.112,284.0,284.0
2022-03-01,16.016,227.0,227.0
2022-04-01,16.695,236.0,236.0
2022-05-01,24.664,349.0,349.0
2022-06-01,30.023,425.0,425.0
2022-07-01,35.378,500.0,500.0
2022-08-01,35.562,503.0,503.0
2022-09-01,29.977,424.0,424.0
2022-10-01,23.168,328.0,328.0
2022-11-01,21.715,307.0,307.0
2022-12-01,24.098,341.0,341.0
2023-01-01,21.423,305.0,305.0
2023-02-01,20.206,288.0,288.0
2023-03-01,19.942,284.0,284.0
2023-04-01,19.259,275.0,275.0
2023-05-01,27.496,392.0,392.0
2023-06-01,31.763,452.0,452.0
2023-07-01,34.834,497.0,497.0
2023-08-01,38.341,546.0,546.0
2023-09-01,32.3,461.0,461.0
2023-10-01,23.842,340.0,340.0
2023-11-01,22.105,316.0,316.0
2023-12-01,23.489,335.0,335.0
2024-01-01,22.984,329.0,329.0
2024-02-01,15.868,227.0,227.0
2024-03-01,18.007,258.0,258.0
2024-04-01,16.918,242.0,242.0
2024-05-01,22.605,324.0,324.0
2024-06-01,25.502,365.0,365.0
2024-07-01,27.566,395.0,395.0
2024-08-01,31.147,446.0,446.0
2024-09-01,25.844,370.0,370.0
2024-10-01,22.386,320.0,320.0
2024-11-01,17.934,257.0,257.0
2024-12-01,19.239,276.0,276.0
