measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,12024.0,113693.0,199014.0,9961.0,73631.0,398417.0
2003-02-01,11469.0,115194.0,196051.0,8341.0,93930.0,333059.0
2003-03-01,12337.0,100311.0,193914.0,10299.0,87998.0,385314.0
2003-04-01,12353.0,114559.0,203674.0,9639.0,78551.0,368220.0
2003-05-01,12460.0,96258.0,198780.0,10121.0,97640.0,363603.0
2003-06-01,12345.0,94201.0,197558.0,9645.0,100713.0,340620.0
2003-07-01,13439.0,115377.0,207142.0,9481.0,104687.0,342397.0
2003-08-01,10941.0,82348.0,175242.0,10545.0,102057.0,377181.0
2003-09-01,12551.0,107261.0,193349.0,9270.0,87125.0,360998.0
2003-10-01,13911.0,106908.0,203137.0,8752.0,62857.0,369004.0
2003-11-01,13392.0,122985.0,205393.0,8466.0,93253.0,366792.0
2003-12-01,14527.0,116056.0,208988.0,8386.0,62412.0,367982.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,6808.741,40165.03,534452.04,10484.54,52708.87,416983.56
2005-02-01,6145.599,36253.13,482398.71,9463.391,47575.26,376371.15
2005-03-01,6632.3460000000005,39124.47,520605.94,10212.917,51343.34,406180.73
2005-04-01,6664.1990000000005,39312.38,523106.26,10261.966,51589.93,408131.5
2005-05-01,7319.33,43177.02,574530.7,11270.778,56661.52,448253.25
2005-06-01,9401.253,55458.36,737951.24,14476.659,72778.42,575755.19
2005-07-01,12038.479,71015.47,944960.31,18537.631,93194.13,737265.25
2005-08-01,12475.697,73594.63,979279.65,19210.886,96578.78,764041.47
2005-09-01,9409.338,55506.06,738585.91,14489.109,72841.02,576250.37
2005-10-01,7303.465,43083.43,573285.38,11246.348,56538.7,447281.63
2005-11-01,6516.434,38440.7,511507.41,10034.427,50446.02,399081.99
2005-12-01,7435.059,43859.71,583614.89,11448.986,57557.42,455340.79
2006-01-01,11183.892,65974.22,442893.74,7946.054,39947.15,633926.55
2006-02-01,9860.554,58167.8,390488.19,7005.835,35220.39,558916.98
2006-03-01,10921.898,64428.71,432518.5,7759.91,39011.35,619076.16
2006-04-01,10406.405,61387.79,412104.43,7393.656,37170.09,589856.93
2006-05-01,12129.523000000001,71552.54,480341.7,8617.916000000001,43324.8,687526.9
2006-06-01,12856.709,75842.24,509139.04,9134.576000000001,45922.2,728745.35
2006-07-01,14476.087,85395.02,573268.09,10285.129,51706.37,820535.12
2006-08-01,14954.679,88218.25,592220.84,10625.164,53415.83,847662.73
2006-09-01,12176.646,71830.52,482207.85,8651.397,43493.12,690197.96
2006-10-01,12764.624,75299.02,505492.36,9069.15,45593.28,723525.76
2006-11-01,10782.486,63606.31,426997.63,7660.859,38513.39,611174.0
2006-12-01,12091.378,71327.52,478831.12,8590.815,43188.55,685364.76
2007-01-01,9319.909,54979.0,176080.0,8236.0,40163.0,570367.0
2007-02-01,8373.846,49397.0,158206.0,7199.0,35106.0,476801.0
2007-03-01,9629.349,56804.0,181926.0,7883.0,38441.0,568659.0
2007-04-01,9602.093,56644.0,181411.0,7736.0,37725.0,531083.0
2007-05-01,10892.637,64256.0,205794.0,8755.0,42694.0,530130.0
2007-06-01,11993.522,70750.0,226593.0,9223.0,44976.0,530460.0
2007-07-01,12367.227,72955.0,233653.0,9538.0,46522.0,696746.0
2007-08-01,16004.8,94412.0,302378.0,8219.0,40079.0,694074.0
2007-09-01,12072.332,71215.0,228082.0,8407.0,40997.0,582857.0
2007-10-01,11814.039,69692.0,223201.0,8349.0,40714.0,663909.0
2007-11-01,8868.094000000001,52313.0,167544.0,7441.0,36286.0,663319.0
2007-12-01,9038.572,53319.0,170765.0,7588.0,37002.0,643560.0
2008-01-01,13236.415,62667.0,62667.0,7319.0,35691.0,622157.0
2008-02-01,10299.498,48761.0,48761.0,7042.0,34340.0,575437.0
2008-03-01,11522.279,54551.0,54551.0,8767.0,42752.0,633384.0
2008-04-01,10281.623,48677.0,48677.0,8803.0,42928.0,592012.0
2008-05-01,14092.205,66718.0,66718.0,8069.0,39348.0,597445.0
2008-06-01,14787.300000000001,70009.0,70009.0,9380.0,45741.0,575144.0
