measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,85.0,1112.0,1112.0,0.0,0.0,0.0,,,,19.0,284.0,284.0
2003-02-01,1188.0,7518.0,7518.0,0.0,0.0,0.0,,,,2493.0,38759.0,38759.0
2003-03-01,535.0,6122.0,6122.0,0.0,0.0,0.0,,,,2723.0,45636.0,45636.0
2003-04-01,279.0,3209.0,3209.0,0.0,0.0,0.0,,,,3707.0,70357.0,70357.0
2003-05-01,143.0,1796.0,1796.0,0.0,0.0,0.0,,,,7027.0,118185.0,118185.0
2003-06-01,157.0,1949.0,1949.0,0.0,0.0,0.0,,,,2740.0,46360.0,46360.0
2003-07-01,220.0,2622.0,2622.0,0.0,0.0,0.0,,,,3380.0,61571.0,61571.0
2003-08-01,159.0,2092.0,2092.0,0.0,0.0,0.0,,,,5143.0,99894.0,99894.0
2003-09-01,239.0,2861.0,2861.0,0.0,0.0,0.0,,,,1430.0,27975.0,27975.0
2003-10-01,-19.0,0.0,0.0,0.0,0.0,0.0,,,,2171.0,40791.0,40791.0
2003-11-01,38.0,752.0,752.0,0.0,0.0,0.0,,,,975.0,26890.0,26890.0
2003-12-01,219.0,2759.0,2759.0,0.0,0.0,0.0,,,,-120.0,0.0,0.0
2004-01-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,5.585,1739.0,1739.0
2004-02-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,5.743,1788.0,1788.0
2004-03-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,3.0290000000000004,943.0,943.0
2004-04-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,7.115,2215.0,2215.0
2004-05-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,4.737,1475.0,1475.0
2004-06-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,2.249,700.0,700.0
2004-07-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,8.498000000000001,2646.0,2646.0
2004-08-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,5.593,1742.0,1742.0
2004-09-01,79.25,1174.0,1174.0,0.0,0.0,0.0,,,,3.394,1057.0,1057.0
