measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-01-01,,,,3014.478,31302.0,31302.0
2013-02-01,,,,3005.729,31210.0,31210.0
2013-03-01,,,,3398.285,35286.0,35286.0
2013-04-01,,,,2043.084,21214.0,21214.0
2013-05-01,,,,1796.121,18650.0,18650.0
2013-06-01,,,,1451.958,15076.0,15076.0
2013-07-01,,,,1885.269,19576.0,19576.0
2013-08-01,,,,1988.189,20644.0,20644.0
2013-09-01,,,,1850.952,19219.0,19219.0
2013-10-01,,,,1098.18,11403.0,11403.0
2013-11-01,,,,2449.635,25435.0,25435.0
2013-12-01,,,,2342.12,24319.0,24319.0
2014-01-01,2390.199,26169.0,26169.0,,,
2014-02-01,3175.826,34771.0,34771.0,,,
2014-03-01,3248.886,35571.0,35571.0,,,
2014-04-01,3226.702,35328.0,35328.0,,,
2014-05-01,2484.228,27199.0,27199.0,,,
2014-06-01,1386.656,15182.0,15182.0,,,
2014-07-01,2215.588,24258.0,24258.0,,,
2014-08-01,1442.88,15798.0,15798.0,,,
2014-09-01,1313.895,14385.0,14385.0,,,
2014-10-01,1362.682,14920.0,14920.0,,,
2014-11-01,2339.598,25616.0,25616.0,,,
2014-12-01,2494.86,27315.0,27315.0,,,
2015-01-01,2242.539,24017.0,24017.0,,,
2015-02-01,2632.506,28193.0,28193.0,,,
2015-03-01,2070.158,22170.0,22170.0,,,
2015-04-01,2328.355,24936.0,24936.0,,,
2015-05-01,2640.433,28278.0,28278.0,,,
2015-06-01,2879.573,30839.0,30839.0,,,
2015-07-01,2868.029,30716.0,30716.0,,,
2015-08-01,1837.074,19674.0,19674.0,,,
2015-09-01,1931.563,20687.0,20687.0,,,
2015-10-01,1564.838,16759.0,16759.0,,,
2015-11-01,2521.167,27001.0,27001.0,,,
2015-12-01,3052.765,32694.0,32694.0,,,
2016-01-01,1563.649,17034.0,17034.0,,,
2016-02-01,1843.52,20083.0,20083.0,,,
2016-03-01,2970.997,32365.0,32365.0,,,
2016-04-01,2081.505,22675.0,22675.0,,,
2016-05-01,2138.24,23294.0,23294.0,,,
2016-06-01,1423.396,15506.0,15506.0,,,
2016-07-01,2145.248,23369.0,23369.0,,,
2016-08-01,2142.324,23338.0,23338.0,,,
2016-09-01,2011.492,21913.0,21913.0,,,
2016-10-01,2355.753,25663.0,25663.0,,,
2016-11-01,2847.969,31025.0,31025.0,,,
2016-12-01,3005.907,32745.0,32745.0,,,
2017-01-01,2259.004,24287.0,24287.0,,,
2017-02-01,2048.844,22028.0,22028.0,,,
2017-03-01,2709.692,29133.0,29133.0,,,
2017-04-01,2644.603,28433.0,28433.0,,,
2017-05-01,2826.457,30388.0,30388.0,,,
2017-06-01,2363.113,25406.0,25406.0,,,
2017-07-01,2361.007,25384.0,25384.0,,,
2017-08-01,2623.968,28211.0,28211.0,,,
2017-09-01,2454.921,26393.0,26393.0,,,
2017-10-01,2177.811,23414.0,23414.0,,,
2017-11-01,2601.941,27974.0,27974.0,,,
2017-12-01,2763.639,29713.0,29713.0,,,
2018-01-01,2077.182,22746.0,22746.0,,,
2018-02-01,1950.814,21362.0,21362.0,,,
2018-03-01,2160.202,23655.0,23655.0,,,
2018-04-01,1887.062,20664.0,20664.0,,,
2018-05-01,2072.132,22691.0,22691.0,,,
2018-06-01,1746.574,19125.0,19125.0,,,
2018-07-01,1823.617,19969.0,19969.0,,,
2018-08-01,2023.586,22159.0,22159.0,,,
2018-09-01,1837.122,20117.0,20117.0,,,
2018-10-01,1820.565,19935.0,19935.0,,,
2018-11-01,2050.671,22455.0,22455.0,,,
2018-12-01,2237.473,24501.0,24501.0,,,
2019-01-01,2574.216,27746.0,27746.0,,,
2019-02-01,2139.374,23059.0,23059.0,,,
2019-03-01,2041.126,22000.0,22000.0,,,
2019-04-01,1976.525,21304.0,21304.0,,,
2019-05-01,2264.462,24407.0,24407.0,,,
2019-06-01,2259.027,24349.0,24349.0,,,
2019-07-01,2376.383,25614.0,25614.0,,,
2019-08-01,2468.503,26607.0,26607.0,,,
2019-09-01,1958.422,21109.0,21109.0,,,
2019-10-01,2257.747,24335.0,24335.0,,,
2019-11-01,2047.745,22071.0,22071.0,,,
