measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,1555.713,9449.0,47575.0,387.904,2356.0,11862.0,0.0,0.0,0.0
2003-02-01,1433.805,8708.0,43847.0,357.507,2171.0,10932.0,0.0,0.0,0.0
2003-03-01,1412.1760000000002,8577.0,43186.0,352.11400000000003,2138.0,10767.0,0.0,0.0,0.0
2003-04-01,1418.391,8615.0,43376.0,353.663,2148.0,10815.0,0.0,0.0,0.0
2003-05-01,1238.362,7521.0,37870.0,308.775,1875.0,9442.0,0.0,0.0,0.0
2003-06-01,1496.412,9089.0,45762.0,373.117,2266.0,11410.0,0.0,0.0,0.0
2003-07-01,1942.1660000000002,11796.0,59393.0,484.262,2941.0,14808.0,0.0,0.0,0.0
2003-08-01,1930.422,11725.0,59034.0,481.334,2923.0,14719.0,0.0,0.0,0.0
2003-09-01,1595.6470000000002,9691.0,48796.0,397.86100000000005,2416.0,12166.0,0.0,0.0,0.0
2003-10-01,1768.519,10741.0,54083.0,440.965,2678.0,13484.0,0.0,0.0,0.0
