measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2010-01-01,792.067,8180.0,8180.0
2010-02-01,724.87,7486.0,7486.0
2010-03-01,824.153,8511.0,8511.0
2010-04-01,818.202,8450.0,8450.0
2010-05-01,829.835,8570.0,8570.0
2010-06-01,843.974,8716.0,8716.0
2010-07-01,859.265,8874.0,8874.0
2010-08-01,859.788,8879.0,8879.0
2010-09-01,814.183,8408.0,8408.0
2010-10-01,820.327,8472.0,8472.0
2010-11-01,845.426,8731.0,8731.0
2010-12-01,861.91,8901.0,8901.0
2011-01-01,710.509,7384.0,7384.0
2011-02-01,667.074,6933.0,6933.0
2011-03-01,736.72,7657.0,7657.0
2011-04-01,712.226,7402.0,7402.0
2011-05-01,735.787,7647.0,7647.0
2011-06-01,761.1,7910.0,7910.0
2011-07-01,793.228,8244.0,8244.0
2011-08-01,787.288,8182.0,8182.0
2011-09-01,741.967,7711.0,7711.0
2011-10-01,771.046,8014.0,8014.0
2011-11-01,773.623,8040.0,8040.0
2011-12-01,803.432,8350.0,8350.0
2012-01-01,717.817,7755.0,7755.0
2012-02-01,686.737,7419.0,7419.0
2012-03-01,730.08,7887.0,7887.0
2012-04-01,717.256,7749.0,7749.0
2012-05-01,743.854,8036.0,8036.0
2012-06-01,722.235,7803.0,7803.0
2012-07-01,756.043,8168.0,8168.0
2012-08-01,749.538,8098.0,8098.0
2012-09-01,715.022,7725.0,7725.0
2012-10-01,743.205,8030.0,8030.0
2012-11-01,745.717,8057.0,8057.0
2012-12-01,771.496,8335.0,8335.0
2013-01-01,655.958,7212.0,7212.0
2013-02-01,582.088,6401.0,6401.0
2013-03-01,674.956,7422.0,7422.0
2013-04-01,647.199,7117.0,7117.0
2013-05-01,675.153,7425.0,7425.0
2013-06-01,660.902,7268.0,7268.0
2013-07-01,691.452,7604.0,7604.0
2013-08-01,692.869,7619.0,7619.0
2013-09-01,653.175,7183.0,7183.0
2013-10-01,687.729,7563.0,7563.0
2013-11-01,696.93,7664.0,7664.0
2013-12-01,725.589,7979.0,7979.0
2014-01-01,756.451,9242.0,9242.0
2014-02-01,647.404,7910.0,7910.0
2014-03-01,750.234,9166.0,9166.0
2014-04-01,726.546,8877.0,8877.0
2014-05-01,751.273,9179.0,9179.0
2014-06-01,736.594,9000.0,9000.0
2014-07-01,754.501,9218.0,9218.0
2014-08-01,745.916,9114.0,9114.0
2014-09-01,704.368,8606.0,8606.0
2014-10-01,723.881,8844.0,8844.0
