measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2022-01-01,0.0,0.0,0.0,0.375,4.0,5.0
2022-02-01,0.0,0.0,0.0,0.332,4.0,4.0
2022-03-01,0.0,0.0,0.0,0.358,4.0,5.0
2022-04-01,0.0,0.0,0.0,0.279,3.0,4.0
2022-05-01,0.0,0.0,0.0,0.288,3.0,4.0
2022-06-01,0.0,0.0,0.0,0.32,4.0,4.0
2022-07-01,0.0,0.0,0.0,0.344,4.0,4.0
2022-08-01,0.0,0.0,0.0,0.361,4.0,5.0
2022-09-01,0.0,0.0,0.0,0.35,4.0,5.0
2022-10-01,0.0,0.0,0.0,0.353,4.0,5.0
2022-11-01,0.0,0.0,0.0,0.299,3.0,4.0
2022-12-01,0.0,0.0,0.0,0.341,4.0,4.0
2023-01-01,0.0,0.0,0.0,26.696,297.0,297.0
2023-02-01,0.0,0.0,0.0,25.925,288.0,288.0
2023-03-01,0.0,0.0,0.0,27.392,304.0,304.0
2023-04-01,0.0,0.0,0.0,26.111,290.0,290.0
2023-05-01,0.0,0.0,0.0,32.045,356.0,356.0
2023-06-01,0.0,0.0,0.0,28.648,319.0,319.0
2023-07-01,0.0,0.0,0.0,29.904,332.0,332.0
2023-08-01,0.0,0.0,0.0,32.113,357.0,357.0
2023-09-01,0.0,0.0,0.0,29.925,332.0,332.0
2023-10-01,0.0,0.0,0.0,28.208,313.0,313.0
2023-11-01,0.0,0.0,0.0,28.678,319.0,319.0
2023-12-01,0.0,0.0,0.0,32.355,359.0,359.0
2024-01-01,0.0,0.0,0.0,423.054,4719.0,4719.0
2024-02-01,0.0,0.0,0.0,368.219,4108.0,4108.0
2024-03-01,0.0,0.0,0.0,441.606,4926.0,4926.0
2024-04-01,0.0,0.0,0.0,361.86,4036.0,4036.0
2024-05-01,0.0,0.0,0.0,427.142,4765.0,4765.0
2024-06-01,0.0,0.0,0.0,398.549,4446.0,4446.0
2024-07-01,0.0,0.0,0.0,413.102,4608.0,4608.0
2024-08-01,0.0,0.0,0.0,417.479,4657.0,4657.0
2024-09-01,0.0,0.0,0.0,400.297,4465.0,4465.0
2024-10-01,0.0,0.0,0.0,387.375,4321.0,4321.0
2024-11-01,0.0,0.0,0.0,413.144,4609.0,4609.0
2024-12-01,0.0,0.0,0.0,432.173,4821.0,4821.0
