measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,47821.0,526235.0,526235.0
2003-02-01,9319.0,100455.0,100455.0,1.0,12.0,12.0,30820.0,355047.0,355047.0
2003-03-01,9863.0,106646.0,106646.0,17.0,209.0,209.0,29526.0,343357.0,343357.0
2003-04-01,7350.0,87270.0,87270.0,25.0,325.0,325.0,18259.0,224248.0,224248.0
2003-05-01,2557.0,29574.0,29574.0,52.0,662.0,662.0,17580.0,212461.0,212461.0
2003-06-01,13343.0,154617.0,154617.0,35.0,441.0,441.0,30948.0,347876.0,347876.0
2003-07-01,6812.0,76548.0,76548.0,37.0,459.0,459.0,26787.0,317055.0,317055.0
2003-08-01,13260.0,154512.0,154512.0,18.0,227.0,227.0,32382.0,376477.0,376477.0
2003-09-01,12736.0,150566.0,150566.0,21.0,273.0,273.0,23574.0,292750.0,292750.0
2003-10-01,5979.0,67250.0,67250.0,15.0,192.0,192.0,33991.0,414121.0,414121.0
2003-11-01,12393.0,138722.0,138722.0,28.0,354.0,354.0,15887.0,190793.0,190793.0
2003-12-01,9863.0,106646.0,106646.0,17.0,209.0,209.0,29526.0,343357.0,343357.0
2004-01-01,16631.141,184571.0,184571.0,27.618000000000002,343.0,343.0,29623.25,351817.0,351817.0
2004-02-01,12402.293,137640.0,137640.0,12.788,159.0,159.0,25909.204,307708.0,307708.0
2004-03-01,9420.161,104544.0,104544.0,18.762,233.0,233.0,26497.331,314693.0,314693.0
2004-04-01,6854.0070000000005,76065.0,76065.0,21.687,269.0,269.0,26286.835,312193.0,312193.0
2004-05-01,6963.617,77282.0,77282.0,15.589,193.0,193.0,26380.218,313302.0,313302.0
2004-06-01,11171.97,123986.0,123986.0,7.165,89.0,89.0,27671.119,328633.0,328633.0
2004-07-01,13582.198,150734.0,150734.0,21.355,265.0,265.0,31049.069,368751.0,368751.0
2004-08-01,12518.425,138929.0,138929.0,9.454,117.0,117.0,30205.217,358729.0,358729.0
2004-09-01,10805.917,119923.0,119923.0,12.402000000000001,154.0,154.0,28100.229,333729.0,333729.0
2004-10-01,10180.015,112977.0,112977.0,15.185,188.0,188.0,25736.136,305652.0,305652.0
2004-11-01,12569.847,139499.0,139499.0,12.542,156.0,156.0,26887.57,319327.0,319327.0
2004-12-01,11266.41,125034.0,125034.0,13.453000000000001,167.0,167.0,28461.822,338024.0,338024.0
2005-01-01,13435.059000000001,150107.49,150107.49,26.036,333.11,333.11,23449.281,288158.58,288158.58
2005-02-01,11697.45,130693.49,130693.49,8.945,114.45,114.45,20416.493,250889.9,250889.9
2005-03-01,12136.072,135594.13,135594.13,9.914,126.85,126.85,21182.055,260297.57,260297.57
2005-04-01,10815.627,120841.05,120841.05,12.009,153.65,153.65,18877.378,231976.34,231976.34
2005-05-01,11873.384,132659.17,132659.17,11.153,142.7,142.7,20723.566,254663.38,254663.38
2005-06-01,13224.488000000001,147754.8,147754.8,14.476,185.21,185.21,23081.755,283642.2,283642.2
2005-07-01,13979.683,156192.47,156192.47,14.735,188.52,188.52,24399.857,299839.81,299839.81
2005-08-01,14135.22,157930.26,157930.26,17.31,221.47,221.47,24671.329,303175.82,303175.82
2005-09-01,12953.751,144729.91,144729.91,11.331000000000001,144.97,144.97,22609.216,277835.36,277835.36
2005-10-01,12232.392,136670.3,136670.3,12.584000000000001,161.0,161.0,21350.17,262363.47,262363.47
2005-11-01,11926.015,133247.21,133247.21,10.116,129.43,129.43,20815.427,255792.21,255792.21
2005-12-01,13318.861,148809.23,148809.23,21.39,273.67,273.67,23246.472,285666.34,285666.34
2006-01-01,13113.942,153456.0,153456.0,12.81,167.0,167.0,30220.27,377413.0,377413.0
2006-02-01,12489.59,146150.0,146150.0,6.703,88.0,88.0,28781.49,359444.0,359444.0
2006-03-01,12762.051,149338.0,149338.0,5.631,74.0,74.0,29409.358,367286.0,367286.0
2006-04-01,10857.663,127054.0,127054.0,10.786000000000001,141.0,141.0,25020.815000000002,312478.0,312478.0
2006-05-01,11603.366,135780.0,135780.0,10.082,132.0,132.0,26739.241,333939.0,333939.0
2006-06-01,12570.506000000001,147097.0,147097.0,9.164,120.0,120.0,28967.955,361773.0,361773.0
2006-07-01,14298.928,167322.0,167322.0,13.274000000000001,173.0,173.0,32950.996,411516.0,411516.0
2006-08-01,14402.101999999999,168530.0,168530.0,12.876000000000001,168.0,168.0,33188.756,414485.0,414485.0
2006-09-01,11966.409,140028.0,140028.0,5.915,77.0,77.0,27575.85,344387.0,344387.0
2006-10-01,12377.365,144837.0,144837.0,6.2490000000000006,82.0,82.0,28522.874,356215.0,356215.0
2006-11-01,12238.202000000001,143208.0,143208.0,7.3580000000000005,96.0,96.0,28202.181,352209.0,352209.0
2006-12-01,13248.875,155035.0,155035.0,8.153,106.0,106.0,30531.213,381296.0,381296.0
2007-01-01,13562.167000000001,167098.0,167098.0,1.4120000000000001,17.0,17.0,35292.421,434834.0,434834.0
2007-02-01,11984.425,147871.0,147871.0,5.641,70.0,70.0,31888.934,393465.0,393465.0
2007-03-01,13361.99,166611.0,166611.0,0.0,0.0,0.0,25693.01,320367.0,320367.0
2007-04-01,8646.567000000001,107163.0,107163.0,27.143,336.0,336.0,19724.29,244457.0,244457.0
2007-05-01,13231.952000000001,163610.0,163610.0,26.268,325.0,325.0,33657.78,416170.0,416170.0
2007-06-01,12375.686,158547.0,158547.0,1.358,17.0,17.0,33453.956,428585.0,428585.0
2007-07-01,12719.2,163094.0,163094.0,,,,34096.8,437213.0,437213.0
2007-08-01,12504.015,163658.0,163658.0,1.329,17.0,17.0,33576.656,439467.0,439467.0
2007-09-01,12072.182,156177.0,156177.0,,,,32904.818,425687.0,425687.0
2007-10-01,12485.352,162037.0,162037.0,53.628,696.0,696.0,19576.02,254061.0,254061.0
2007-11-01,10591.824,129932.0,129932.0,18.439,226.0,226.0,34319.737,421007.0,421007.0
2007-12-01,13670.016,168146.0,168146.0,2.358,29.0,29.0,35303.626000000004,434247.0,434247.0
2008-01-01,13533.210000000001,167816.0,167816.0,0.0,0.0,0.0,35455.79,439663.0,439663.0
2008-02-01,4628.162,57366.0,57366.0,19.416,241.0,241.0,33512.422,415384.0,415384.0
2008-03-01,13512.018,168424.0,168424.0,1.8390000000000002,23.0,23.0,35453.144,441915.0,441915.0
2008-04-01,13007.99,161605.0,161605.0,21.216,264.0,264.0,25148.793,312436.0,312436.0
2008-05-01,10925.352,134002.0,134002.0,9.343,115.0,115.0,32316.304,396368.0,396368.0
2008-06-01,12154.93,150876.0,150876.0,17.080000000000002,212.0,212.0,32948.99,408986.0,408986.0
2008-07-01,12970.095000000001,162992.0,162992.0,3.648,46.0,46.0,33250.257,417848.0,417848.0
2008-08-01,12676.451000000001,160717.0,160717.0,3.616,46.0,46.0,32931.934,417524.0,417524.0
2008-09-01,4858.675,62240.0,62240.0,2.684,34.0,34.0,12779.641,163708.0,163708.0
2008-10-01,41.838,3181.0,3181.0,18.162000000000003,1381.0,1381.0,0.0,0.0,0.0
