measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Generation,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Quantity Consumed For Electricity,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Total Fuel Consumed,"Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2020-10-01,,,,,,,56316.413,564866.0,833137.0,7363.087,49260.0,101898.0,,,,,,,0.0,0.0,0.0,2490.913,16665.0,34472.0
2020-11-01,,,,,,,44111.312,442446.0,652576.0,7034.665,47063.0,126441.0,,,,,,,0.0,0.0,0.0,2258.335,15109.0,40591.0
2020-12-01,,,,,,,48479.611,486261.0,717200.0,7795.312,52152.0,108487.0,,,,,,,0.0,0.0,0.0,2345.688,15693.0,32645.0
2021-01-01,,,,,,,52990.054,547485.0,811092.0,8825.284,59043.0,116108.0,,,,,,,0.0,0.0,0.0,1774.716,11873.0,23349.0
2021-02-01,,,,,,,51530.464,532405.0,788749.0,5871.929,39284.0,115920.0,,,,,,,0.0,0.0,0.0,1799.071,12036.0,35516.0
2021-03-01,,,,,,,40160.565,414933.0,614716.0,6970.831,46636.0,109256.0,,,,,,,0.0,0.0,0.0,3555.169,23785.0,55721.0
2021-04-01,,,,,,,45748.915,472671.0,700255.0,6197.382,41462.0,89715.0,,,,,,,0.0,0.0,0.0,2691.618,18007.0,38965.0
2021-05-01,,,,,,,52364.49,541022.0,801515.0,6256.286,41856.0,91766.0,,,,,,,0.0,0.0,0.0,2888.714,19326.0,42371.0
2021-06-01,,,,,,,71278.254,736436.0,1091018.0,5644.423,37762.0,80145.0,,,,,,,0.0,0.0,0.0,2619.577,17525.0,37195.0
2021-07-01,,,,,,,78523.476,811293.0,1201917.0,6402.68,42835.0,110952.0,,,,,,,0.0,0.0,0.0,2501.32,16734.0,43345.0
2021-08-01,,,,,,,80077.18,827345.0,1225699.0,7259.028,48564.0,105466.0,,,,,,,0.0,0.0,0.0,2110.972,14123.0,30670.0
2021-09-01,,,,,,,67666.588,699121.0,1035737.0,7334.766,49071.0,97718.0,,,,,,,0.0,0.0,0.0,1743.234,11663.0,23224.0
2021-10-01,,,,,,,57257.744,591578.0,876415.0,7365.443,49276.0,109010.0,,,,,,,0.0,0.0,0.0,1830.557,12247.0,27093.0
2021-11-01,,,,,,,47095.669,486585.0,720868.0,6275.937,41987.0,81628.0,,,,,,,0.0,0.0,0.0,1860.063,12444.0,24193.0
2021-12-01,,,,,,,49420.601,510606.0,756455.0,6494.973,43453.0,91158.0,,,,,,,0.0,0.0,0.0,1918.027,12832.0,26920.0
2022-01-01,,,,,,,70954.185,474697.0,823338.0,4325.83,28941.0,78996.0,,,,,,,0.0,0.0,0.0,551.17,3687.0,10065.0
2022-02-01,,,,,,,63170.411,422622.0,733015.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,,,,,,,50303.299,336539.0,583708.0,3260.791,21815.0,59521.0,,,,,,,0.0,0.0,0.0,2371.209,15864.0,43283.0
2022-04-01,,,,,,,52437.944,350820.0,608478.0,3543.781,23709.0,37649.0,,,,,,,0.0,0.0,0.0,5480.219,36664.0,58222.0
2022-05-01,,,,,,,77464.911,518255.0,898886.0,4415.787,29542.0,51097.0,,,,,,,0.0,0.0,0.0,5495.213,36764.0,63588.0
2022-06-01,,,,,,,94296.643,630863.0,1094197.0,3790.775,25361.0,48660.0,,,,,,,0.0,0.0,0.0,5214.225,34884.0,66933.0
2022-07-01,,,,,,,111118.39,743404.0,1289393.0,4946.532,33093.0,72475.0,,,,,,,0.0,0.0,0.0,5118.468,34244.0,74995.0
2022-08-01,,,,,,,111696.78,747273.0,1296104.0,4299.289,28763.0,61693.0,,,,,,,0.0,0.0,0.0,6223.711,41638.0,89308.0
2022-09-01,,,,,,,94153.68,629907.0,1092538.0,71.531,479.0,1669.0,,,,,,,0.0,0.0,0.0,29.469,197.0,688.0
2022-10-01,,,,,,,72768.297,486834.0,844388.0,3152.59,21091.0,47842.0,,,,,,,0.0,0.0,0.0,4575.41,30610.0,69434.0
2022-11-01,,,,,,,68203.945,456298.0,791424.0,5312.551,35542.0,85622.0,,,,,,,0.0,0.0,0.0,7044.449,47129.0,113535.0
2022-12-01,,,,,,,75689.517,506378.0,878284.0,5156.5,34498.0,86598.0,,,,,,,0.0,0.0,0.0,5484.5,36692.0,92106.0
2023-01-01,,,,,,,72653.403,486066.0,710861.0,3304.855,22110.0,44726.0,,,,,,,0.0,0.0,0.0,6322.145,42296.0,85560.0
2023-02-01,,,,,,,68524.182,458440.0,670461.0,3470.425,23218.0,50493.0,,,,,,,0.0,0.0,0.0,6365.575,42587.0,92617.0
2023-03-01,,,,,,,67628.098,452445.0,661693.0,3414.687,22845.0,47131.0,,,,,,,0.0,0.0,0.0,5982.313,40023.0,82571.0
2023-04-01,,,,,,,65313.583,436961.0,639047.0,4195.154,28066.0,55494.0,,,,,,,0.0,0.0,0.0,7260.846,48576.0,96048.0
2023-05-01,,,,,,,93247.829,623846.0,912365.0,3948.453,26416.0,56248.0,,,,,,,0.0,0.0,0.0,7330.547,49043.0,104427.0
2023-06-01,,,,,,,107717.91,720654.0,1053944.0,4110.526,27500.0,61525.0,,,,,,,0.0,0.0,0.0,6866.474,45938.0,102775.0
2023-07-01,,,,,,,118133.88,790339.0,1155857.0,5719.408,38264.0,85523.0,,,,,,,0.0,0.0,0.0,5233.592,35014.0,78259.0
2023-08-01,,,,,,,130026.06,869900.0,1272213.0,3304.557,22108.0,47466.0,,,,,,,0.0,0.0,0.0,5861.443,39214.0,84192.0
2023-09-01,,,,,,,109538.63,732835.0,1071758.0,3611.226,24160.0,51171.0,,,,,,,0.0,0.0,0.0,6351.774,42495.0,90005.0
2023-10-01,,,,,,,80855.375,540938.0,791112.0,4283.454,28657.0,61602.0,,,,,,,0.0,0.0,0.0,6389.546,42747.0,91890.0
2023-11-01,,,,,,,74965.101,501531.0,733481.0,4458.206,29826.0,73429.0,,,,,,,0.0,0.0,0.0,6751.794,45171.0,111206.0
2023-12-01,,,,,,,79656.951,532921.0,779387.0,4706.065,31484.0,64109.0,,,,,,,0.0,0.0,0.0,7463.935,49935.0,101679.0
2024-01-01,,,,,,,75336.51,504016.0,700987.0,4205.435,28135.0,71078.0,,,,,,,0.0,0.0,0.0,6304.565,42179.0,106556.0
2024-02-01,,,,,,,52013.743,347982.0,483975.0,3401.689,22758.0,92242.0,,,,,,,0.0,0.0,0.0,3883.311,25980.0,105302.0
2024-03-01,,,,,,,59025.913,394895.0,549221.0,4531.628,30317.0,67693.0,,,,,,,0.0,0.0,0.0,7808.372,52240.0,116641.0
2024-04-01,,,,,,,55456.254,371013.0,516006.0,3870.779,25896.0,57354.0,,,,,,,0.0,0.0,0.0,6880.221,46030.0,101945.0
2024-05-01,,,,,,,74095.672,495715.0,689441.0,4037.449,27011.0,108271.0,,,,,,,0.0,0.0,0.0,7024.551,46996.0,188375.0
2024-06-01,,,,,,,83593.13,559254.0,777812.0,2939.944,19669.0,78842.0,,,,,,,0.0,0.0,0.0,4696.056,31418.0,125937.0
2024-07-01,,,,,,,90357.537,604510.0,840753.0,2907.505,19452.0,79614.0,,,,,,,0.0,0.0,0.0,4189.495,28029.0,114718.0
2024-08-01,,,,,,,102097.94,683055.0,949995.0,3593.483,24041.0,83847.0,,,,,,,0.0,0.0,0.0,4840.517,32384.0,112944.0
2024-09-01,,,,,,,84713.596,566751.0,788238.0,5681.993,38014.0,75941.0,,,,,,,0.0,0.0,0.0,6660.007,44557.0,89012.0
2024-10-01,,,,,,,73380.619,490931.0,682788.0,6100.126,40811.0,81668.0,,,,,,,0.0,0.0,0.0,6561.874,43900.0,87850.0
2024-11-01,,,,,,,58787.56,393300.0,547003.0,6218.677,41604.0,84336.0,,,,,,,0.0,0.0,0.0,6551.323,43830.0,88848.0
2024-12-01,,,,,,,63064.522,421914.0,586799.0,6712.184,44906.0,86014.0,,,,,,,0.0,0.0,0.0,6608.816,44214.0,84689.0
