measured_on,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2013-10-01,,,,0.0,0.0,0.0
2013-11-01,,,,16833.0,288922.0,288922.0
2013-12-01,,,,22247.0,233594.0,233594.0
2014-01-01,,,,12668.0,168731.0,168731.0
2014-02-01,,,,24306.0,323647.0,323647.0
2014-03-01,,,,13168.0,175276.0,175276.0
2014-04-01,,,,10114.0,134695.0,134695.0
2014-05-01,,,,979.0,13027.0,13027.0
2014-06-01,,,,18881.0,254759.0,254759.0
2014-07-01,,,,22240.0,296133.0,296133.0
2014-08-01,,,,5743.0,79298.0,79298.0
2014-09-01,,,,27159.0,361608.0,361608.0
2014-10-01,,,,30524.0,406262.0,406262.0
2014-11-01,,,,13326.0,177360.0,177360.0
2014-12-01,,,,23517.0,311434.0,311434.0
2015-01-01,,,,18916.0,248382.0,248382.0
2015-02-01,,,,30188.0,401864.0,401864.0
2015-03-01,,,,32693.0,435157.0,435157.0
2015-04-01,,,,8114.0,108024.0,108024.0
2015-05-01,,,,15675.0,206083.0,206083.0
2015-06-01,,,,31247.0,415938.0,415938.0
2015-07-01,,,,32276.0,431004.0,431004.0
2015-08-01,,,,27257.0,363824.0,363824.0
2015-09-01,,,,26846.0,357520.0,357520.0
2015-10-01,,,,25391.0,338256.0,338256.0
2015-11-01,,,,3418.0,58093.0,58093.0
2015-12-01,,,,3237.0,47764.0,47764.0
2016-01-01,,,,22456.0,303040.0,303040.0
2016-02-01,0.0,0.0,0.0,26179.0,351999.0,351999.0
2016-03-01,0.0,0.0,0.0,29380.0,366186.0,366186.0
2016-04-01,0.0,0.0,0.0,5760.0,75733.0,75733.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,9336.0,135790.0,135790.0
2016-07-01,0.0,0.0,0.0,29395.0,423071.0,423071.0
2016-08-01,0.0,0.0,0.0,27580.0,400699.0,400699.0
2016-09-01,0.0,0.0,0.0,28692.0,393303.0,393303.0
2016-10-01,0.0,0.0,0.0,1991.0,26111.0,26111.0
2016-11-01,0.0,0.0,0.0,19018.0,248530.0,248530.0
2016-12-01,0.0,0.0,0.0,8943.0,103767.0,103767.0
2017-01-01,39.65,547.0,547.0,5229.35,72104.0,72104.0
2017-02-01,15.781,219.0,219.0,21445.219,297167.0,297167.0
2017-03-01,49.069,656.0,656.0,17700.931,236658.0,236658.0
2017-04-01,0.0,0.0,0.0,15806.0,205463.0,205463.0
2017-05-01,31.079,422.0,422.0,21438.921,291414.0,291414.0
2017-06-01,0.0,0.0,0.0,24642.0,330879.0,330879.0
2017-07-01,12.413,164.0,164.0,20060.587,265054.0,265054.0
2017-08-01,0.0,0.0,0.0,29787.0,414626.0,414626.0
2017-09-01,1.093,15.0,15.0,30083.907,410423.0,410423.0
2017-10-01,0.0,0.0,0.0,1597.0,19412.0,19412.0
2017-11-01,16.971,249.0,249.0,12555.029,183836.0,183836.0
2017-12-01,45.338,621.0,621.0,13164.662,180392.0,180392.0
2018-01-01,0.0,0.0,0.0,31724.0,471022.0,471022.0
2018-02-01,0.0,0.0,0.0,27772.0,378820.0,378820.0
2018-03-01,6.033,89.0,89.0,30254.967,448605.0,448605.0
2018-04-01,31.013,462.0,462.0,11806.987,175967.0,175967.0
2018-05-01,16.358,249.0,249.0,25053.642,380610.0,380610.0
2018-06-01,8.983,134.0,134.0,28194.017,421186.0,421186.0
2018-07-01,9.557,139.0,139.0,17538.443,255367.0,255367.0
2018-08-01,11.118,164.0,164.0,26238.882,387063.0,387063.0
2018-09-01,0.0,0.0,0.0,30935.0,437870.0,437870.0
2018-10-01,0.0,0.0,0.0,11251.0,152460.0,152460.0
2018-11-01,38.252,477.0,477.0,14803.748,184648.0,184648.0
2018-12-01,11.866,174.0,174.0,4585.134,67215.0,67215.0
2019-01-01,18.204,249.0,249.0,13844.796,188996.0,188996.0
2019-02-01,17.787,234.0,234.0,5616.213,73757.0,73757.0
2019-03-01,0.0,0.0,0.0,32112.0,421602.0,421602.0
2019-04-01,0.0,0.0,0.0,2014.0,26034.0,26034.0
2019-05-01,35.032,482.0,482.0,5962.968,82059.0,82059.0
2019-06-01,0.0,0.0,0.0,32461.0,450259.0,450259.0
2019-07-01,0.0,0.0,0.0,33184.0,473323.0,473323.0
2019-08-01,0.0,0.0,0.0,32956.0,449531.0,449531.0
2019-09-01,0.0,0.0,0.0,31968.0,429429.0,429429.0
2019-10-01,0.0,0.0,0.0,8025.0,106219.0,106219.0
2019-11-01,36.421,492.0,492.0,8314.579,112326.0,112326.0
2019-12-01,0.0,368.0,368.0,0.0,1574.0,1574.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,31.82,452.0,452.0,17833.18,253474.0,253474.0
2020-03-01,46.864,651.0,651.0,22904.136,318201.0,318201.0
2020-04-01,0.0,0.0,0.0,10067.0,138515.0,138515.0
2020-05-01,14.263,209.0,209.0,2469.737,36145.0,36145.0
2020-06-01,22.803,368.0,368.0,5752.197,92773.0,92773.0
2020-07-01,0.0,0.0,0.0,32062.0,460961.0,460961.0
2020-08-01,9.252,124.0,124.0,30850.748,414307.0,414307.0
2020-09-01,0.0,0.0,0.0,31700.0,432510.0,432510.0
2020-10-01,0.0,0.0,0.0,21692.0,298967.0,298967.0
2020-11-01,17.168,239.0,239.0,2798.832,38893.0,38893.0
2020-12-01,14.497,209.0,209.0,3627.503,52234.0,52234.0
2021-01-01,16.91,224.0,224.0,17410.09,230264.0,230264.0
2021-02-01,14.957,224.0,224.0,16465.043,246193.0,246193.0
2021-03-01,16.322,224.0,224.0,8064.678,110508.0,110508.0
2021-04-01,0.0,0.0,0.0,1604.0,21080.0,21080.0
2021-05-01,34.525,487.0,487.0,24629.475,347462.0,347462.0
2021-06-01,10.048,154.0,154.0,22193.952,340316.0,340316.0
2021-07-01,5.868,89.0,89.0,30393.132,463329.0,463329.0
2021-08-01,0.0,0.0,0.0,31589.0,485803.0,485803.0
2021-09-01,10.664,169.0,169.0,27305.336,432662.0,432662.0
2021-10-01,0.0,0.0,0.0,7730.0,114684.0,114684.0
2021-11-01,21.902,328.0,328.0,29973.098,448890.0,448890.0
2021-12-01,18.047,273.0,273.0,27304.953,413584.0,413584.0
2022-01-01,15.902,244.0,244.0,31709.098,485596.0,485596.0
2022-02-01,0.0,0.0,0.0,30366.0,462575.0,462575.0
2022-03-01,0.0,0.0,0.0,33511.0,506310.0,506310.0
2022-04-01,0.0,0.0,0.0,25726.0,412821.0,412821.0
2022-05-01,14.156,214.0,214.0,25086.844,378728.0,378728.0
2022-06-01,2.003,30.0,30.0,32589.997,485072.0,485072.0
2022-07-01,0.0,0.0,0.0,33586.0,514920.0,514920.0
2022-08-01,1.972,30.0,30.0,33723.028,509920.0,509920.0
2022-09-01,0.0,0.0,0.0,31893.0,465390.0,465390.0
2022-10-01,1.847,30.0,30.0,25091.153,405074.0,405074.0
2022-11-01,16.654,278.0,278.0,11828.346,197671.0,197671.0
2022-12-01,23.28,348.0,348.0,32773.72,489780.0,489780.0
2023-01-01,4.406,60.0,60.0,32555.594,440686.0,440686.0
2023-02-01,0.0,0.0,0.0,7618.0,107112.0,107112.0
2023-03-01,15.599,229.0,229.0,24674.401,361632.0,361632.0
2023-04-01,4.35,65.0,65.0,21895.65,325240.0,325240.0
2023-05-01,16.48,244.0,244.0,24016.52,354897.0,354897.0
2023-06-01,4.497,65.0,65.0,28215.503,405353.0,405353.0
2023-07-01,5.12,75.0,75.0,7911.88,115190.0,115190.0
2023-08-01,0.0,0.0,0.0,33166.0,424655.0,424655.0
2023-09-01,0.0,0.0,0.0,31710.0,489188.0,489188.0
2023-10-01,17.316,258.0,258.0,20309.684,303117.0,303117.0
2023-11-01,0.0,0.0,0.0,32631.0,451038.0,451038.0
2023-12-01,0.0,0.0,0.0,33647.0,512127.0,512127.0
2024-01-01,0.0,0.0,0.0,32528.0,474170.0,474170.0
2024-02-01,10.418,159.0,159.0,29725.582,453791.0,453791.0
2024-03-01,0.0,0.0,0.0,31245.0,478661.0,478661.0
2024-04-01,0.0,0.0,0.0,15125.0,220069.0,220069.0
2024-05-01,11.3,169.0,169.0,21615.7,323252.0,323252.0
2024-06-01,0.0,0.0,0.0,32220.0,430916.0,430916.0
2024-07-01,0.0,0.0,0.0,33711.0,446974.0,446974.0
2024-08-01,0.0,0.0,0.0,33711.0,469559.0,469559.0
2024-09-01,0.0,0.0,0.0,32594.0,461266.0,461266.0
2024-10-01,0.0,0.0,0.0,25154.0,367104.0,367104.0
2024-11-01,17.852,258.0,258.0,30307.148,438761.0,438761.0
2024-12-01,0.0,0.0,0.0,33666.0,464429.0,464429.0
