measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Solar-Other Generation,Solar-Other Quantity Consumed For Electricity,Solar-Other Total Fuel Consumed,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,0.0,0.0,0.0,,,,248.0,6148.0,6148.0,683.0,8910.0,8910.0,,,,1701.0,22104.0,22104.0,,,,,,,,,
2004-02-01,0.0,0.0,0.0,,,,246.0,7386.0,7386.0,2742.0,39774.0,39774.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-03-01,0.0,0.0,0.0,,,,71.0,1630.0,1630.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-04-01,0.0,0.0,0.0,,,,186.0,4344.0,4344.0,2288.0,32592.0,32592.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-05-01,0.0,0.0,0.0,,,,429.0,7374.0,7374.0,9616.0,130183.0,130183.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-06-01,0.0,0.0,0.0,,,,257.0,4527.0,4527.0,196.0,3741.0,3741.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-07-01,0.0,0.0,0.0,,,,2173.0,35294.0,35294.0,22347.0,280869.0,280869.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-08-01,0.0,0.0,0.0,,,,852.0,17736.0,17736.0,5989.0,78264.0,78264.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,5612.0,72162.0,72162.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-10-01,0.0,0.0,0.0,,,,341.0,7322.0,7322.0,5420.0,72376.0,72376.0,,,,0.0,0.0,0.0,,,,,,,,,
2004-11-01,0.0,0.0,0.0,,,,957.0,16071.0,16071.0,1881.0,30618.0,30618.0,,,,330.0,5435.0,5435.0,,,,,,,,,
2004-12-01,0.0,0.0,0.0,,,,1089.0,25560.0,25560.0,2083.0,25700.0,25700.0,,,,1454.0,17184.0,17184.0,,,,,,,,,
2005-01-01,0.0,0.0,0.0,,,,1115.0,20685.06,20685.06,1364.0,18373.08,18373.08,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,,,,113.0,2488.32,2488.32,204.0,3420.16,3420.16,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,,,,57.0,1858.87,1858.87,2497.0,32905.08,32905.08,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,,,,535.0,8357.64,8357.64,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,,,,1602.0,23477.22,23477.22,7531.0,97523.92,97523.92,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,,,,830.0,14152.06,14152.06,7905.0,97380.14,97380.14,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
