measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,18391.2,90866.0,526977.0,,,,,,,,,,,,,,,,,,
2003-02-01,,,,15455.01,73493.0,461528.0,,,,,,,,,,,,,,,,,,
2003-03-01,,,,15581.11,76774.0,468944.0,,,,,,,,,,,,,,,,,,
2003-04-01,,,,15380.32,78102.0,443558.0,,,,,,,,,,,,,,,,,,
2003-05-01,,,,16451.2,85725.0,506022.0,,,,,,,,,,,,,,,,,,
2003-06-01,,,,15860.47,86608.0,471352.0,,,,,,,,,,,,,,,,,,
2003-07-01,16697.58,88575.0,480585.0,12198.72,39983.0,565484.0,,,,,,,,,,,,,,,,,,
2003-08-01,16317.34,82697.0,477070.0,13607.16,40839.0,609092.0,,,,,,,,,,,,,,,,,,
2003-09-01,16277.57,82599.0,471770.0,14538.36,41674.0,682145.0,,,,,,,,,,,,,,,,,,
2003-10-01,17499.77,89392.0,503389.0,17312.56,64223.0,588382.0,,,,,,,,,,,,,,,,,,
2003-11-01,17412.47,86532.0,498758.0,18340.76,63935.0,636959.0,,,,,,,,,,,,,,,,,,
2003-12-01,18594.9,97072.0,544170.0,20949.09,83935.0,665689.0,,,,,,,,,,,,,,,,,,
2004-01-01,11811.984,53313.49,406272.04,9761.204,44057.28,338357.37,,,,,,,,,,,,,,,,,,
2004-02-01,11410.099,51499.58,392449.22,11379.076000000001,51359.56,394438.46,,,,,,,,,,,,,,,,,,
2004-03-01,12180.583,54977.17,418949.96,12278.647,55419.78,425620.75,,,,,,,,,,,,,,,,,,
2004-04-01,12776.894,57668.62,439460.0,12766.625,57622.27,442535.77,,,,,,,,,,,,,,,,,,
2004-05-01,13775.383,62175.31,473802.95,15486.979,69900.62,536832.72,,,,,,,,,,,,,,,,,,
