measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,56187.0,692534.0,692534.0
2003-02-01,,,,10406.0,115716.0,115716.0,0.0,0.0,0.0,,,,,,,49708.0,601255.0,601255.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,63300.0,754283.0,754283.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,65399.0,749352.0,749352.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,58890.0,681198.0,681198.0
2003-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,67206.0,781760.0,781760.0
2003-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,104725.0,1152303.0,1152303.0
2003-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,103115.0,1155379.0,1155379.0
2003-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,67436.0,784762.0,784762.0
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,66839.0,771649.0,771649.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,20250.0,261966.0,261966.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,45774.0,586589.0,586589.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,59459.0,727771.0,727771.0
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,53044.0,618811.0,618811.0
2004-03-01,,,,0.0,0.0,0.0,4.0,135.0,135.0,,,,,,,38934.0,499660.0,499660.0
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,38004.0,502900.0,502900.0
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,54520.0,667254.0,667254.0
2004-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,59593.0,708653.0,708653.0
