measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,0.0,0.0,0.0
2024-02-01,521.0,1778.0,1778.0
2024-03-01,212.0,723.0,723.0
2024-04-01,692.0,2361.0,2361.0
2024-05-01,952.0,3248.0,3248.0
2024-06-01,668.0,2279.0,2279.0
2024-07-01,291.0,993.0,993.0
2024-08-01,922.0,3146.0,3146.0
2024-09-01,871.0,2972.0,2972.0
2024-10-01,397.0,1355.0,1355.0
2024-11-01,475.0,1621.0,1621.0
2024-12-01,261.0,891.0,891.0
