measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,25349.0,228141.0,855236.0,,,,,,,,,,,,,,,,,,
2001-02-01,16325.0,146925.0,562375.0,,,,,,,,,,,,,,,,,,
2001-03-01,30156.0,271405.0,882987.0,,,,,,,,,,,,,,,,,,
2001-04-01,20860.0,187740.0,706364.0,,,,,,,,,,,,,,,,,,
2001-05-01,28143.0,253287.0,908144.0,,,,,,,,,,,,,,,,,,
2001-06-01,27128.0,244152.0,874834.0,,,,,,,,,,,,,,,,,,
2001-07-01,27523.0,247707.0,895718.0,,,,,,,,,,,,,,,,,,
2001-08-01,28919.0,260271.0,860228.0,,,,,,,,,,,,,,,,,,
2001-09-01,23109.0,207981.0,742377.0,,,,,,,,,,,,,,,,,,
2001-10-01,25706.0,231354.0,849851.0,,,,,,,,,,,,,,,,,,
2001-11-01,28431.0,255879.0,851050.0,,,,,,,,,,,,,,,,,,
2001-12-01,27421.0,246790.0,873417.0,,,,,,,,,,,,,,,,,,
2002-01-01,26804.0,233987.0,985182.0,,,,,,,,,,,,,,,,,,
2002-02-01,20878.0,182256.0,803114.0,,,,,,,,,,,,,,,,,,
2002-03-01,24336.0,212443.0,890958.0,,,,,,,,,,,,,,,,,,
2002-04-01,29459.0,257164.0,1004722.0,,,,,,,,,,,,,,,,,,
2002-05-01,22673.0,197925.0,900300.0,,,,,,,,,,,,,,,,,,
2002-06-01,26329.0,229841.0,967663.0,,,,,,,,,,,,,,,,,,
2002-07-01,26956.0,235314.0,921088.0,,,,,,,,,,,,,,,,,,
2002-08-01,25626.0,223704.0,950608.0,,,,,,,,,,,,,,,,,,
2002-09-01,25531.0,222874.0,935090.0,,,,,,,,,,,,,,,,,,
2002-10-01,25189.0,219889.0,805141.0,,,,,,,,,,,,,,,,,,
2002-11-01,24356.0,212617.0,972044.0,,,,,,,,,,,,,,,,,,
2002-12-01,27078.0,236379.0,988653.0,,,,,,,,,,,,,,,,,,
2004-01-01,13778.72203,70258.85,539055.25,,,,,,,,,,7099.50397,36200.96,277748.9,,,,,,
2004-02-01,11998.812,61182.95,469421.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-03-01,10735.961,54743.56,420015.5,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-04-01,8875.493,45256.88,347229.75,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-05-01,10286.946,52454.0,402449.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-06-01,11440.422,58335.67,447575.5,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-07-01,12069.804,61544.94,472198.5,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-08-01,12840.573,65475.16,502352.75,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-09-01,11633.011,59317.7,455110.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-10-01,11926.407,60813.74,466588.5,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-11-01,12675.996,64635.96,495914.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
2004-12-01,13132.28767,66962.63,513765.25,,,,,,,,,,139951.37333,713623.77,5475219.1,,,,,,
2005-01-01,81.52420000000001,415.7,415.7,1195.55254,6096.22,6096.22,,,,18921.732,189198.0,189198.0,133.21125999999998,679.26,679.26,,,,,,
2005-02-01,74.03898,377.53,377.53,1059.88698,5404.45,5404.45,,,,16709.472999999998,167078.0,167078.0,111.45904,568.34,568.34,,,,,,
2005-03-01,79.34277999999999,404.58,404.58,1264.7899400000001,6449.27,6449.27,,,,19628.797,196268.0,196268.0,118.83828,605.97,605.97,,,,,,
2005-04-01,65.27067,332.82,332.82,1296.72057,6612.09,6612.09,,,,19722.769,197208.0,197208.0,107.98976,550.65,550.65,,,,,,
2005-05-01,62.01996,316.25,316.25,1051.94989,5363.98,5363.98,,,,16227.108,162255.0,162255.0,95.48915,486.91,486.91,,,,,,
2005-06-01,79.47108999999999,405.23,405.23,1789.6785399999999,9125.72,9125.72,,,,26631.516,266289.0,266289.0,115.69936,589.96,589.96,,,,,,
2005-07-01,88.70994999999999,452.34,452.34,2306.25364,11759.78,11759.78,,,,33696.708,336933.0,336933.0,116.52542,594.17,594.17,,,,,,
2005-08-01,87.85448,447.98,447.98,2465.72831,12572.96,12572.96,,,,35737.387,357338.0,357338.0,109.97221,560.76,560.76,,,,,,
