measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,28.192,325.0,325.0,114.15700000000001,1179.58,1179.58,257.80400000000003,2974.0,2974.0
2001-02-01,23.872,275.0,275.0,96.66600000000001,998.85,998.85,218.30200000000002,2519.0,2519.0
2001-03-01,24.443,282.0,282.0,98.979,1022.75,1022.75,223.526,2579.0,2579.0
2001-04-01,23.983,276.0,276.0,97.113,1003.47,1003.47,219.31400000000002,2530.0,2530.0
2001-05-01,24.345,280.0,280.0,98.58200000000001,1018.65,1018.65,222.63,2568.0,2568.0
2001-06-01,25.442,293.0,293.0,103.024,1064.55,1064.55,232.662,2684.0,2684.0
2001-07-01,29.173000000000002,336.0,336.0,118.131,1220.65,1220.65,266.779,3078.0,3078.0
2001-08-01,29.465,339.0,339.0,119.31400000000001,1232.87,1232.87,269.45,3109.0,3109.0
2001-09-01,23.001,265.0,265.0,93.14,962.42,962.42,210.341,2427.0,2427.0
2001-10-01,24.375,281.0,281.0,98.703,1019.9,1019.9,222.90400000000002,2572.0,2572.0
2001-11-01,23.233,268.0,268.0,94.07900000000001,972.12,972.12,212.461,2451.0,2451.0
2001-12-01,24.476000000000003,282.0,282.0,99.111,1024.11,1024.11,223.82600000000002,2582.0,2582.0
2002-01-01,20.016000000000002,224.0,224.0,154.26600000000002,1569.35,1569.35,145.234,1634.0,1634.0
2002-02-01,17.609,197.0,197.0,135.716,1380.64,1380.64,127.771,1438.0,1438.0
2002-03-01,18.702,209.0,209.0,144.144,1466.38,1466.38,135.70600000000002,1527.0,1527.0
2002-04-01,18.028000000000002,201.0,201.0,138.948,1413.52,1413.52,130.81300000000002,1472.0,1472.0
2002-05-01,19.159000000000002,214.0,214.0,147.666,1502.21,1502.21,139.02100000000002,1564.0,1564.0
2002-06-01,21.587,241.0,241.0,166.374,1692.52,1692.52,156.63400000000001,1763.0,1763.0
2002-07-01,25.014000000000003,280.0,280.0,192.788,1961.23,1961.23,181.502,2042.0,2042.0
2002-08-01,23.216,259.0,259.0,178.935,1820.31,1820.31,168.459,1896.0,1896.0
2002-09-01,21.242,237.0,237.0,163.722,1665.54,1665.54,154.137,1734.0,1734.0
2002-10-01,20.44,228.0,228.0,157.536,1602.61,1602.61,148.31300000000002,1669.0,1669.0
