measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,12212.0,135928.0,138839.0,126.0,1400.0,1430.0,,,,,,,,,,13604.0,151422.0,154665.0,,,
2003-02-01,10999.0,123691.0,126378.0,124.0,1400.0,1430.0,,,,,,,,,,11435.0,128589.0,131383.0,,,
2003-03-01,12748.0,142748.0,145777.0,125.0,1400.0,1430.0,,,,,,,,,,13046.0,146085.0,149183.0,,,
2003-04-01,10407.0,120589.0,122969.0,56.0,645.0,658.0,,,,,,,,,,10273.0,119032.0,121381.0,,,
2003-05-01,8235.0,93105.0,95132.0,229.0,2586.0,2643.0,,,,,,,,,,10199.0,115315.0,117823.0,,,
2003-06-01,12205.0,140651.0,143432.0,56.0,650.0,663.0,,,,,,,,,,12571.0,144868.0,147732.0,,,
2003-07-01,12310.0,142946.0,145796.0,148.0,1716.0,1750.0,,,,,,,,,,12329.0,143169.0,146024.0,,,
2003-08-01,11940.0,131950.0,134640.0,58.0,644.0,658.0,,,,,,,,,,13759.0,152050.0,155150.0,,,
2003-09-01,11450.0,131947.0,134640.0,41.0,470.0,480.0,,,,,,,,,,13194.0,152048.0,155150.0,,,
2003-10-01,12291.0,141824.0,144742.0,52.0,605.0,618.0,,,,,,,,,,13298.0,153443.0,156600.0,,,
2003-11-01,11672.0,138229.0,140970.0,1.0,8.0,8.0,,,,,,,,,,13568.0,160684.0,163870.0,,,
2003-12-01,11510.0,132258.0,134837.0,54.0,615.0,628.0,,,,,,,,,,14325.0,164598.0,167808.0,,,
2004-01-01,11080.36183,122670.8,137300.0,0.40351,4.47,5.0,,,,,,,,,,13882.23266,153690.34,172018.8,,,
2004-02-01,11314.9643,125268.08,143529.67,0.39416999999999996,4.36,5.0,,,,,,,,,,11553.22553,127905.87,146552.0,,,
2004-03-01,11255.74805,124612.5,137569.74,0.20454999999999998,2.26,2.5,,,,,,,,,,13490.9784,149358.75,164889.12,,,
2004-04-01,5368.51972,59434.93,64648.8,17.02346,188.47,205.0,,,,,,,,,,7346.11482,81328.91,88463.4,,,
2004-05-01,93.46135,1034.71,2989.64,89.95564999999999,995.9,2877.5,,,,,,,,,,0.0,0.0,0.0,,,
2004-06-01,9388.69851,103942.37,113442.56,29.58731,327.56,357.5,,,,,,,,,,13450.29819,148908.38,162518.4,,,
2004-07-01,11528.55557,127632.75,139200.08,0.0,0.0,0.0,,,,,,,,,,13681.24043,151465.14,165192.4,,,
2004-08-01,9994.50233,110649.23,119479.77,0.0,0.0,0.0,,,,,,,,,,15440.96367,170947.06,184589.76,,,
2004-09-01,10248.75985,113464.12,119518.25,0.0,0.0,0.0,,,,,,,,,,14396.38015,159382.46,167886.67,,,
2004-10-01,10654.28291,117953.67,129533.01,0.0,0.0,0.0,,,,,,,,,,14745.65209,163249.26,179275.2,,,
2004-11-01,11320.04725,125324.35,134133.27,28.06102,310.66,332.5,,,,,,,,,,12499.02173,138376.79,148103.15,,,
2004-12-01,10354.66652,114636.62,126101.7,0.0,0.0,0.0,,,,,,,,,,14473.88948,160240.58,176266.62,,,
2005-01-01,10083.44187,111633.88,127267.14,55.06521,609.63,695.0,,,,,,,,,,14663.16092,162336.0,185069.6,,,
2005-02-01,9212.59496,101992.73,115867.0,0.0,0.0,0.0,,,,,,,,,,13360.21704,147911.09,168031.73,,,
2005-03-01,9764.33112,108101.0,121150.08,0.40298,4.46,5.0,,,,,,,,,,15409.530900000002,170599.06,191192.4,,,
2005-04-01,8648.08234,95743.0,105988.96,52.628249999999994,582.65,645.0,,,,,,,,,,15312.55141,169525.41,187667.2,,,
2005-05-01,7847.22998,86876.76,98324.6,222.06973,2458.54,2782.5,,,,,,,,,,6702.99529,74208.93,83987.51,,,
2005-06-01,9441.20788,104523.71,108618.42,0.43460000000000004,4.81,5.0,,,,,,,,,,14841.46351,164309.99,170746.83,,,
2005-07-01,12026.07913,118227.5,118227.5,155.88560999999999,1532.5,1532.5,,,,,,,,,,12160.67926,119550.74,119550.74,,,
2005-08-01,11512.2628,125723.0,125723.0,5.49411,60.0,60.0,,,,,,,,,,17074.2141,186463.9,186463.9,,,
2005-09-01,7713.15895,85392.46,93086.25,4.97162,55.04,60.0,,,,,,,,,,16786.80443,185846.88,202591.53,,,
2005-10-01,10384.45362,114966.39,134389.25,3.28404,36.36,42.5,,,,,,,,,,14887.35834,164818.09,192663.09,,,
2005-11-01,10681.49965,118254.99,138123.0,2.1266599999999998,23.54,27.5,,,,,,,,,,13842.43568,153249.74,178997.22,,,
2005-12-01,9897.38411,109574.03,121668.75,3.2538799999999997,36.02,40.0,,,,,,,,,,15503.13801,171635.39,190580.4,,,
2006-01-01,10811.48134,119694.02,141908.25,0.0,0.0,0.0,,,,,,,,,,14343.57666,158797.88,188269.47,,,
2006-02-01,11311.14806,125225.83,147058.25,1.9229,21.29,25.0,,,,,,,,,,11053.27604,122370.92,143705.61,,,
2006-03-01,11292.94822,125024.34,141985.5,34.59813,383.04,435.0,,,,,,,,,,13385.77465,148194.04,168298.47,,,
2006-04-01,10500.03306,116245.97,131376.5,0.0,0.0,0.0,,,,,,,,,,13571.80694,150253.61,169810.56,,,
2006-05-01,5301.84329,58696.76,66100.25,161.22034,1784.87,2010.0,,,,,,,,,,5336.47037,59080.11,66531.96,,,
2006-06-01,10684.19412,118284.82,132535.25,25.3934,281.13,315.0,,,,,,,,,,13489.01248,149336.99,167328.45,,,
2006-07-01,9126.53418,101039.95,113197.0,110.255,1220.63,1367.5,,,,,,,,,,14520.07182,160751.86,180093.4,,,
2006-08-01,10224.12563,113191.4,126149.25,0.0,0.0,0.0,,,,,,,,,,14831.06137,164194.83,182991.42,,,
2006-09-01,10252.80369,113508.89,131299.25,0.0,0.0,0.0,,,,,,,,,,13964.04231,154596.05,178826.04,,,
2006-10-01,11002.08489,121804.19,134286.25,72.30331,800.47,882.5,,,,,,,,,,11748.1018,130063.35,143391.78,,,
2006-11-01,13970.92917,154672.3,170954.25,0.0,0.0,0.0,,,,,,,,,,10517.68083,116441.35,128698.83,,,
2006-12-01,12094.04666,133893.31,150071.0,0.20146999999999998,2.23,2.5,,,,,,,,,,13213.49887,146286.77,163961.91,,,
2007-01-01,11782.724,130450.0,149015.0,123.35,1365.0,1560.0,,,,,,,,,,12894.633,142764.0,163077.0,,,
2007-02-01,11057.373,122416.0,139436.0,43.814,485.0,553.0,,,,,,,,,,11610.868,128556.0,146416.0,,,
2007-03-01,12806.548,141780.0,161375.0,56.742000000000004,628.0,715.0,,,,,,,,,,12006.559000000001,132921.0,151295.0,,,
2007-04-01,11547.819,127849.0,142578.0,88.283,978.0,1090.0,,,,,,,,,,11971.914,132550.0,147814.0,,,
2007-05-01,5508.87,60976.0,70478.0,66.44,735.0,850.0,,,,,,,,,,5517.115000000001,61083.0,70583.0,,,
2007-06-01,11620.706,128647.0,143943.0,0.605,8.0,8.0,,,,,,,,,,12757.824,141252.0,158028.0,,,
2007-07-01,12297.868,136140.0,149839.0,0.8210000000000001,10.0,10.0,,,,,,,,,,12808.355,141794.0,156059.0,,,
2007-08-01,10600.887,117369.0,133591.0,0.0,0.0,0.0,,,,,,,,,,14511.918000000001,160652.0,182877.0,,,
2007-09-01,10445.243,115643.0,129754.0,0.0,0.0,0.0,,,,,,,,,,13881.077000000001,153691.0,172435.0,,,
2007-10-01,13358.253,125016.0,125016.0,0.0,0.0,0.0,,,,,,,,,,11904.359,111410.0,111410.0,,,
2007-11-01,10470.784,115927.0,129857.0,0.605,8.0,8.0,,,,,,,,,,14048.912,155546.0,174233.0,,,
2007-12-01,12134.441,134338.0,154114.0,0.197,3.0,3.0,,,,,,,,,,13215.361,146302.0,167842.0,,,
2008-01-01,12253.312,142550.0,143304.0,46.173,537.0,540.0,,,,,,,,,,13619.516,158443.0,159282.0,0.0,0.0,0.0
2008-02-01,11080.519,129098.0,131218.0,76.632,893.0,908.0,,,,,,,,,,13195.849,153743.0,156268.0,0.0,0.0,0.0
2008-03-01,13246.462,154477.0,155177.0,66.37,774.0,778.0,,,,,,,,,,12825.168,149564.0,150242.0,,,
2008-04-01,11596.696,135036.0,135118.0,0.644,7.0,8.0,,,,,,,,,,13741.66,160012.0,160109.0,,,
2008-05-01,6429.6720000000005,74417.0,76539.0,195.942,2268.0,2333.0,,,,,,,,,,7372.386,85328.0,87761.0,,,
2008-06-01,11573.983,134823.0,135642.0,0.21300000000000002,2.0,3.0,,,,,,,,,,13706.804,159667.0,160637.0,,,
2008-07-01,12388.653,147747.0,147747.0,128.291,1530.0,1530.0,,,,,,,,,,11342.056,135265.0,135265.0,,,
2008-08-01,16103.582,187820.0,195011.0,23.948,279.0,290.0,,,,,,,,,,9808.471000000001,114399.0,118779.0,,,
2008-09-01,13973.470000000001,162852.0,165439.0,78.339,913.0,928.0,,,,,,,,,,10529.191,122711.0,124660.0,,,
2008-10-01,12208.719000000001,146689.0,146689.0,59.925000000000004,720.0,720.0,,,,,,,,,,11192.356,134477.0,134477.0,,,
2008-11-01,11327.630000000001,132282.0,133188.0,27.003,315.0,318.0,,,,,,,,,,13936.367,162746.0,163861.0,,,
2008-12-01,11158.957,128998.0,128998.0,0.865,10.0,10.0,,,,,,,,,,15312.177,177009.0,177009.0,,,
2009-01-01,13533.641,159530.0,160189.0,102.016,1203.0,1208.0,,,,,,,,,,10640.343,125425.0,125943.0,0.0,0.0,0.0
2009-02-01,11305.876,140211.0,140211.0,53.017,658.0,658.0,,,,,,,,,,9618.107,119280.0,119280.0,0.0,0.0,0.0
2009-03-01,13501.734,157851.0,158830.0,0.638,7.0,8.0,,,,,,,,,,12863.628,150391.0,151323.0,0.0,0.0,0.0
2009-04-01,14328.172999999999,167557.0,168431.0,1.9140000000000001,22.0,23.0,,,,,,,,,,11068.913,129443.0,130118.0,0.0,0.0,0.0
2009-05-01,8493.368,102159.0,102159.0,240.479,2893.0,2893.0,,,,,,,,,,4239.153,50989.0,50989.0,0.0,0.0,0.0
2009-06-01,13627.211,159225.0,167169.0,1.223,14.0,15.0,,,,,,,,,,11626.566,135849.0,142627.0,0.0,0.0,0.0
2009-07-01,12442.701000000001,145142.0,147890.0,1.052,12.0,13.0,,,,,,,,,,13525.247,157769.0,160757.0,0.0,0.0,0.0
2009-08-01,12279.936,143389.0,146657.0,37.052,433.0,443.0,,,,,,,,,,13530.012,157985.0,161586.0,0.0,0.0,0.0
2009-09-01,12188.097,142482.0,145583.0,0.8370000000000001,10.0,10.0,,,,,,,,,,13075.066,152851.0,156178.0,0.0,0.0,0.0
2009-10-01,12552.377,147952.0,147952.0,89.931,1060.0,1060.0,,,,,,,,,,11079.692,130594.0,130594.0,0.0,0.0,0.0
2009-11-01,15046.063,176465.0,177350.0,2.121,25.0,25.0,,,,,,,,,,10628.816,124658.0,125283.0,0.0,0.0,0.0
2009-12-01,14881.983,174614.0,174979.0,31.894000000000002,374.0,375.0,,,,,,,,,,11497.123,134899.0,135181.0,0.0,0.0,0.0
2010-01-01,23364.586,274149.0,286196.0,0.40800000000000003,5.0,5.0,,,,,,,,,,2981.0060000000003,34978.0,36515.0,0.0,0.0,0.0
2010-02-01,23318.600000000002,272936.0,286812.0,32.521,381.0,400.0,,,,,,,,,,167.87900000000002,1965.0,2065.0,0.0,0.0,0.0
2010-03-01,26330.794,309119.0,320037.0,0.20600000000000002,2.0,3.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,25401.372,297971.0,312014.0,1.6280000000000001,19.0,20.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,5480.197,64795.0,67091.0,174.803,2067.0,2140.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,23229.892,277542.0,281561.0,1.6500000000000001,20.0,20.0,,,,,,,,,,2157.458,25776.0,26150.0,0.0,0.0,0.0
2010-07-01,22866.687,271818.0,271818.0,55.733000000000004,663.0,663.0,,,,,,,,,,2852.58,33909.0,33909.0,0.0,0.0,0.0
2010-08-01,24620.185,294658.0,295361.0,0.0,0.0,0.0,,,,,,,,,,1555.815,18620.0,18665.0,0.0,0.0,0.0
2010-09-01,21595.193,254787.0,254787.0,161.67600000000002,1908.0,1908.0,,,,,,,,,,590.131,6963.0,6963.0,0.0,0.0,0.0
2010-10-01,25683.972,306971.0,316004.0,0.0,0.0,0.0,,,,,,,,,,469.028,5606.0,5771.0,0.0,0.0,0.0
2010-11-01,20296.367,234072.0,234072.0,81.724,943.0,943.0,,,,,,,,,,2493.909,28761.0,28761.0,0.0,0.0,0.0
2010-12-01,25342.464,303823.0,310512.0,0.0,0.0,0.0,,,,,,,,,,883.5360000000001,10592.0,10826.0,0.0,0.0,0.0
2011-01-01,26180.0,313395.0,316604.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,19596.31,230153.0,230153.0,,,,100.258,1178.0,1178.0,1675.432,19677.0,19677.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,22005.741,253582.0,253582.0,,,,82.658,953.0,953.0,1707.601,19677.0,19677.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
