measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,27272.0,360175.0,360175.0,0.0,0.0,0.0,36.0,482.0,482.0,,,
2003-02-01,28590.0,378503.0,378503.0,0.0,0.0,0.0,32.0,415.0,415.0,,,
2003-03-01,28895.0,382504.0,382504.0,0.0,0.0,0.0,27.0,364.0,364.0,,,
2003-04-01,27047.0,355597.0,355597.0,0.0,0.0,0.0,87.0,1146.0,1146.0,,,
2003-05-01,32441.0,405581.0,405581.0,0.0,0.0,0.0,33.0,419.0,419.0,,,
2003-06-01,28499.0,383788.0,383788.0,0.0,0.0,0.0,24.0,323.0,323.0,,,
2003-07-01,24132.0,331700.0,331700.0,0.0,0.0,0.0,162.0,2232.0,2232.0,,,
2003-08-01,31244.0,424818.0,424818.0,0.0,0.0,0.0,12.0,160.0,160.0,,,
2003-09-01,25807.0,341032.0,341032.0,0.0,0.0,0.0,16.0,202.0,202.0,,,
2003-10-01,24635.0,337983.0,337983.0,0.0,0.0,0.0,77.0,1052.0,1052.0,,,
2003-11-01,26131.0,344997.0,344997.0,0.0,0.0,0.0,72.0,947.0,947.0,,,
2003-12-01,28282.0,385525.0,385525.0,0.0,0.0,0.0,69.0,930.0,930.0,,,
2004-01-01,26738.402000000002,352871.0,352871.0,0.0,0.0,0.0,99.66600000000001,1377.0,1377.0,,,
2004-02-01,23284.382,307287.0,307287.0,0.0,0.0,0.0,50.181000000000004,693.0,693.0,,,
2004-03-01,20833.747,274946.0,274946.0,0.0,0.0,0.0,34.481,476.0,476.0,,,
2004-04-01,17223.402000000002,227300.0,227300.0,0.0,0.0,0.0,46.426,641.0,641.0,,,
2004-05-01,19962.408000000003,263447.0,263447.0,0.0,0.0,0.0,107.31,1483.0,1483.0,,,
2004-06-01,22200.794,292987.0,292987.0,0.0,0.0,0.0,69.44200000000001,959.0,959.0,,,
2004-07-01,23422.146,309105.0,309105.0,0.0,0.0,0.0,61.645,852.0,852.0,,,
2004-08-01,24917.868000000002,328845.0,328845.0,0.0,0.0,0.0,84.95700000000001,1174.0,1174.0,,,
2004-09-01,22574.523,297919.0,297919.0,0.0,0.0,0.0,86.17,1191.0,1191.0,,,
2004-10-01,23143.875,305433.0,305433.0,0.0,0.0,0.0,26.091,360.0,360.0,,,
2004-11-01,24598.496,324630.0,324630.0,0.0,0.0,0.0,42.542,588.0,588.0,,,
2004-12-01,25483.956,336316.0,336316.0,0.0,0.0,0.0,52.09,720.0,720.0,,,
2005-01-01,26947.242,373182.2,373182.2,,,,0.0,0.0,0.0,,,
2005-02-01,23462.049,324917.07,324917.07,,,,0.0,0.0,0.0,,,
2005-03-01,24341.811,337100.59,337100.59,,,,0.0,0.0,0.0,,,
2005-04-01,21693.342,300422.92,300422.92,,,,0.0,0.0,0.0,,,
2005-05-01,23814.928,329803.98,329803.98,,,,0.0,0.0,0.0,,,
2005-06-01,26524.891,367333.22,367333.22,,,,0.0,0.0,0.0,,,
2005-07-01,28039.616,388310.1,388310.1,,,,0.0,0.0,0.0,,,
2005-08-01,28351.584000000003,392630.42,392630.42,,,,0.0,0.0,0.0,,,
2005-09-01,25981.863,359813.04,359813.04,,,,0.0,0.0,0.0,,,
2005-10-01,24535.004,339776.03,339776.03,,,,0.0,0.0,0.0,,,
2005-11-01,23920.491,331265.88,331265.88,,,,0.0,0.0,0.0,,,
2005-12-01,26714.18,369954.62,369954.62,,,,0.0,0.0,0.0,,,
2006-01-01,20959.399,306315.0,306315.0,,,,37.24,572.0,572.0,,,
2006-02-01,19961.527000000002,291731.0,291731.0,,,,42.096000000000004,646.0,646.0,,,
2006-03-01,20396.988,298095.0,298095.0,,,,55.473000000000006,852.0,852.0,,,
2006-04-01,17353.295,253613.0,253613.0,,,,45.906,705.0,705.0,,,
2006-05-01,18545.116,271031.0,271031.0,,,,60.47,928.0,928.0,,,
2006-06-01,20090.851,293621.0,293621.0,,,,77.89200000000001,1196.0,1196.0,,,
2006-07-01,22853.306,333993.0,333993.0,,,,139.385,2140.0,2140.0,,,
2006-08-01,23018.205,336403.0,336403.0,,,,123.85600000000001,1901.0,1901.0,,,
2006-09-01,19125.35,279511.0,279511.0,,,,72.855,1118.0,1118.0,,,
2006-10-01,19782.163,289110.0,289110.0,,,,78.916,1211.0,1211.0,,,
2006-11-01,19559.745000000003,285859.0,285859.0,,,,53.055,814.0,814.0,,,
2006-12-01,21175.055,309466.0,309466.0,,,,53.857,827.0,827.0,,,
2007-01-01,24302.0,358692.0,358692.0,,,,0.0,0.0,0.0,,,
2007-02-01,25976.0,370437.0,370437.0,,,,0.0,0.0,0.0,,,
2007-03-01,29713.0,294893.0,294893.0,,,,0.0,0.0,0.0,,,
2007-04-01,23660.0,310843.0,310843.0,,,,0.0,0.0,0.0,,,
2007-05-01,17403.0,225811.0,225811.0,,,,0.0,0.0,0.0,,,
2007-06-01,19150.0,252466.0,252466.0,,,,0.0,0.0,0.0,,,
2007-07-01,23871.0,314165.0,314165.0,,,,0.0,0.0,0.0,,,
2007-08-01,26609.0,376024.0,376024.0,,,,0.0,0.0,0.0,,,
2007-09-01,22532.0,288676.0,288676.0,,,,0.0,0.0,0.0,,,
2007-10-01,22812.0,298140.0,298140.0,,,,0.0,0.0,0.0,,,
2007-11-01,24945.0,328407.0,328407.0,,,,0.0,0.0,0.0,,,
2007-12-01,23821.0,323812.0,323812.0,,,,0.0,0.0,0.0,,,
2008-01-01,27657.0,388597.0,388597.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,26298.0,365257.0,365257.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,30060.0,408554.0,408554.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,27531.0,377624.0,377624.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,21143.0,301690.0,301690.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,25533.0,362269.0,362269.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,21976.733,302738.0,302738.0,,,,0.0,0.0,0.0,7322.267000000001,100867.0,100867.0
2008-08-01,20447.998,275101.0,275101.0,,,,0.0,0.0,0.0,6798.002,91458.0,91458.0
2008-09-01,8445.101,112615.0,112615.0,,,,0.0,0.0,0.0,2813.8990000000003,37523.0,37523.0
2008-10-01,11207.853,94023.0,94023.0,,,,0.0,0.0,0.0,3734.1470000000004,31326.0,31326.0
2008-11-01,10582.607,149502.0,149502.0,,,,0.0,0.0,0.0,3525.393,49804.0,49804.0
2008-12-01,14101.587,205458.0,205458.0,,,,0.0,0.0,0.0,4697.4130000000005,68441.0,68441.0
2009-01-01,13593.419,186558.0,186558.0,,,,,,,3293.581,45202.0,45202.0
2009-02-01,13280.315,182413.0,182413.0,,,,,,,3220.685,44238.0,44238.0
2009-03-01,11955.479,163880.0,163880.0,,,,,,,2897.521,39718.0,39718.0
2009-04-01,9225.333,126862.0,126862.0,,,,,,,2234.667,30730.0,30730.0
2009-05-01,8959.875,111945.0,111945.0,,,,,,,2172.125,27138.0,27138.0
2009-06-01,10812.999,143925.0,143925.0,,,,,,,2622.001,34900.0,34900.0
2009-07-01,20155.31,281705.0,281705.0,,,,,,,4883.69,68258.0,68258.0
2009-08-01,19067.79,272619.0,272619.0,,,,,,,4622.21,66085.0,66085.0
2009-09-01,13429.144,189330.0,189330.0,,,,,,,3255.856,45902.0,45902.0
2009-10-01,5665.7660000000005,43452.0,43452.0,,,,,,,1375.2340000000002,10547.0,10547.0
2009-11-01,11730.544,158000.0,158000.0,,,,,,,2843.456,38299.0,38299.0
2009-12-01,20650.818,295924.0,295924.0,,,,,,,5004.182,71709.0,71709.0
2010-01-01,23344.249,311553.0,311553.0,,,,,,,6504.751,86813.0,86813.0
2010-02-01,19385.787,259246.0,259246.0,,,,,,,5402.213000000001,72244.0,72244.0
2010-03-01,18350.681,246281.0,246281.0,,,,,,,5113.319,68625.0,68625.0
2010-04-01,10991.716,137698.0,137698.0,,,,,,,3062.284,38363.0,38363.0
2010-05-01,13709.047,172397.0,172397.0,,,,,,,3819.953,48038.0,48038.0
2010-06-01,16132.657,215575.0,215575.0,,,,,,,4494.343,60056.0,60056.0
2010-07-01,8757.711000000001,124487.0,124487.0,,,,,,,2440.289,34688.0,34688.0
2010-08-01,13153.772,180270.0,180270.0,,,,,,,3665.228,50231.0,50231.0
2010-09-01,11366.723,164120.0,164120.0,,,,,,,3167.277,45731.0,45731.0
2010-10-01,11153.998,147567.0,147567.0,,,,,,,3108.002,41119.0,41119.0
2010-11-01,15643.126,195881.0,195881.0,,,,,,,4358.874,54581.0,54581.0
2010-12-01,18455.555,255388.0,255388.0,,,,,,,5143.445000000001,71175.0,71175.0
2011-01-01,20807.233,294127.0,294127.0,,,,,,,6695.767,94650.0,94650.0
2011-02-01,18301.997,262644.0,262644.0,,,,,,,5890.003,84525.0,84525.0
2011-03-01,14188.561,202724.0,202724.0,,,,,,,3758.439,53700.0,53700.0
2011-04-01,6230.135,109740.0,109740.0,,,,,,,1648.865,29044.0,29044.0
