measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2024-01-01,1309.88,15358.0,84807.0,225.782,2647.0,14620.0
2024-02-01,1191.851,13975.0,77166.0,244.501,2867.0,15828.0
2024-03-01,744.917,8734.0,48229.0,220.703,2588.0,14293.0
2024-04-01,473.399,5551.0,30650.0,187.251,2196.0,12121.0
2024-05-01,1409.71,16529.0,91270.0,278.314,3263.0,18018.0
2024-06-01,1428.357,16748.0,92478.0,256.056,3002.0,16577.0
2024-07-01,2019.601,23680.0,130757.0,280.689,3291.0,18177.0
2024-08-01,2045.621,23985.0,132442.0,302.055,3542.0,19553.0
2024-09-01,1427.723,16740.0,92437.0,287.6,3372.0,18617.0
2024-10-01,803.425,9420.0,52017.0,259.456,3042.0,16801.0
2024-11-01,926.782,10867.0,60004.0,233.005,2732.0,15088.0
2024-12-01,1221.088,14317.0,79059.0,266.174,3121.0,17232.0
