measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,,,,0.0,0.0,0.0,3220.0,36610.0,36610.0,646.0,29077.0,29077.0,,,,9874.0,99287.0,99287.0,0.0,0.0,0.0
2003-02-01,,,,,,,,,,0.0,0.0,0.0,4253.0,48539.0,48539.0,4665.0,50264.0,50264.0,,,,8065.0,102577.0,102577.0,0.0,0.0,0.0
2003-03-01,,,,,,,,,,,,,25832.0,337844.0,337844.0,0.0,0.0,0.0,,,,46357.0,505222.0,505222.0,5339.0,64770.0,64770.0
2003-04-01,,,,,,,,,,0.0,0.0,0.0,1449.0,15144.0,15144.0,863.0,40533.0,40533.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,,,,0.0,0.0,0.0,3359.0,34862.0,34862.0,69937.0,767360.0,767360.0,,,,60148.0,747878.0,747878.0,51.0,617.0,617.0
2003-06-01,,,,,,,,,,0.0,0.0,0.0,989.0,10961.0,10961.0,68053.0,778355.0,778355.0,,,,107206.0,1271623.0,1271623.0,0.0,0.0,0.0
2003-07-01,,,,,,,,,,0.0,0.0,0.0,3375.0,37094.0,37094.0,80193.0,900277.0,900277.0,,,,165818.0,1925952.0,1925952.0,0.0,0.0,0.0
2003-08-01,,,,,,,,,,0.0,0.0,0.0,6508.0,56851.0,56851.0,81303.0,1023567.0,1023567.0,,,,136682.0,1522278.0,1522278.0,0.0,0.0,0.0
2003-09-01,,,,,,,,,,0.0,0.0,0.0,3591.0,33524.0,33524.0,20923.0,234366.0,234366.0,,,,12209.0,136678.0,136678.0,0.0,0.0,0.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0,761.0,7996.0,7996.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,,,,,,,0.0,0.0,0.0,1284.0,12714.0,12714.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,,,,,,,0.0,0.0,0.0,29141.0,324850.0,324850.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,,,,,,,0.0,0.0,0.0,14065.0,140261.0,140261.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-02-01,,,,,,,,,,0.0,0.0,0.0,5013.0,48638.0,48638.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-03-01,,,,,,,,,,0.0,0.0,0.0,13039.0,130951.0,130951.0,0.0,0.0,0.0,,,,14287.0,192052.0,192052.0,,,
2004-04-01,,,,,,,,,,0.0,0.0,0.0,5349.0,53093.0,53093.0,66848.0,589492.0,589492.0,,,,38426.0,571589.0,571589.0,,,
2004-05-01,,,,,,,,,,0.0,0.0,0.0,4614.0,47359.0,47359.0,43487.0,419446.0,419446.0,,,,127092.0,1569961.0,1569961.0,,,
2004-06-01,,,,,,,,,,0.0,0.0,0.0,605.0,6230.0,6230.0,77872.0,888066.0,888066.0,,,,115032.0,1359348.0,1359348.0,,,
2004-07-01,,,,,,,,,,0.0,0.0,0.0,4751.0,48971.0,48971.0,94409.0,1074977.0,1074977.0,,,,107750.0,1361576.0,1361576.0,,,
2004-08-01,,,,,,,,,,0.0,0.0,0.0,10840.0,111458.0,111458.0,61417.0,689116.0,689116.0,,,,71605.0,1356303.0,1356303.0,,,
2004-09-01,,,,,,,,,,0.0,0.0,0.0,10652.0,108796.0,108796.0,5561.0,65663.0,65663.0,,,,75831.0,1331260.0,1331260.0,,,
