measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,55.697,592.0,592.0,53.9,706.0,706.0,,,,0.0,0.0,0.0,92437.518,988880.0,988880.0,,,
2003-02-01,,,,62.0,621.0,621.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,105589.0,1059811.0,1059811.0,,,
2003-03-01,,,,13.0,157.0,157.0,0.0,0.0,0.0,,,,20065.0,233414.0,233414.0,21263.0,247351.0,247351.0,,,
2003-04-01,,,,2.8810000000000002,35.0,35.0,26.46,314.0,314.0,,,,0.0,0.0,0.0,8535.146,98721.0,98721.0,,,
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,,,,32.65,407.0,407.0,22.54,314.0,314.0,,,,2030.074,25437.0,25437.0,21803.612,273237.0,273237.0,,,
2003-07-01,,,,43.214,493.0,493.0,0.0,0.0,0.0,,,,180.536,2049.0,2049.0,55510.142,629391.0,629391.0,,,
2003-08-01,,,,76.824,876.0,876.0,185.22,2632.0,2632.0,,,,3118.094,35642.0,35642.0,49143.353,561772.0,561772.0,,,
2003-09-01,,,,7.682,99.0,99.0,0.0,0.0,0.0,,,,1087.06,14281.0,14281.0,1850.498,24311.0,24311.0,,,
2003-10-01,,,,7.682,105.0,105.0,0.0,0.0,0.0,,,,2066.5660000000003,28736.0,28736.0,2195.246,30517.0,30517.0,,,
2003-11-01,,,,8.643,100.0,100.0,0.0,0.0,0.0,,,,2431.48,27563.0,27563.0,11477.506,130109.0,130109.0,,,
2003-12-01,,,,66.26100000000001,750.0,750.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,56309.111,639701.0,639701.0,,,
2004-01-01,,,,77.0,850.0,850.0,110.0,1425.0,1425.0,,,,0.0,0.0,0.0,148180.0,1644077.0,1644077.0,0.0,0.0,0.0
