measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,249.0,2883.0,2883.0
2003-02-01,0.0,0.0,0.0,537.0,5910.0,5910.0
2003-03-01,,,,305.0,3521.0,3521.0
2003-04-01,,,,246.0,3680.0,3680.0
2003-05-01,,,,324.0,3616.0,3616.0
2003-06-01,,,,224.0,2631.0,2631.0
2003-07-01,,,,534.0,8479.0,8479.0
2003-08-01,,,,516.0,5866.0,5866.0
2003-09-01,,,,426.0,5608.0,5608.0
2003-10-01,,,,236.0,4243.0,4243.0
2003-11-01,,,,150.0,2555.0,2555.0
2003-12-01,,,,67.0,803.0,803.0
2004-01-01,106.44800000000001,1805.0,1805.0,90.12700000000001,1076.0,1076.0
2004-02-01,72.884,1236.0,1236.0,88.29400000000001,1054.0,1054.0
2004-03-01,66.876,1134.0,1134.0,82.34700000000001,983.0,983.0
2004-04-01,61.647000000000006,1045.0,1045.0,74.741,893.0,893.0
2004-05-01,138.434,2347.0,2347.0,86.49,1033.0,1033.0
2004-06-01,148.50400000000002,2518.0,2518.0,98.592,1177.0,1177.0
2004-07-01,150.487,2552.0,2552.0,103.01,1230.0,1230.0
2004-08-01,145.87800000000001,2473.0,2473.0,97.68100000000001,1167.0,1167.0
2004-09-01,195.997,3323.0,3323.0,96.052,1147.0,1147.0
2004-10-01,91.019,1543.0,1543.0,95.221,1137.0,1137.0
2004-11-01,70.483,1195.0,1195.0,54.568000000000005,652.0,652.0
2004-12-01,56.343,955.0,955.0,85.876,1026.0,1026.0
2005-01-01,136.167,2579.85,2579.85,148.963,1789.93,1789.93
2005-02-01,69.108,1309.34,1309.34,75.60300000000001,908.44,908.44
2005-03-01,83.641,1584.67,1584.67,91.501,1099.47,1099.47
2005-04-01,87.155,1651.26,1651.26,95.346,1145.66,1145.66
2005-05-01,102.69800000000001,1945.73,1945.73,112.348,1349.97,1349.97
2005-06-01,92.98100000000001,1761.65,1761.65,101.71900000000001,1222.24,1222.24
2005-07-01,148.888,2820.86,2820.86,162.87900000000002,1957.14,1957.14
2005-08-01,164.76600000000002,3121.69,3121.69,180.25,2165.86,2165.86
2005-09-01,163.62300000000002,3100.03,3100.03,178.999,2150.83,2150.83
2005-10-01,97.63300000000001,1849.78,1849.78,106.808,1283.39,1283.39
2005-11-01,77.821,1474.41,1474.41,85.134,1022.96,1022.96
2005-12-01,169.52,3211.76,3211.76,185.45,2228.35,2228.35
2006-01-01,25.075,489.0,489.0,68.169,805.0,805.0
2006-02-01,24.813000000000002,484.0,484.0,67.459,797.0,797.0
2006-03-01,21.756,424.0,424.0,59.147000000000006,699.0,699.0
2006-04-01,28.7,559.0,559.0,78.025,922.0,922.0
2006-05-01,25.938000000000002,506.0,506.0,70.516,833.0,833.0
2006-06-01,31.02,605.0,605.0,84.334,996.0,996.0
2006-07-01,30.092000000000002,587.0,587.0,81.81,967.0,967.0
2006-08-01,32.385,631.0,631.0,88.04400000000001,1040.0,1040.0
2006-09-01,23.007,448.0,448.0,62.547000000000004,739.0,739.0
2006-10-01,29.612000000000002,577.0,577.0,80.506,951.0,951.0
2006-11-01,25.847,504.0,504.0,70.269,830.0,830.0
2006-12-01,28.755,561.0,561.0,78.174,924.0,924.0
2007-01-01,5.482,167.0,167.0,110.601,1321.0,1321.0
2007-02-01,4.843,149.0,149.0,97.712,1172.0,1172.0
2007-03-01,5.574,167.0,167.0,112.45400000000001,1345.0,1345.0
2007-04-01,5.25,161.0,161.0,105.927,1265.0,1265.0
2007-05-01,5.746,174.0,174.0,115.938,1389.0,1389.0
2007-06-01,5.654,174.0,174.0,114.07300000000001,1364.0,1364.0
2007-07-01,6.002000000000001,180.0,180.0,121.099,1451.0,1451.0
2007-08-01,6.258,192.0,192.0,126.259,1513.0,1513.0
2007-09-01,5.941000000000001,180.0,180.0,119.875,1432.0,1432.0
2007-10-01,6.333,192.0,192.0,127.785,1531.0,1531.0
2007-11-01,5.5040000000000004,167.0,167.0,111.051,1327.0,1327.0
2007-12-01,5.413,161.0,161.0,109.224,1308.0,1308.0
2008-01-01,6.861000000000001,133.0,133.0,45.259,524.0,524.0
2008-02-01,6.695,144.0,144.0,44.172000000000004,513.0,513.0
2008-03-01,7.416,161.0,161.0,48.929,570.0,570.0
2008-04-01,7.008,150.0,150.0,46.24,542.0,542.0
2008-05-01,7.433000000000001,161.0,161.0,49.042,570.0,570.0
2008-06-01,7.252000000000001,156.0,156.0,47.849000000000004,559.0,559.0
2008-07-01,7.731000000000001,167.0,167.0,51.01,593.0,593.0
2008-08-01,7.408,161.0,161.0,48.875,570.0,570.0
2008-09-01,7.502000000000001,161.0,161.0,49.496,576.0,576.0
2008-10-01,7.719,167.0,167.0,50.925000000000004,593.0,593.0
2008-11-01,7.009,150.0,150.0,46.245000000000005,542.0,542.0
2008-12-01,6.966,150.0,150.0,45.958000000000006,536.0,536.0
2009-01-01,81.49300000000001,2020.0,2020.0,52.678000000000004,612.0,612.0
2009-02-01,74.12700000000001,1829.0,1829.0,47.916000000000004,560.0,560.0
2009-03-01,76.62100000000001,1893.0,1893.0,49.529,577.0,577.0
2009-04-01,75.294,1858.0,1858.0,48.671,565.0,565.0
2009-05-01,88.58800000000001,2187.0,2187.0,57.265,669.0,669.0
2009-06-01,84.645,2089.0,2089.0,54.716,640.0,640.0
2009-07-01,89.74900000000001,2216.0,2216.0,58.015,675.0,675.0
2009-08-01,90.03200000000001,2221.0,2221.0,58.198,681.0,681.0
2009-09-01,86.241,2129.0,2129.0,55.747,652.0,652.0
2009-10-01,93.229,2302.0,2302.0,60.265,704.0,704.0
2009-11-01,81.443,2008.0,2008.0,52.646,612.0,612.0
2009-12-01,82.53800000000001,2037.0,2037.0,53.354,623.0,623.0
2010-01-01,33.469,711.0,711.0,67.86200000000001,775.0,775.0
2010-02-01,29.502000000000002,624.0,624.0,59.82,676.0,676.0
2010-03-01,31.95,676.0,676.0,64.783,734.0,734.0
2010-04-01,31.26,659.0,659.0,63.384,717.0,717.0
2010-05-01,34.221000000000004,723.0,723.0,69.388,786.0,786.0
2010-06-01,32.856,694.0,694.0,66.62100000000001,757.0,757.0
2010-07-01,34.773,734.0,734.0,70.507,798.0,798.0
2010-08-01,34.912,740.0,740.0,70.788,803.0,803.0
2010-09-01,34.083,723.0,723.0,69.108,780.0,780.0
2010-10-01,34.814,734.0,734.0,70.59,798.0,798.0
2010-11-01,33.034,699.0,699.0,66.982,757.0,757.0
2010-12-01,33.126000000000005,699.0,699.0,67.167,763.0,763.0
2011-01-01,1.64,40.0,40.0,24.53,299.0,299.0
2011-02-01,1.548,46.0,46.0,23.135,276.0,276.0
2011-03-01,1.698,46.0,46.0,25.38,305.0,305.0
2011-04-01,1.667,46.0,46.0,24.924,299.0,299.0
2011-05-01,1.618,46.0,46.0,24.195,288.0,288.0
2011-06-01,1.573,46.0,46.0,23.516,282.0,282.0
2011-07-01,1.69,46.0,46.0,25.268,305.0,305.0
2011-08-01,1.739,52.0,52.0,25.993,311.0,311.0
2011-09-01,1.751,52.0,52.0,26.181,317.0,317.0
2011-10-01,1.716,46.0,46.0,25.652,311.0,311.0
2011-11-01,1.618,46.0,46.0,24.186,288.0,288.0
2011-12-01,1.742,52.0,52.0,26.04,311.0,311.0
2012-01-01,2.845,81.0,81.0,31.807,380.0,380.0
2012-02-01,2.529,63.0,63.0,28.282,340.0,340.0
2012-03-01,2.626,69.0,69.0,29.364,351.0,351.0
2012-04-01,2.531,63.0,63.0,28.296,340.0,340.0
2012-05-01,2.599,63.0,63.0,29.064,345.0,345.0
2012-06-01,2.604,63.0,63.0,29.113,345.0,345.0
2012-07-01,2.604,63.0,63.0,29.119,345.0,345.0
2012-08-01,2.823,69.0,69.0,31.569,374.0,374.0
2012-09-01,2.59,63.0,63.0,28.959,345.0,345.0
2012-10-01,2.858,75.0,75.0,31.963,380.0,380.0
2012-11-01,2.6,63.0,63.0,29.069,345.0,345.0
2012-12-01,3.791,98.0,98.0,42.395,507.0,507.0
