measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1771.0,108075.0,108075.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1461.0,108075.0,108075.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,80240.0,80240.0,0.0,0.0,0.0
2013-06-01,441.713,27756.0,27756.0,0.0,0.0,0.0,1183.287,74354.0,74354.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1843.0,107181.0,107181.0,0.0,0.0,0.0
2013-08-01,124.567,6939.0,6939.0,0.0,0.0,0.0,2143.433,119400.0,119400.0,0.0,0.0,0.0
2013-09-01,780.468,45684.0,45684.0,0.0,0.0,0.0,1333.532,78057.0,78057.0,0.0,0.0,0.0
2013-10-01,867.814,48465.0,48465.0,0.0,0.0,0.0,1435.186,80151.0,80151.0,0.0,0.0,0.0
2013-11-01,566.956,38502.0,38502.0,0.0,0.0,0.0,1320.044,89644.0,89644.0,0.0,0.0,0.0
2013-12-01,562.393,54945.0,54945.0,0.0,0.0,0.0,1043.607,101959.0,101959.0,0.0,0.0,0.0
2014-01-01,203.789,33345.0,33345.0,0.0,0.0,0.0,507.793,83088.0,83088.0,0.0,0.0,0.0
2014-02-01,423.212,35343.0,35343.0,0.0,0.0,0.0,1266.917,105802.0,105802.0,0.0,0.0,0.0
