measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,289.029,3596.0,3596.0
2003-02-01,,,,245.607,3055.0,3055.0
2003-03-01,,,,271.397,3376.0,3376.0
2003-04-01,,,,235.39200000000002,2928.0,2928.0
2003-05-01,,,,211.818,2635.0,2635.0
2003-06-01,,,,253.304,3151.0,3151.0
2003-07-01,,,,306.26300000000003,3810.0,3810.0
2003-08-01,,,,288.813,3593.0,3593.0
2003-09-01,,,,268.406,3339.0,3339.0
2003-10-01,,,,262.476,3265.0,3265.0
2003-11-01,,,,250.175,3112.0,3112.0
2003-12-01,,,,282.696,3517.0,3517.0
2004-01-01,,,,15.283000000000001,151.0,151.0
2004-02-01,,,,10.649000000000001,105.0,105.0
2004-03-01,,,,5.575,55.0,55.0
2004-04-01,,,,11.904,118.0,118.0
2004-05-01,,,,14.13,140.0,140.0
2004-06-01,,,,14.502,144.0,144.0
2004-07-01,,,,9.668000000000001,96.0,96.0
2004-08-01,,,,13.476,133.0,133.0
2004-09-01,,,,6.131,61.0,61.0
2004-10-01,,,,10.587,105.0,105.0
2004-11-01,,,,10.02,99.0,99.0
2004-12-01,,,,9.075,90.0,90.0
2005-01-01,18.072,194.09,194.09,,,
2005-02-01,6.2090000000000005,66.68,66.68,,,
2005-03-01,6.882000000000001,73.91,73.91,,,
2005-04-01,8.336,89.52,89.52,,,
2005-05-01,7.742,83.15,83.15,,,
2005-06-01,10.048,107.92,107.92,,,
2005-07-01,10.228,109.85,109.85,,,
2005-08-01,12.015,129.04,129.04,,,
2005-09-01,7.865,84.47,84.47,,,
2005-10-01,8.734,93.8,93.8,,,
2005-11-01,7.022,75.41,75.41,,,
2005-12-01,14.847000000000001,159.46,159.46,,,
2006-01-01,17.539,174.0,174.0,,,
2006-02-01,9.178,91.0,91.0,,,
2006-03-01,7.7090000000000005,76.0,76.0,,,
2006-04-01,14.767000000000001,146.0,146.0,,,
2006-05-01,13.804,137.0,137.0,,,
2006-06-01,12.547,124.0,124.0,,,
2006-07-01,18.174,180.0,180.0,,,
2006-08-01,17.629,175.0,175.0,,,
2006-09-01,8.099,80.0,80.0,,,
2006-10-01,8.555,85.0,85.0,,,
