measured_on,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,281.725,62547.0,62547.0
2003-02-01,245.63400000000001,54534.0,54534.0
2003-03-01,277.033,61505.0,61505.0
2003-04-01,217.217,48225.0,48225.0
2003-05-01,214.113,47536.0,47536.0
2003-06-01,233.42100000000002,51822.0,51822.0
2003-07-01,277.427,61593.0,61593.0
2003-08-01,282.815,62789.0,62789.0
2003-09-01,229.36700000000002,50923.0,50923.0
2003-10-01,240.73600000000002,53447.0,53447.0
2003-11-01,259.896,57700.0,57700.0
2003-12-01,280.616,62301.0,62301.0
2004-01-01,303.288,1340.48,65205.28
2004-02-01,195.17700000000002,862.65,41962.16
2004-03-01,0.0,0.0,0.0
2004-04-01,212.81400000000002,940.6,45753.95
2004-05-01,667.6510000000001,2950.91,143541.59
2004-06-01,713.51,3153.6,153401.08
2004-07-01,617.033,2727.18,132658.92
2004-08-01,46.126000000000005,203.87,9916.78
2004-09-01,40.378,178.46,8681.18
2004-10-01,124.98700000000001,552.42,26871.42
2004-11-01,146.50400000000002,647.52,31497.61
2004-12-01,106.372,470.15,22869.44
2005-01-01,420.805,1859.89,63117.36
2005-02-01,382.072,1688.7,57307.65
2005-03-01,409.557,1810.17,61430.06
2005-04-01,336.935,1489.2,50537.5
2005-05-01,320.09700000000004,1414.78,48012.06
2005-06-01,410.297,1813.45,61541.14
2005-07-01,457.77200000000005,2023.28,68661.91
2005-08-01,453.416,2004.02,68008.72
2005-09-01,408.458,1805.32,61265.31
2005-10-01,382.50300000000004,1690.6,57372.35
2005-11-01,375.632,1660.23,56341.79
2005-12-01,433.285,1915.05,64989.23
2006-01-01,555.34,2454.51,63430.77
2006-02-01,522.144,2307.79,59639.16
2006-03-01,509.88300000000004,2253.6,58238.72
2006-04-01,510.36800000000005,2255.74,58294.26
2006-05-01,536.753,2372.36,61307.76
2006-06-01,549.085,2426.87,62716.43
2006-07-01,576.6120000000001,2548.53,65860.47
2006-08-01,576.359,2547.41,65831.67
2006-09-01,520.513,2300.59,59452.91
2006-10-01,509.613,2252.41,58207.86
2006-11-01,516.658,2283.54,59012.53
2006-12-01,550.682,2433.93,62898.76
2007-01-01,403.307,1720.0,62159.0
2007-02-01,361.30400000000003,1552.0,55689.0
2007-03-01,350.60200000000003,1496.0,54043.0
2007-04-01,319.25100000000003,1365.0,49200.0
2007-05-01,342.552,1477.0,52790.0
2007-06-01,346.28,1477.0,53370.0
2007-07-01,408.38,1758.0,62944.0
2007-08-01,412.442,1777.0,63561.0
2007-09-01,321.305,1384.0,49518.0
2007-10-01,346.004,1477.0,53332.0
2007-11-01,336.308,1440.0,51836.0
2007-12-01,404.265,1739.0,62308.0
2008-01-01,261.052,1119.0,70125.0
2008-02-01,237.549,1018.0,63842.0
2008-03-01,227.675,976.0,61186.0
2008-04-01,201.31900000000002,863.0,54099.0
2008-05-01,202.685,869.0,54473.0
2008-06-01,218.33200000000002,936.0,58681.0
2008-07-01,261.284,1120.0,70219.0
2008-08-01,253.089,1085.0,68012.0
2008-09-01,237.52100000000002,1018.0,63823.0
2008-10-01,239.845,1028.0,64459.0
2008-11-01,257.817,1105.0,69284.0
2008-12-01,261.832,1123.0,70368.0
2009-01-01,158.512,680.0,62985.0
2009-02-01,144.537,620.0,57437.0
2009-03-01,152.17600000000002,652.0,60477.0
2009-04-01,136.04600000000002,583.0,54055.0
2009-05-01,135.36700000000002,580.0,53789.0
2009-06-01,142.50300000000001,611.0,56620.0
2009-07-01,146.578,628.0,58235.0
2009-08-01,149.50300000000001,641.0,59413.0
2009-09-01,123.801,531.0,49191.0
2009-10-01,131.656,564.0,52307.0
2009-11-01,154.48600000000002,662.0,61389.0
2009-12-01,158.835,681.0,63118.0
2010-01-01,335.517,1438.0,65254.0
2010-02-01,303.606,1302.0,59050.0
2010-03-01,310.334,1330.0,60363.0
2010-04-01,249.16600000000003,1068.0,48469.0
2010-05-01,258.01300000000003,1106.0,50182.0
2010-06-01,292.74600000000004,1255.0,56938.0
2010-07-01,311.70500000000004,1336.0,60630.0
2010-08-01,313.853,1346.0,61048.0
2010-09-01,257.173,1103.0,50030.0
2010-10-01,247.334,1060.0,48108.0
2010-11-01,271.815,1165.0,52865.0
2010-12-01,322.738,1384.0,62780.0
2011-01-01,255.303,1095.0,64104.0
2011-02-01,225.363,966.0,56586.0
2011-03-01,231.776,994.0,58213.0
2011-04-01,177.665,762.0,44618.0
2011-05-01,165.751,711.0,41626.0
2011-06-01,177.21,760.0,44506.0
2011-07-01,219.771,942.0,55184.0
2011-08-01,211.393,906.0,53089.0
2011-09-01,187.899,806.0,47180.0
2011-10-01,208.859,895.0,52454.0
2011-11-01,201.203,863.0,50527.0
2011-12-01,231.807,994.0,58213.0
2012-01-01,48.282,207.0,18382.0
2012-02-01,44.872,192.0,17073.0
2012-03-01,44.454,191.0,16924.0
2012-04-01,37.392,160.0,14231.0
