measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,,,,1490.0,36847.0,36847.0,-28.0,0.0,0.0,,,,-28.0,0.0,0.0,-30.0,0.0,0.0,-153.0,0.0,0.0,139.0,3251.0,3251.0
2003-02-01,,,,,,,1483.0,34637.0,34637.0,-24.0,0.0,0.0,-29.0,0.0,0.0,-24.0,0.0,0.0,-52.0,0.0,0.0,-138.0,0.0,0.0,16.0,361.0,361.0
2003-03-01,,,,,,,,,,-18.0,0.0,0.0,-22.0,0.0,0.0,-18.0,0.0,0.0,-49.0,0.0,0.0,-82.0,0.0,0.0,24.0,619.0,619.0
2003-04-01,,,,,,,-63.0,0.0,0.0,-15.0,0.0,0.0,-11.0,0.0,0.0,-15.0,0.0,0.0,-33.0,0.0,0.0,-56.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,2941.0,54835.0,54835.0,-13.0,0.0,0.0,-11.0,0.0,0.0,-13.0,0.0,0.0,-18.0,0.0,0.0,-63.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,,,,4795.0,75981.0,75981.0,-13.0,0.0,0.0,-9.0,0.0,0.0,-13.0,0.0,0.0,-9.0,0.0,0.0,121.0,3262.0,3262.0,0.0,0.0,0.0
2003-07-01,,,,,,,8290.0,114668.0,114668.0,-13.0,0.0,0.0,-12.0,0.0,0.0,-13.0,0.0,0.0,-17.0,0.0,0.0,242.0,4291.0,4291.0,0.0,0.0,0.0
2003-08-01,,,,,,,9475.0,120016.0,120016.0,0.0,0.0,0.0,-20.0,0.0,0.0,453.0,7534.0,7534.0,337.0,4009.0,4009.0,323.0,4833.0,4833.0,26.0,503.0,503.0
2003-09-01,,,,,,,6805.0,97451.0,97451.0,-18.0,0.0,0.0,-39.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,285.0,4692.0,4692.0,-26.0,0.0,0.0
2003-10-01,,,,,,,-53.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,-34.0,0.0,0.0,-30.0,0.0,0.0,-57.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,,,,-66.0,0.0,0.0,-25.0,0.0,0.0,-46.0,0.0,0.0,-15.0,0.0,0.0,-26.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,,,,-62.0,0.0,0.0,-22.0,0.0,0.0,-29.0,0.0,0.0,-22.0,0.0,0.0,-52.0,0.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,,,,-58.0,0.0,0.0,-26.0,0.0,0.0,-33.0,0.0,0.0,-26.0,0.0,0.0,-56.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,,,,-57.0,0.0,0.0,-21.0,0.0,0.0,-30.0,0.0,0.0,-22.0,0.0,0.0,-51.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,,,,525.0,8757.0,8757.0,0.0,0.0,0.0,-46.0,0.0,0.0,44.0,1627.0,1627.0,-23.0,0.0,0.0,94.0,1574.0,1574.0,0.0,0.0,0.0
2004-04-01,,,,,,,-57.0,0.0,0.0,-15.0,0.0,0.0,-33.0,0.0,0.0,-15.0,0.0,0.0,-18.0,0.0,0.0,-54.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,,,,-61.0,0.0,0.0,-15.0,0.0,0.0,-11.0,0.0,0.0,-15.0,0.0,0.0,-36.0,0.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,,,,,,,7351.0,85190.0,85190.0,-15.0,0.0,0.0,-26.0,0.0,0.0,-14.0,0.0,0.0,-14.0,0.0,0.0,333.0,5026.0,5026.0,0.0,0.0,0.0
2004-07-01,,,,,,,7620.0,103045.0,103045.0,-15.0,0.0,0.0,-25.0,6.0,6.0,-15.0,0.0,0.0,-14.0,0.0,0.0,377.0,5084.0,5084.0,38.0,552.0,552.0
2004-08-01,,,,,,,9233.0,133954.0,133954.0,-14.0,0.0,0.0,-5.0,23.0,23.0,-14.0,0.0,0.0,-17.0,70.0,70.0,202.0,4739.0,4739.0,154.0,3013.0,3013.0
2004-09-01,,,,,,,4493.0,57723.0,57723.0,-11.0,0.0,0.0,-15.0,0.0,0.0,-10.0,0.0,0.0,-24.0,0.0,0.0,218.0,3271.0,3271.0,0.0,0.0,0.0
2004-10-01,,,,,,,-54.0,0.0,0.0,-10.0,0.0,0.0,-24.0,0.0,0.0,-9.0,0.0,0.0,-24.0,0.0,0.0,-49.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,,,,,,,-55.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-24.0,0.0,0.0,-36.0,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,,,,-60.0,0.0,0.0,-18.0,0.0,0.0,-27.0,0.0,0.0,-18.0,0.0,0.0,-46.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,,,,,,,-64.0,0.0,0.0,-21.0,0.0,0.0,-31.0,11.46,11.46,-20.0,0.0,0.0,-48.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,,,,,,,-56.0,0.0,0.0,-17.0,0.0,0.0,-26.0,5.73,5.73,-16.0,0.0,0.0,-39.0,0.0,0.0,-63.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,,,,,,,-61.0,0.0,0.0,-14.0,0.0,0.0,-26.0,0.0,0.0,-14.0,0.0,0.0,-42.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,,,,,,,-54.0,0.0,0.0,-8.0,0.0,0.0,-10.0,0.0,0.0,-9.0,0.0,0.0,-35.0,0.0,0.0,-57.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,,,,,,,1796.0,23230.55,23230.55,-8.0,0.0,0.0,-31.0,0.0,0.0,-9.0,107.1,107.1,-17.0,0.0,0.0,141.0,1836.32,1836.32,0.0,0.0,0.0
2005-06-01,,,,,,,10348.0,140123.09,140123.09,0.0,0.0,0.0,25.0,345.15,345.15,316.0,5061.1,5061.1,505.0,3440.87,3440.87,257.0,4807.6,4807.6,0.0,0.0,0.0
2005-07-01,,,,,,,11946.0,163158.28,163158.28,0.0,0.0,0.0,10.0,198.9,198.9,402.0,6535.87,6535.87,241.0,2711.56,2711.56,183.0,4766.88,4766.88,0.0,0.0,0.0
2005-08-01,,,,,,,11001.0,153519.46,153519.46,0.0,0.0,0.0,3.0,456.3,456.3,494.0,7891.31,7891.31,691.0,6735.54,6735.54,187.0,4765.01,4765.01,0.0,0.0,0.0
2005-09-01,,,,,,,10768.0,149782.24,149782.24,81.0,1684.8,1684.8,9.0,257.4,257.4,5.0,78.0,78.0,372.0,3751.14,3751.14,240.0,5343.58,5343.58,0.0,0.0,0.0
2005-10-01,,,,,,,-59.0,0.0,0.0,-10.0,0.0,0.0,-35.0,0.0,0.0,-10.0,0.0,0.0,-20.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0
