measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2005-11-01,,,,,,,-90.0,0.0,0.0,-23.0,0.0,0.0,-24.0,0.0,0.0,-24.0,0.0,0.0,-38.0,0.0,0.0,-31.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,,,,,,,-92.0,0.0,0.0,-25.0,0.0,0.0,-33.0,0.0,0.0,-25.0,0.0,0.0,-48.0,0.0,0.0,-34.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,,,,,,,-61.0,0.0,0.0,-16.0,0.0,0.0,-28.0,0.0,0.0,-16.0,0.0,0.0,-44.0,0.0,0.0,-64.0,91.0,91.0,0.0,0.0,0.0
2006-02-01,,,,,,,8013.0,104512.0,104512.0,-15.0,0.0,0.0,-25.0,0.0,0.0,-16.0,0.0,0.0,-36.0,0.0,0.0,339.0,4640.0,4640.0,0.0,0.0,0.0
2006-03-01,,,,,,,9158.0,117348.0,117348.0,-14.0,0.0,0.0,-16.0,29.0,29.0,-14.0,0.0,0.0,-18.0,0.0,0.0,308.0,4061.0,4061.0,0.0,0.0,0.0
2006-04-01,,,,,,,-58.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,-23.0,0.0,0.0,-31.0,0.0,0.0,-49.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,,,,,,,4498.0,59415.0,59415.0,-12.0,0.0,0.0,-14.0,64.0,64.0,-12.0,0.0,0.0,-16.0,82.0,82.0,150.0,2447.0,2447.0,0.0,0.0,0.0
2006-06-01,,,,,,,12328.0,169176.0,169176.0,-9.0,0.0,0.0,-18.0,0.0,0.0,-9.0,0.0,0.0,-28.0,0.0,0.0,310.0,4833.0,4833.0,0.0,0.0,0.0
2006-07-01,,,,,,,12473.0,175788.0,175788.0,0.0,0.0,0.0,126.0,1322.0,1322.0,922.0,16153.0,16153.0,1656.0,17381.0,17381.0,368.0,4800.0,4800.0,0.0,0.0,0.0
2006-08-01,,,,,,,11858.0,162163.0,162163.0,0.0,0.0,0.0,73.0,743.0,743.0,297.0,5047.0,5047.0,1137.0,12421.0,12421.0,351.0,4614.0,4614.0,0.0,0.0,0.0
2006-09-01,,,,,,,10608.0,152761.0,152761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,4298.0,4298.0,0.0,0.0,0.0
2006-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,59.0,59.0,0.0,0.0,0.0,127.0,1290.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,,,,,,,1866.0,34634.0,34634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,245.0,245.0,0.0,0.0,0.0
2006-12-01,,,,,,,4072.0,72091.0,72091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1624.0,1624.0,96.0,1690.0,1690.0
2007-01-01,,,,,,,12821.93,189736.0,189736.0,0.0,0.0,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,327.096,4840.0,4840.0,119.975,1775.0,1775.0
2007-02-01,,,,,,,11542.653,170062.0,170062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.34700000000004,4145.0,4145.0,0.0,0.0,0.0
2007-03-01,,,,,,,9802.96,130069.0,130069.0,0.0,0.0,0.0,20.656000000000002,223.0,223.0,0.0,0.0,0.0,202.34400000000002,2189.0,2189.0,339.04,4498.0,4498.0,0.0,0.0,0.0
2007-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,,,,,,,7755.889,98357.0,98357.0,0.0,0.0,0.0,11.393,118.0,118.0,0.0,0.0,0.0,87.607,904.0,904.0,338.111,4288.0,4288.0,0.0,0.0,0.0
2007-06-01,,,,,,,9385.652,118892.0,118892.0,0.0,0.0,0.0,18.407,188.0,188.0,14.0,359.0,359.0,226.59300000000002,2316.0,2316.0,370.348,4691.0,4691.0,0.0,0.0,0.0
2007-07-01,,,,,,,10679.427,144569.0,144569.0,0.0,0.0,0.0,57.362,582.0,582.0,0.0,0.0,0.0,880.638,8937.0,8937.0,387.57300000000004,5247.0,5247.0,0.0,0.0,0.0
2007-08-01,,,,,,,12328.262999999999,168576.0,168576.0,0.0,0.0,0.0,89.60600000000001,911.0,911.0,35.0,711.0,711.0,1680.394,17092.0,17092.0,388.737,5316.0,5316.0,0.0,0.0,0.0
2007-09-01,,,,,,,10330.273,143002.0,143002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.72700000000003,4523.0,4523.0,0.0,0.0,0.0
2007-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,,,,,,,6714.746,90446.0,90446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.254,3775.0,3775.0,0.0,0.0,0.0
2008-01-01,,,,,,,10667.883,145631.0,145631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.117,4711.0,4711.0,,,
2008-02-01,,,,,,,9457.353000000001,123960.0,123960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.647,4072.0,4072.0,,,
2008-03-01,,,,,,,9676.627,124877.0,124877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.373,4328.0,4328.0,,,
2008-04-01,,,,,,,9420.805,121152.0,121152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.195,4259.0,4259.0,,,
2008-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,,,,,,,8180.02,116557.0,116557.0,0.0,0.0,0.0,58.431000000000004,589.0,589.0,0.0,0.0,0.0,1184.569,11948.0,11948.0,229.98000000000002,3277.0,3277.0,,,
2008-07-01,,,,,,,12121.724,172401.0,172401.0,0.0,0.0,0.0,71.193,659.0,659.0,49.0,884.0,884.0,1043.807,9657.0,9657.0,278.276,3958.0,3958.0,,,
2008-08-01,,,,,,,12195.210000000001,174585.0,174585.0,0.0,0.0,0.0,5.6610000000000005,58.0,58.0,0.0,0.0,0.0,90.339,922.0,922.0,263.79,3776.0,3776.0,,,
2008-09-01,,,,,,,8845.029,120519.0,120519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.971,3515.0,3515.0,,,
2008-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,,,
2008-12-01,,,,,,,9839.346000000001,128716.0,128716.0,0.0,0.0,0.0,1.0,12.0,12.0,132.0,2279.0,2279.0,0.0,0.0,0.0,485.654,6353.0,6353.0,,,
2009-01-01,,,,,,,10843.843,142062.0,142062.0,0.0,0.0,0.0,11.975,122.0,122.0,0.0,0.0,0.0,81.025,827.0,827.0,315.15700000000004,4129.0,4129.0,,,
2009-02-01,,,,,,,9611.903,126966.0,126966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.097,2921.0,2921.0,,,
2009-03-01,,,,,,,5615.06,75849.0,75849.0,0.0,0.0,0.0,5.0,46.0,46.0,16.0,330.0,330.0,0.0,0.0,0.0,169.94,2296.0,2296.0,,,
2009-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.3,23.0,23.0,79.0,1325.0,1325.0,22.7,229.0,229.0,0.0,0.0,0.0,,,
2009-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.675,186.0,186.0,0.0,0.0,0.0,224.325,2229.0,2229.0,0.0,2.0,2.0,,,
2009-07-01,,,,,,,6338.235000000001,84953.0,84953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.765,3374.0,3374.0,,,
2009-08-01,,,,,,,8416.11,113534.0,113534.0,0.0,0.0,0.0,17.919,180.0,180.0,0.0,0.0,0.0,174.08100000000002,1747.0,1747.0,272.89,3681.0,3681.0,,,
2009-09-01,,,,,,,878.513,11941.0,11941.0,0.0,0.0,0.0,4.0,46.0,46.0,19.0,387.0,387.0,0.0,0.0,0.0,36.487,496.0,496.0,,,
2009-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.169,87.0,87.0,17.0,350.0,350.0,13.831000000000001,147.0,147.0,0.0,0.0,0.0,,,
2010-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.002,151.0,151.0,0.0,0.0,0.0,251.99800000000002,2533.0,2533.0,0.0,1208.0,1208.0,,,
2010-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,446.0,,,
2010-03-01,,,,,,,2236.998,30824.0,30824.0,0.0,0.0,0.0,4.0,46.0,46.0,17.0,348.0,348.0,0.0,0.0,0.0,166.002,2287.0,2287.0,,,
2010-04-01,,,,,,,7568.214,101494.0,101494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.786,3900.0,3900.0,,,
2010-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.395,23.0,23.0,0.0,0.0,0.0,37.605000000000004,364.0,364.0,0.0,0.0,0.0,,,
2010-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.951,139.0,139.0,20.0,395.0,395.0,74.049,739.0,739.0,0.0,0.0,0.0,,,
2010-07-01,,,,,,,7144.601000000001,98237.0,98237.0,0.0,0.0,0.0,17.731,180.0,180.0,40.0,690.0,690.0,116.269,1179.0,1179.0,188.399,2590.0,2590.0,,,
2010-08-01,,,,,,,9235.864,124819.0,124819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.136,2340.0,2340.0,,,
2010-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,24.118000000000002,238.0,238.0,19.0,378.0,378.0,14.882000000000001,147.0,147.0,0.0,0.0,0.0,,,
2010-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,,,,,,,877.831,22490.0,22490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.169,209.0,209.0,,,
2011-02-01,,,,,,,768.0,19711.0,19711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.345,93.0,93.0,22.0,415.0,415.0,13.655,136.0,136.0,0.0,0.0,0.0,,,
2011-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.928,139.0,139.0,19.0,404.0,404.0,148.072,1480.0,1480.0,0.0,9.0,9.0,,,
2011-07-01,,,,,,,9122.513,118097.0,118097.0,0.0,0.0,0.0,23.028,226.0,226.0,16.0,320.0,320.0,257.972,2534.0,2534.0,290.487,3761.0,3761.0,,,
2011-08-01,,,,,,,10274.717,137454.0,137454.0,0.0,0.0,0.0,19.751,197.0,197.0,1.0,94.0,94.0,324.249,3237.0,3237.0,288.283,3857.0,3857.0,,,
2011-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.037,41.0,41.0,0.0,0.0,0.0,25.963,261.0,261.0,0.0,0.0,0.0,,,
2011-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.857,99.0,99.0,19.0,411.0,411.0,12.143,135.0,135.0,0.0,0.0,0.0,,,
2011-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,54.581,551.0,551.0,0.0,0.0,0.0,77.419,782.0,782.0,0.0,0.0,0.0,,,
2012-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.761,81.0,81.0,21.0,422.0,422.0,16.239,170.0,170.0,0.0,0.0,0.0,,,
2012-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
