measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2013-01-01,0.07,1.0,1.0
2013-02-01,0.057,1.0,1.0
2013-03-01,0.084,1.0,1.0
2013-04-01,0.073,1.0,1.0
2013-05-01,0.074,1.0,1.0
2013-06-01,0.071,1.0,1.0
2013-07-01,0.099,1.0,1.0
2013-08-01,0.11,1.0,1.0
2013-09-01,0.129,1.0,1.0
2013-10-01,0.087,1.0,1.0
2013-11-01,0.087,1.0,1.0
2013-12-01,0.059,1.0,1.0
2014-01-01,162.051,1541.0,1541.0
2014-02-01,140.127,1333.0,1333.0
2014-03-01,193.458,1840.0,1840.0
2014-04-01,280.838,2671.0,2671.0
2014-05-01,228.037,2169.0,2169.0
2014-06-01,199.5,1897.0,1897.0
2014-07-01,271.566,2583.0,2583.0
2014-08-01,301.175,2864.0,2864.0
2014-09-01,374.421,3561.0,3561.0
2014-10-01,391.043,3719.0,3719.0
2014-11-01,315.185,2997.0,2997.0
2014-12-01,185.859,1768.0,1768.0
2015-01-01,243.51,2269.0,2269.0
2015-02-01,210.427,1961.0,1961.0
2015-03-01,276.93,2581.0,2581.0
2015-04-01,307.895,2869.0,2869.0
2015-05-01,285.939,2665.0,2665.0
2015-06-01,263.654,2457.0,2457.0
2015-07-01,284.687,2653.0,2653.0
2015-08-01,306.563,2857.0,2857.0
2015-09-01,298.61,2783.0,2783.0
2015-10-01,261.348,2436.0,2436.0
2015-11-01,226.948,2115.0,2115.0
2015-12-01,184.489,1719.0,1719.0
2016-01-01,236.99,2188.0,2188.0
2016-02-01,156.378,1444.0,1444.0
2016-03-01,158.645,1465.0,1465.0
2016-04-01,173.145,1598.0,1598.0
2016-05-01,106.921,987.0,987.0
2016-06-01,184.151,1700.0,1700.0
2016-07-01,243.629,2249.0,2249.0
2016-08-01,252.393,2330.0,2330.0
2016-09-01,192.681,1779.0,1779.0
2016-10-01,151.099,1395.0,1395.0
2016-11-01,164.786,1521.0,1521.0
2016-12-01,173.182,1599.0,1599.0
2017-01-01,129.742,1195.0,1195.0
2017-02-01,119.519,1101.0,1101.0
2017-03-01,122.319,1127.0,1127.0
2017-04-01,134.919,1243.0,1243.0
2017-05-01,252.569,2327.0,2327.0
2017-06-01,145.454,1340.0,1340.0
2017-07-01,171.555,1581.0,1581.0
2017-08-01,125.041,1152.0,1152.0
2017-09-01,95.249,878.0,878.0
2017-10-01,138.326,1274.0,1274.0
2017-11-01,118.726,1094.0,1094.0
2017-12-01,131.581,1212.0,1212.0
2018-01-01,141.123,1285.0,1285.0
2018-02-01,127.291,1159.0,1159.0
2018-03-01,145.186,1322.0,1322.0
2018-04-01,173.311,1578.0,1578.0
2018-05-01,147.13,1339.0,1339.0
2018-06-01,157.565,1434.0,1434.0
2018-07-01,259.982,2367.0,2367.0
2018-08-01,122.299,1113.0,1113.0
2018-09-01,146.303,1332.0,1332.0
2018-10-01,250.882,2284.0,2284.0
2018-11-01,245.12,2232.0,2232.0
2018-12-01,228.808,2083.0,2083.0
2019-01-01,334.578,2979.0,2979.0
2019-02-01,194.457,1732.0,1732.0
2019-03-01,337.188,3003.0,3003.0
